symbol,entry_date,days_held,signal_type,context_rvol,context_trend,dist_sma20_pct,consolidation_days,time_since_earnings,sector_strength,VolTrig,shares,position_value,monetary_risk,returns_pct,r_multiple,Result
DLTR,2023-02-03,11,BREAKOUT,1.8877244421551729,Weak,1.0321603621365434,19,73,0,✅ Safe,25,3747.7500915527344,187.38750457763672,-2.973689804182589,-0.5947379608365179,-111.44646235874733
ADBE,2022-12-16,3,BREAKOUT,3.602988434300612,Weak,1.320303795074691,18,1,0.4469639314689315,☔ Danger,3,1015.6200256347656,50.781001281738284,-3.420782336506899,-0.6841564673013797,-34.7421504429409
BLK,2022-11-30,14,BREAKOUT,3.02644433955015,Weak,0.6437218644266446,18,48,0.0915884173396135,☔ Danger,1,661.490478515625,33.07452392578125,0,0,0
BLK,2022-11-30,13,BREAKOUT,3.02644433955015,Weak,0.6437218644266446,18,48,0.0915884173396135,☔ Danger,0,0,0,3.4799058663941618,0,0
REGN,2022-11-09,2,BREAKOUT,1.6830993462651378,Uptrend,0.7771073227984919,17,6,0,☔ Danger,1,738.8522338867188,36.94261169433594,-3.409957930608385,-0.681991586121677,-25.19455034489738
SSRM,2022-11-08,31,BREAKOUT,1.648638072941192,Weak,1.3403072969295942,17,98,0,☔ Danger,15,204.1076946258545,10.205384731292726,9.420792951467751,1.8841585902935498,19.22856330871582
SSRM,2022-11-08,27,BREAKOUT,1.648638072941192,Weak,1.3403072969295942,17,98,0,☔ Danger,20,272.14359283447266,13.607179641723635,10.706892505514004,2.1413785011028006,29.138121945430697
SSRM,2022-11-08,1,BREAKOUT,1.648638072941192,Weak,1.3403072969295942,17,98,0,☔ Danger,34,462.6441078186035,23.132205390930178,-1.2186432982748452,-0.24372865965497165,-5.637981414794922
BKNG,2022-11-02,19,BREAKOUT,1.6441218370531172,Weak,0.4449043271992213,18,91,10.02324176980301,☔ Danger,1,1749.5528564453125,87.47764282226564,7.946882633306767,1.589376526661353,139.034912109375
BKNG,2022-11-02,9,BREAKOUT,1.6441218370531172,Weak,0.4449043271992213,18,91,10.02324176980301,☔ Danger,0,0,0,13.143372001447986,0,0
BKNG,2022-11-02,1,BREAKOUT,1.6441218370531172,Weak,0.4449043271992213,18,91,10.02324176980301,☔ Danger,0,0,0,2.6740789028335015,0,0
SYK,2022-11-01,1,BREAKOUT,2.6130732848280336,Weak,1.238740138634373,19,1,0,☔ Danger,5,1065.5953216552734,53.27976608276367,-3.689396935097824,-0.7378793870195621,-39.31404113769531
TMO,2022-10-31,2,BREAKOUT,1.64300898306247,Downtrend,0.3268701938769894,19,5,0.3846861312500498,☔ Danger,2,1018.2769165039062,50.91384582519532,-4.473031925233205,-0.894606385046641,-45.5478515625
TXN,2022-10-26,7,BREAKOUT,1.8851575847904325,Downtrend,0.3438515063593934,17,1,0,☔ Danger,3,429.0189971923828,21.450949859619143,5.046316328983289,1.0092632657966576,21.64965570975957
BA,2022-10-26,1,BREAKOUT,3.760446038657536,Downtrend,0.057207835513535,17,91,1.257584805946414,☔ Danger,3,401.36997985839844,20.068498992919924,4.462218043419178,0.8924436086838354,17.910003662109375
BA,2022-10-26,7,BREAKOUT,3.760446038657536,Downtrend,0.057207835513535,17,91,1.257584805946414,☔ Danger,1,133.7899932861328,6.689499664306641,13.993683601034649,2.798736720206929,18.722148350306924
TXN,2022-10-26,8,BREAKOUT,1.8851575847904325,Downtrend,0.3438515063593934,17,1,0,☔ Danger,4,572.0253295898438,28.60126647949219,-0.0646069067184034,-0.01292138134368068,-0.36956787109375
BA,2022-10-26,33,BREAKOUT,3.760446038657536,Downtrend,0.057207835513535,17,91,1.257584805946414,☔ Danger,2,267.5799865722656,13.378999328613283,28.432626096009137,5.686525219201828,76.08001708984375
AXP,2022-10-21,13,BREAKOUT,3.214712517946264,Downtrend,0.1550856723302663,17,91,1.1307941924919525,☔ Danger,4,538.4552001953125,26.922760009765625,-0.5212960706411776,-0.1042592141282355,-2.80694580078125
AXP,2022-10-21,5,BREAKOUT,3.214712517946264,Downtrend,0.1550856723302663,17,91,1.1307941924919525,☔ Danger,3,403.8414001464844,20.19207000732422,5.9038816347619685,1.1807763269523937,23.842318256813883
ILMN,2022-09-28,1,BREAKOUT,1.858997731767975,Downtrend,1.128391877862612,16,48,0,☔ Danger,4,783.2295532226564,39.16147766113282,-4.383866923086894,-0.8767733846173759,-34.33574131556918
BIIB,2022-06-17,12,BREAKOUT,1.823706147884019,Weak,0.9959961610281058,19,-1,0,☔ Danger,3,605.2200164794923,30.261000823974616,0,0,0
