Ticker,Entry,Exit,Days,Shares,P&L,R-Multiple,Return %,Exit Phases,Outcome
AAPB,2021-04-21,2021-05-19,28,56,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
AAPB,2021-11-15,2021-11-17,2,46,$-299.98,-1.00R,-3.00%,STOP,BIG_LOSS
AAT,2022-11-30,2022-12-01,1,415,$-299.65,-1.00R,-3.00%,STOP,BIG_LOSS
AAUC,2022-11-30,2022-12-01,1,415,$-299.65,-1.00R,-3.00%,STOP,BIG_LOSS
ABBV,2022-03-29,2022-04-05,7,320,$-299.90,-1.00R,-3.00%,STOP,BIG_LOSS
ABBV,2022-11-30,2022-12-01,1,415,$-299.65,-1.00R,-3.00%,STOP,BIG_LOSS
ABCB,2019-02-15,2019-03-06,19,278,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
ABCB,2019-10-22,2020-01-06,76,249,$142.47,+0.47R,+1.47%,"STOP_BE,TP1",SMALL_WIN
ABCB,2021-05-21,2021-05-24,3,181,$-298.85,-1.00R,-3.00%,STOP,BIG_LOSS
ABCB,2022-01-03,2022-01-20,17,306,$171.41,+0.57R,+1.15%,"STOP_BE,TP1",SMALL_WIN
ABR,2020-11-09,2020-11-12,3,1982,$300.39,+1.00R,+2.00%,"STOP_BE,TP1",WIN
ABR,2021-02-22,2021-02-25,3,1046,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
ABR,2021-08-11,2021-08-19,8,880,$-299.81,-1.00R,-3.00%,STOP,BIG_LOSS
ABR,2022-11-10,2022-11-17,7,993,$-299.95,-1.00R,-3.00%,STOP,BIG_LOSS
ABR,2023-05-08,2023-10-19,164,1265,$898.52,+3.00R,+8.15%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
ABSI,2022-11-10,2022-11-17,7,993,$-299.95,-1.00R,-3.00%,STOP,BIG_LOSS
ABSI,2023-05-08,2023-05-11,3,744,$-15.94,-0.05R,-0.25%,"EARNINGS_EXIT(<10%,4d)",SMALL_LOSS
ABTS,2022-11-10,2022-11-17,7,993,$-299.95,-1.00R,-3.00%,STOP,BIG_LOSS
ABTS,2023-05-08,2023-10-19,164,1265,$898.52,+3.00R,+8.15%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
ACB,2023-01-31,2023-02-06,6,169,$-139.26,-0.46R,-1.40%,"EARNINGS_EXIT(<10%,3d)",SMALL_LOSS
