,symbol,entry_date,final_exit_date,entry_price,total_pnl,total_shares,exit_phases,hold_days,r_multiple
105,VTRS,03/11/25,12/12/25,10.41,674.52,540,TP1,39,0.67
58,IWM,15/10/25,20/11/25,249.49,-1057.45,50,STOP,36,-1.06
46,FTNT,03/11/25,06/11/25,87.52,-994.23,142,STOP,3,-0.99
88,SO,10/07/25,03/11/25,91.77,0,136,STOP,116,0
78,PAYX,08/04/24,29/10/25,116.18,604.35,107,"STOP,TP1",569,0.6
104,VICI,10/07/25,28/10/25,32.64,-1054.77,382,STOP,110,-1.05
43,EW,10/07/25,13/10/25,78.8,-996.03,158,STOP,95,-1
112,XEL,14/02/25,24/09/25,66.44,914.87,84,TP1,222,0.91
73,MDT,12/05/25,16/09/25,84.46,668.94,66,TP1,127,0.67
52,HRB,10/07/25,12/08/25,55.74,-1157.05,224,STOP,33,-1.16
84,PSA,12/05/25,31/07/25,295.77,-1241.27,42,STOP,80,-1.24
3,ACGL,08/05/25,10/07/25,94.56,-998.55,132,STOP,63,-1
99,TJX,12/05/25,26/06/25,129.91,-997.67,96,STOP,45,-1
107,WCN,08/11/24,07/04/25,183.13,0,68,STOP,150,0
48,GDDY,31/10/24,04/04/25,166.8,576.61,74,"STOP,TP1",155,0.58
16,AVB,21/06/24,04/04/25,192.2,484.01,65,"STOP,TP1",287,0.48
19,BK,14/02/25,11/03/25,86.03,-997.94,145,STOP,25,-1
27,COST,03/05/24,07/03/25,737,2973.46,16,"RUNNER,TP1,TP2",308,2.97
42,EVRG,08/11/24,26/02/25,59.5,671.2,94,TP1,110,0.67
91,SRE,03/05/24,25/02/25,69.04,643.94,181,"STOP,TP1",298,0.64
6,AEE,08/11/24,14/02/25,86.98,667.98,64,TP1,98,0.67
9,AGN,08/11/24,14/02/25,86.98,667.98,64,TP1,98,0.67
65,KMI,30/08/24,30/01/25,20.22,3316.5,618,"RUNNER,TP1,TP2",153,3.32
45,FOXA,03/05/24,21/01/25,31.6,3519.53,395,"RUNNER,TP1,TP2",263,3.52
57,IT,30/08/24,18/12/24,491.96,506.73,25,"STOP,TP1",110,0.51
40,ETR,03/05/24,18/12/24,51.3,3608.7,243,"RUNNER,TP1,TP2",229,3.61
85,RACE,03/05/24,15/11/24,426.89,691.93,29,"STOP,TP1",196,0.69
37,ELV,30/08/24,01/10/24,542.46,-998.13,23,STOP,32,-1
110,WTW,21/06/24,30/08/24,257.12,647.94,21,TP1,70,0.65
13,AMZN,21/06/24,02/08/24,189.08,-1397.88,66,STOP,42,-1.4
32,DOW,02/04/24,21/06/24,52.94,-999.54,236,STOP,80,-1
72,MAR,11/04/24,17/04/24,254.07,-995.95,49,STOP,6,-1
86,RTX,02/01/24,19/03/24,81.74,669.49,68,TP1,77,0.67
26,COST,26/05/23,19/03/24,488.05,3456.6,25,"RUNNER,TP1,TP2",298,3.46
14,APH,26/05/23,08/02/24,37.42,2564.92,283,"TP1,TP2",258,2.56
36,EIX,28/11/23,24/01/24,59.33,-111.54,210,STOP,57,-0.11
51,HON,03/11/23,02/01/24,169.68,651.55,32,TP1,60,0.65
76,NGG,03/11/23,13/12/23,51.72,760.78,108,TP1,40,0.76
67,L,27/07/23,24/11/23,61.55,672.18,91,TP1,120,0.67
54,IEX,27/07/23,13/10/23,211.38,-1001.03,59,STOP,78,-1
71,LUMN,27/07/23,13/10/23,211.38,-1001.03,59,STOP,78,-1
113,XLI,01/12/22,02/10/23,96.71,0,129,STOP,305,0
109,WMT,21/02/23,07/09/23,47.35,683.3,118,TP1,198,0.68
49,GILD,29/03/23,06/09/23,73.85,-998.39,169,STOP,161,-1
90,SPY,23/01/23,12/07/23,385.11,656.14,14,TP1,170,0.66
82,PEP,29/03/23,08/06/23,164.75,0,75,STOP,71,0
12,AMGN,29/03/23,25/05/23,220.93,-1104.51,56,STOP,57,-1.1
94,SYY,29/03/23,23/05/23,71.28,-997.99,175,STOP,55,-1
50,HBAN,23/01/23,10/03/23,12.85,-1161.02,972,STOP,46,-1.16
66,L,29/11/22,10/03/23,57.21,-80.12,218,STOP,101,-0.08
102,TRV,30/11/22,10/03/23,178.43,-999.2,70,STOP,100,-1
111,WY,23/01/23,21/02/23,28.89,-292.51,432,STOP,29,-0.29
61,JNJ,18/11/22,31/01/23,159.81,-997.2,78,STOP,74,-1
24,CL,01/12/22,27/01/23,71.96,-995.98,173,STOP,57,-1
69,LLY,30/11/22,23/01/23,362.37,-985.65,34,STOP,54,-0.99
81,PEP,01/12/22,19/01/23,168.38,-1090.49,74,STOP,49,-1.09
96,TD,01/12/22,16/12/22,59.83,-995.55,208,STOP,15,-1
34,ED,12/09/22,26/09/22,91.05,-1070.9,137,STOP,14,-1.07
30,DIA,20/07/22,26/09/22,299.58,-982.62,41,STOP,68,-0.98
115,XLU,12/09/22,23/09/22,35.09,-999.42,356,STOP,11,-1
92,STE,19/07/22,16/09/22,206.28,-1092.07,60,STOP,59,-1.09
79,PBCT,19/07/22,06/09/22,103.3,-999.94,121,STOP,49,-1
80,PEAK,19/07/22,06/09/22,103.3,-999.94,121,STOP,49,-1
2,ABT,21/07/22,26/08/22,103.4,-992.67,120,STOP,36,-0.99
0,ABC,21/07/22,26/08/22,103.4,-992.67,120,STOP,36,-0.99
1,ABMD,21/07/22,26/08/22,103.4,-992.67,120,STOP,36,-0.99
5,ADS,21/07/22,26/08/22,103.4,-992.67,120,STOP,36,-0.99
70,LNT,29/03/22,14/06/22,54.42,-1241.35,229,STOP,77,-1.24
114,XLP,29/03/22,20/05/22,68.65,-999.57,182,STOP,52,-1
35,EIX,24/03/22,12/05/22,55.33,-268.17,225,STOP,49,-0.27
25,CMCSA,29/03/22,28/04/22,39.38,-1527.01,317,STOP,30,-1.53
106,WCN,05/03/21,26/04/22,98.59,3287.17,126,"RUNNER,TP1,TP2",417,3.29
8,AFL,18/02/21,24/02/22,42.4,3168.81,294,"RUNNER,TP1,TP2",371,3.17
77,O,20/07/21,24/01/22,53.82,0,232,STOP,188,0
108,WM,29/11/21,20/01/22,156.15,-999.33,80,STOP,52,-1
15,AVB,16/04/21,20/01/22,161.79,3171.41,77,"RUNNER,TP1,TP2",279,3.17
21,CARR,20/07/21,18/01/22,46.82,668.61,266,"STOP,TP1",182,0.67
44,FOXA,17/09/21,26/11/21,35.76,657.35,349,"STOP,TP1",70,0.66
55,IFF,16/04/21,17/09/21,125.66,-604.78,99,STOP,154,-0.6
