Ticker,Entry,Exit,Days,Shares,P&L,R-Multiple,Return %,Exit Phases,Outcome
AAOI,2019-09-25,2019-09-26,1,1114,$-390.85,-0.65R,-3.00%,STOP,BIG_LOSS
AAOI,2020-01-09,2020-01-28,19,1493,$864.51,+1.44R,+4.43%,"STOP_BE,TP1",WIN
AAOI,2021-01-06,2021-02-02,27,2863,"$2,051.47",+3.42R,+7.48%,"RUNNER,TP1,TP2",BIG_WIN
AAON,2021-01-08,2021-02-26,49,2943,$659.11,+1.10R,+2.20%,"STOP_BE,TP1",WIN
AAP,2021-01-27,2021-01-28,1,492,$-179.63,-0.30R,-3.00%,STOP,SMALL_LOSS
AAPB,2021-01-27,2021-01-28,1,492,$-179.63,-0.30R,-3.00%,STOP,SMALL_LOSS
AAPD,2021-11-15,2021-11-17,2,92,$-599.97,-1.00R,-3.00%,STOP,BIG_LOSS
ABCB,2019-02-15,2019-03-06,19,557,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
ABCB,2019-07-01,2019-07-11,10,165,$-178.99,-0.30R,-3.00%,STOP,SMALL_LOSS
ABCB,2019-10-22,2020-01-06,76,500,$284.94,+0.47R,+1.46%,"STOP_BE,TP1",SMALL_WIN
ABCL,2023-11-03,2023-11-06,3,2765,$-389.86,-0.65R,-3.00%,STOP,BIG_LOSS
ABCS,2023-11-03,2023-11-06,3,2765,$-389.86,-0.65R,-3.00%,STOP,BIG_LOSS
ABEQ,2019-07-25,2019-08-05,11,3338,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
ABEQ,2020-11-10,2020-11-12,2,5678,$-377.00,-0.63R,-3.00%,STOP,BIG_LOSS
ABEQ,2020-12-10,2020-12-14,4,8204,$-599.95,-1.00R,-3.00%,STOP,BIG_LOSS
ABEQ,2023-11-06,2024-02-05,91,8112,$409.37,+0.68R,+2.10%,"STOP_BE,TP1",SMALL_WIN
ABEQ,2024-08-15,2024-08-22,7,2704,$-179.93,-0.30R,-3.00%,STOP,SMALL_LOSS
ABEQ,2024-10-01,2024-10-03,2,8692,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
ABEV,2020-11-10,2020-11-12,2,4258,$-282.72,-0.47R,-3.00%,STOP,SMALL_LOSS
ABEV,2023-11-06,2024-02-05,91,8112,$409.37,+0.68R,+2.10%,"STOP_BE,TP1",SMALL_WIN
