Ticker,Entry,Exit,Days,Shares,P&L,R-Multiple,Return %,Exit Phases,Outcome
AAPL,2022-01-28,2022-02-22,25,7,$-39.77,-1.10R,-3.41%,STOP,BIG_LOSS
ADBE,2022-12-16,2022-12-19,3,3,$-34.74,-1.00R,-3.42%,STOP,BIG_LOSS
ADI,2021-02-26,2021-03-03,5,8,$-43.29,-1.16R,-3.77%,STOP,BIG_LOSS
ADSK,2022-05-05,2022-05-06,1,4,$-36.30,-1.00R,-4.57%,STOP,BIG_LOSS
AMAT,2021-05-20,2021-07-08,49,6,$30.85,+0.93R,+4.11%,"STOP_BE,TP1",SMALL_WIN
AMAT,2021-12-01,2021-12-02,1,7,$-36.28,-1.00R,-3.54%,STOP,BIG_LOSS
AMD,2021-07-27,2021-08-10,14,42,$594.34,+5.31R,+15.55%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",BIG_WIN
APD,2022-03-18,2022-04-12,25,5,$51.07,+1.56R,+4.89%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
ASML,2022-02-24,2022-03-01,5,1,$-23.68,-1.00R,-3.75%,STOP,BIG_LOSS
AXP,2022-10-21,2022-11-03,13,7,$21.04,+0.57R,+2.23%,"STOP_BE,TP1",SMALL_WIN
BA,2022-10-26,2022-11-28,33,6,$112.71,+3.17R,+14.04%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",BIG_WIN
BIIB,2022-06-17,2022-06-29,12,5,$10.30,+0.30R,+1.02%,"STOP_BE,TP1",SMALL_WIN
BKNG,2022-11-02,2022-11-21,19,1,$139.03,+2.08R,+7.95%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
BLK,2022-11-30,2022-12-14,14,1,$0.00,+0.00R,+0.00%,"STOP_BE,TP1",SMALL_WIN
CDNS,2021-02-25,2021-03-03,6,7,$6.67,+0.20R,+0.69%,"STOP_BE,TP1",SMALL_WIN
CI,2022-05-18,2022-06-03,16,4,$12.72,+0.41R,+1.32%,"STOP_BE,TP1",SMALL_WIN
CSX,2022-03-08,2022-04-01,24,31,$51.05,+1.39R,+4.96%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
DLTR,2022-03-07,2022-04-04,28,6,$76.97,+2.20R,+9.11%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
DLTR,2023-02-03,2023-02-14,11,25,$-111.45,-1.00R,-2.97%,STOP,BIG_LOSS
EA,2022-01-24,2022-01-25,1,8,$-35.07,-1.00R,-3.31%,STOP,BIG_LOSS
EOG,2022-03-18,2022-03-29,11,8,$28.48,+0.81R,+3.64%,"STOP_BE,TP1",SMALL_WIN
HD,2022-05-17,2022-05-18,1,3,$-43.02,-1.27R,-5.24%,STOP,BIG_LOSS
IDXX,2021-12-17,2021-12-20,3,1,$-19.27,-1.00R,-3.12%,STOP,BIG_LOSS
ILMN,2022-09-28,2022-09-29,1,4,$-34.34,-1.00R,-4.38%,STOP,BIG_LOSS
MAR,2022-02-02,2022-02-22,20,6,$65.79,+1.99R,+7.07%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
MNST,2022-02-25,2022-03-04,7,27,$-43.88,-1.20R,-3.84%,STOP,BIG_LOSS
ODFL,2021-02-04,2021-02-17,13,11,$25.35,+0.68R,+2.31%,"STOP_BE,TP1",SMALL_WIN
ORLY,2022-02-10,2022-02-23,13,28,$-49.84,-1.33R,-4.05%,STOP,BIG_LOSS
REGN,2022-11-09,2022-11-11,2,1,$-25.19,-1.00R,-3.41%,STOP,BIG_LOSS
ROST,2021-03-08,2021-03-23,15,9,$-37.45,-1.00R,-3.66%,STOP,BIG_LOSS
ROST,2022-03-02,2022-03-04,2,10,$-33.57,-0.96R,-3.70%,"STOP_BE,TP1",BIG_LOSS
SNPS,2021-05-20,2021-07-16,57,4,$75.39,+2.41R,+7.70%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
SNPS,2021-12-02,2021-12-06,4,3,$-36.32,-1.00R,-3.46%,STOP,BIG_LOSS
SSRM,2022-11-08,2022-12-09,31,69,$42.73,+1.15R,+4.55%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
SYK,2022-11-01,2022-11-02,1,5,$-39.31,-1.10R,-3.69%,STOP,BIG_LOSS
TJX,2022-05-18,2022-05-20,2,14,$-35.15,-1.00R,-4.39%,STOP,BIG_LOSS
TMO,2022-10-31,2022-11-02,2,2,$-45.55,-1.35R,-4.47%,STOP,BIG_LOSS
TXN,2022-05-04,2022-05-05,1,7,$-37.23,-1.05R,-3.38%,STOP,BIG_LOSS
TXN,2022-10-26,2022-11-03,8,7,$21.28,+0.57R,+2.13%,"STOP_BE,TP1",SMALL_WIN
