ticker,entry_date,final_exit_date,entry_price,exit_price,total_shares,total_pnl,exit_phases,entry_signal,hold_days,r_multiple,return_pct,outcome_category,is_winner,was_stopped_out,hit_tp1,hit_tp2,had_runner
AAP,2018-07-18,2018-07-18,48.79999923706055,43.0,87.0,-504.5999336242676,STOP,MOMENTUM,0,0.0,-11.8852445240528,SMALL_WIN,False,True,False,False,False
AAPB,2018-07-18,2018-07-18,48.79999923706055,43.0,87.0,-504.5999336242676,STOP,MOMENTUM,0,0.0,-11.8852445240528,SMALL_WIN,False,True,False,False,False
AAPL,2018-07-18,2018-07-18,48.79999923706055,43.0,87.0,-504.5999336242676,STOP,MOMENTUM,0,0.0,-11.8852445240528,SMALL_WIN,False,True,False,False,False
AAUC,2024-08-05,2024-08-05,24.214208602905277,22.378969192504883,149.0,-273.4506721496582,STOP,MOMENTUM,0,0.0,-7.57918394318365,SMALL_WIN,False,True,False,False,False
AAUM,2024-08-05,2024-08-05,24.214208602905277,22.378969192504883,149.0,-273.4506721496582,STOP,MOMENTUM,0,0.0,-7.57918394318365,SMALL_WIN,False,True,False,False,False
ABCB,2023-11-08,2023-11-08,4.699999809265137,4.179999828338623,565.0,-293.7999892234802,STOP,MOMENTUM,0,0.0,-11.063829830406263,SMALL_WIN,False,True,False,False,False
ABCL,2023-11-08,2023-11-08,4.699999809265137,4.179999828338623,565.0,-293.7999892234802,STOP,MOMENTUM,0,0.0,-11.063829830406263,SMALL_WIN,False,True,False,False,False
ABCS,2023-11-08,2023-11-08,4.699999809265137,4.179999828338623,565.0,-293.7999892234802,STOP,MOMENTUM,0,0.0,-11.063829830406263,SMALL_WIN,False,True,False,False,False
ABEO,2023-11-08,2023-11-08,4.699999809265137,4.179999828338623,565.0,-293.7999892234802,STOP,MOMENTUM,0,0.0,-11.063829830406263,SMALL_WIN,False,True,False,False,False
ABEV,2021-11-03,2021-11-03,2.344315767288208,2.504504680633545,862.0,138.08284330368042,TP1,MOMENTUM,0,0.0,6.833077505196143,SMALL_WIN,True,False,True,False,False
ABEV,2021-12-01,2021-12-01,2.344315767288208,2.192812204360962,863.0,-130.74757480621338,STOP,MOMENTUM,0,0.0,-6.462591987021363,SMALL_WIN,False,True,False,False,False
ABFL,2021-11-03,2021-11-03,2.344315767288208,2.504504680633545,862.0,138.08284330368042,TP1,MOMENTUM,0,0.0,6.833077505196143,SMALL_WIN,True,False,True,False,False
ABFL,2021-12-01,2021-12-01,2.344315767288208,2.192812204360962,863.0,-130.74757480621338,STOP,MOMENTUM,0,0.0,-6.462591987021363,SMALL_WIN,False,True,False,False,False
ABG,2021-11-03,2021-11-03,2.344315767288208,2.504504680633545,862.0,138.08284330368042,TP1,MOMENTUM,0,0.0,6.833077505196143,SMALL_WIN,True,False,True,False,False
ABG,2021-12-01,2021-12-01,2.344315767288208,2.192812204360962,863.0,-130.74757480621338,STOP,MOMENTUM,0,0.0,-6.462591987021363,SMALL_WIN,False,True,False,False,False
ABVC,2019-06-12,2019-06-12,37.47041320800781,35.1639404296875,140.0,-322.9061889648437,STOP,MOMENTUM,0,0.0,-6.155450609835802,SMALL_WIN,False,True,False,False,False
ACA,2019-06-12,2019-06-12,37.47041320800781,35.1639404296875,140.0,-322.9061889648437,STOP,MOMENTUM,0,0.0,-6.155450609835802,SMALL_WIN,False,True,False,False,False
ACAD,2019-06-12,2019-06-12,37.47041320800781,35.1639404296875,140.0,-322.9061889648437,STOP,MOMENTUM,0,0.0,-6.155450609835802,SMALL_WIN,False,True,False,False,False
ACB,2019-06-12,2019-06-12,37.47041320800781,35.1639404296875,140.0,-322.9061889648437,STOP,MOMENTUM,0,0.0,-6.155450609835802,SMALL_WIN,False,True,False,False,False
ACCL,2019-12-10,2019-12-10,50.47999954223633,46.2599983215332,74.0,-312.28009033203125,STOP,MOMENTUM,0,0.0,-8.35974892823102,SMALL_WIN,False,True,False,False,False
ACFN,2022-04-05,2022-04-05,59.15810775756836,62.92184066772461,35.0,131.73065185546875,TP1,MOMENTUM,0,0.0,6.362159056168829,SMALL_WIN,True,False,True,False,False
ACFN,2022-04-11,2022-04-11,59.15810775756836,55.80441284179688,35.0,-117.37932205200195,STOP,MOMENTUM,0,0.0,-5.66903682841754,SMALL_WIN,False,True,False,False,False
ACGL,2022-04-05,2022-04-05,59.15810775756836,62.92184066772461,35.0,131.73065185546875,TP1,MOMENTUM,0,0.0,6.362159056168829,SMALL_WIN,True,False,True,False,False
ACGL,2022-04-11,2022-04-11,59.15810775756836,55.80441284179688,35.0,-117.37932205200195,STOP,MOMENTUM,0,0.0,-5.66903682841754,SMALL_WIN,False,True,False,False,False
ACGLO,2022-04-05,2022-04-05,59.15810775756836,62.92184066772461,35.0,131.73065185546875,TP1,MOMENTUM,0,0.0,6.362159056168829,SMALL_WIN,True,False,True,False,False
ACGLO,2022-04-11,2022-04-11,59.15810775756836,55.80441284179688,35.0,-117.37932205200195,STOP,MOMENTUM,0,0.0,-5.66903682841754,SMALL_WIN,False,True,False,False,False
ACH,2022-04-05,2022-04-05,59.15810775756836,62.92184066772461,35.0,131.73065185546875,TP1,MOMENTUM,0,0.0,6.362159056168829,SMALL_WIN,True,False,True,False,False
ACH,2022-04-11,2022-04-11,59.15810775756836,55.80441284179688,35.0,-117.37932205200195,STOP,MOMENTUM,0,0.0,-5.66903682841754,SMALL_WIN,False,True,False,False,False
ADBE,2023-05-26,2023-05-26,392.05999755859375,415.3900146484375,6.0,139.9801025390625,TP1,MOMENTUM,0,0.0,5.950624199133465,SMALL_WIN,True,False,True,False,False
ADBE,2023-05-30,2023-05-30,392.05999755859375,429.4474792480469,3.0,112.16244506835938,TP2,MOMENTUM,0,0.0,9.536163322519412,SMALL_WIN,True,False,False,True,False
ADBE,2023-07-06,2023-07-06,392.05999755859375,481.2900085449219,3.0,267.6900329589844,RUNNER,MOMENTUM,0,0.0,22.75927448400104,SMALL_WIN,True,False,False,False,True
ADBG,2023-05-26,2023-05-26,392.05999755859375,415.3900146484375,6.0,139.9801025390625,TP1,MOMENTUM,0,0.0,5.950624199133465,SMALL_WIN,True,False,True,False,False
ADBG,2023-05-30,2023-05-30,392.05999755859375,429.4474792480469,3.0,112.16244506835938,TP2,MOMENTUM,0,0.0,9.536163322519412,SMALL_WIN,True,False,False,True,False
ADBG,2023-07-06,2023-07-06,392.05999755859375,481.2900085449219,3.0,267.6900329589844,RUNNER,MOMENTUM,0,0.0,22.75927448400104,SMALL_WIN,True,False,False,False,True
ADM,2020-10-05,2020-10-05,19.40999984741211,21.32999992370605,98.0,188.16000747680664,TP1,MOMENTUM,0,0.0,9.891808817040946,SMALL_WIN,True,False,True,False,False
ADM,2020-10-21,2020-10-21,19.40999984741211,22.80674934387207,59.0,200.4082202911377,TP2,MOMENTUM,0,0.0,17.4999975433428,SMALL_WIN,True,False,False,True,False
ADM,2020-10-30,2020-10-30,19.40999984741211,21.21999931335449,40.0,72.39997863769531,RUNNER,MOMENTUM,0,0.0,9.325087481562788,SMALL_WIN,True,False,False,False,True
ADMA,2020-10-05,2020-10-05,19.40999984741211,21.32999992370605,98.0,188.16000747680664,TP1,MOMENTUM,0,0.0,9.891808817040946,SMALL_WIN,True,False,True,False,False
ADMA,2020-10-21,2020-10-21,19.40999984741211,22.80674934387207,59.0,200.4082202911377,TP2,MOMENTUM,0,0.0,17.4999975433428,SMALL_WIN,True,False,False,True,False
ADMA,2020-10-30,2020-10-30,19.40999984741211,21.21999931335449,40.0,72.39997863769531,RUNNER,MOMENTUM,0,0.0,9.325087481562788,SMALL_WIN,True,False,False,False,True
ADME,2020-10-05,2020-10-05,19.40999984741211,21.32999992370605,98.0,188.16000747680664,TP1,MOMENTUM,0,0.0,9.891808817040946,SMALL_WIN,True,False,True,False,False
ADME,2020-10-21,2020-10-21,19.40999984741211,22.80674934387207,59.0,200.4082202911377,TP2,MOMENTUM,0,0.0,17.4999975433428,SMALL_WIN,True,False,False,True,False
ADME,2020-10-30,2020-10-30,19.40999984741211,21.21999931335449,40.0,72.39997863769531,RUNNER,MOMENTUM,0,0.0,9.325087481562788,SMALL_WIN,True,False,False,False,True
ADNT,2020-10-05,2020-10-05,19.40999984741211,21.32999992370605,98.0,188.16000747680664,TP1,MOMENTUM,0,0.0,9.891808817040946,SMALL_WIN,True,False,True,False,False
ADNT,2020-10-21,2020-10-21,19.40999984741211,22.80674934387207,59.0,200.4082202911377,TP2,MOMENTUM,0,0.0,17.4999975433428,SMALL_WIN,True,False,False,True,False
ADNT,2020-10-30,2020-10-30,19.40999984741211,21.21999931335449,40.0,72.39997863769531,RUNNER,MOMENTUM,0,0.0,9.325087481562788,SMALL_WIN,True,False,False,False,True
ADP,2022-03-29,2022-03-29,198.184326171875,207.65550231933597,14.0,132.59646606445312,TP1,MOMENTUM,0,0.0,4.778973357987491,SMALL_WIN,True,False,True,False,False
ADP,2022-04-04,2022-04-04,198.184326171875,217.0990447998047,8.0,151.3177490234375,TP2,MOMENTUM,0,0.0,9.54400329899244,SMALL_WIN,True,False,False,True,False
ADP,2022-04-18,2022-04-18,198.184326171875,209.73252868652344,6.0,69.28921508789062,RUNNER,MOMENTUM,0,0.0,5.827000922683098,SMALL_WIN,True,False,False,False,True
ADPT,2022-03-29,2022-03-29,198.184326171875,207.65550231933597,14.0,132.59646606445312,TP1,MOMENTUM,0,0.0,4.778973357987491,SMALL_WIN,True,False,True,False,False
ADPT,2022-04-04,2022-04-04,198.184326171875,217.0990447998047,8.0,151.3177490234375,TP2,MOMENTUM,0,0.0,9.54400329899244,SMALL_WIN,True,False,False,True,False
ADPT,2022-04-18,2022-04-18,198.184326171875,209.73252868652344,6.0,69.28921508789062,RUNNER,MOMENTUM,0,0.0,5.827000922683098,SMALL_WIN,True,False,False,False,True
ADPV,2022-03-29,2022-03-29,198.184326171875,207.65550231933597,14.0,132.59646606445312,TP1,MOMENTUM,0,0.0,4.778973357987491,SMALL_WIN,True,False,True,False,False
ADPV,2022-04-04,2022-04-04,198.184326171875,217.0990447998047,8.0,151.3177490234375,TP2,MOMENTUM,0,0.0,9.54400329899244,SMALL_WIN,True,False,False,True,False
ADPV,2022-04-18,2022-04-18,198.184326171875,209.73252868652344,6.0,69.28921508789062,RUNNER,MOMENTUM,0,0.0,5.827000922683098,SMALL_WIN,True,False,False,False,True
ADS-DE,2022-03-29,2022-03-29,198.184326171875,207.65550231933597,14.0,132.59646606445312,TP1,MOMENTUM,0,0.0,4.778973357987491,SMALL_WIN,True,False,True,False,False
ADS-DE,2022-04-04,2022-04-04,198.184326171875,217.0990447998047,8.0,151.3177490234375,TP2,MOMENTUM,0,0.0,9.54400329899244,SMALL_WIN,True,False,False,True,False
ADS-DE,2022-04-18,2022-04-18,198.184326171875,209.73252868652344,6.0,69.28921508789062,RUNNER,MOMENTUM,0,0.0,5.827000922683098,SMALL_WIN,True,False,False,False,True
AEM,2023-05-11,2023-05-11,56.86787033081055,53.459564208984375,84.0,-286.29771423339844,STOP,MOMENTUM,0,0.0,-5.993377459010593,SMALL_WIN,False,True,False,False,False
AEON,2021-11-26,2021-11-26,25.48942756652832,23.73642349243164,141.0,-247.17357444763184,STOP,MOMENTUM,0,0.0,-6.8773771773464745,SMALL_WIN,False,True,False,False,False
AERO,2022-08-22,2022-08-22,47.709205627441406,45.36537551879883,96.0,-225.0076904296875,STOP,MOMENTUM,0,0.0,-4.912741844719487,SMALL_WIN,False,True,False,False,False
AERO,2023-03-06,2023-03-06,64.4556655883789,60.64562225341797,72.0,-274.3231201171875,STOP,MOMENTUM,0,0.0,-5.911106960390884,SMALL_WIN,False,True,False,False,False
AERT,2022-08-22,2022-08-22,47.709205627441406,45.36537551879883,96.0,-225.0076904296875,STOP,MOMENTUM,0,0.0,-4.912741844719487,SMALL_WIN,False,True,False,False,False
AERT,2023-03-06,2023-03-06,64.4556655883789,60.64562225341797,72.0,-274.3231201171875,STOP,MOMENTUM,0,0.0,-5.911106960390884,SMALL_WIN,False,True,False,False,False
AGL,2023-03-10,2023-03-10,24.46999931335449,22.84000015258789,136.0,-221.6798858642578,STOP,MOMENTUM,0,0.0,-6.661214575012392,SMALL_WIN,False,True,False,False,False
AGRW,2024-12-18,2024-12-18,141.74000549316406,129.19000244140625,28.0,-351.40008544921875,STOP,MOMENTUM,0,0.0,-8.854241967955252,SMALL_WIN,False,True,False,False,False
