ticker,entry_date,final_exit_date,entry_price,exit_price,total_shares,total_pnl,exit_phases,entry_signal,context_adr,context_rvol,context_trend,dist_sma20_pct,consolidation_days,sector,sector_strength,vix_regime,spy_above_ema20,base_risk_dollars,adjusted_risk_dollars,risk_reduction_factor,rvol_classification,volatility_regime,is_vcp_pattern,hold_days,r_multiple,return_pct,outcome_category,is_winner,was_stopped_out,hit_tp1,hit_tp2,had_runner
AAL,2023-12-04,2024-01-03,13.350000381469728,14.077330434294018,7151,2600.023068189621,"STOP_BE,TP1",UNKNOWN,3.094300260335292,1.5483261654108502,,0,20.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2545.891305078074,1.0,UNKNOWN,UNKNOWN,False,30,1.0212624015029923,2.7235110711267265,WIN,True,True,True,False,False
AAPU,2022-10-28,2022-11-02,153.1713104248047,147.0444580078125,255,-1562.3473663330092,STOP,UNKNOWN,3.1207890332316226,1.8615153741406676,,0,18.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2346.9780731309484,1.0,UNKNOWN,UNKNOWN,False,5,-0.6656846879906231,-4.0000000000000036,BIG_LOSS,False,True,False,False,False
ABEV,2020-09-17,2020-09-18,1.9655838012695312,1.88696044921875,10061,-791.0295449829107,STOP,UNKNOWN,3.507964907210083,1.6289191477320275,,0,18.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2052.401264961494,1.0,UNKNOWN,UNKNOWN,False,1,-0.38541661345046563,-4.000000000000003,SMALL_LOSS,False,True,False,False,False
ABEV,2021-10-28,2021-11-29,2.344315767288208,2.344315767288208,16587,0.0,STOP_BE,UNKNOWN,3.007748016149358,2.2487181421815863,,0,19.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2393.018657518031,1.0,UNKNOWN,UNKNOWN,False,32,0.0,0.0,SMALL_WIN,False,True,False,False,False
ABSI,2021-02-22,2021-02-25,9.55495834350586,9.55495834350586,3032,0.0,STOP_BE,UNKNOWN,3.0127885612519245,1.839181824797832,,0,20.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2438.5322462009303,1.0,UNKNOWN,UNKNOWN,False,3,0.0,0.0,SMALL_WIN,False,True,False,False,False
ABT,2024-10-28,2024-10-31,4.289999961853027,4.118399963378906,11649,-1998.9683822250436,STOP,UNKNOWN,5.287734416825252,2.36302962334856,,0,12.0,XLV,-3.745141029475623,UNKNOWN,False,100.0,3075.6566629763483,1.0,UNKNOWN,UNKNOWN,False,3,-0.6499322262747685,-4.000000000000014,BIG_LOSS,False,True,False,False,False
ABVC,2019-06-07,2019-06-12,37.47041320800781,35.9715966796875,687,-1029.686954956054,STOP,UNKNOWN,3.293634713269411,2.423293275377141,,0,18.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1585.6521384540365,1.0,UNKNOWN,UNKNOWN,False,5,-0.6493775841402188,-3.9999999999999973,BIG_LOSS,False,True,False,False,False
ACEI,2022-12-06,2022-12-15,4.794010162353516,4.602249755859375,4380,-839.9105804443374,STOP,UNKNOWN,4.045350237026619,1.5940198083379282,,0,16.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2339.248320685558,1.0,UNKNOWN,UNKNOWN,False,9,-0.35905148376816476,-4.000000000000007,SMALL_LOSS,False,True,False,False,False
ACFN,2022-03-18,2022-04-06,59.15810775756836,59.15810775756836,307,0.0,STOP_BE,UNKNOWN,4.1250533514854135,3.724823870700373,,0,16.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2426.709156184921,1.0,UNKNOWN,UNKNOWN,False,19,0.0,0.0,SMALL_WIN,False,True,False,False,False
ACGL,2022-03-18,2022-04-06,59.15810775756836,59.15810775756836,273,0.0,STOP_BE,UNKNOWN,4.1250533514854135,3.724823870700373,,0,16.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2154.2860699613198,1.0,UNKNOWN,UNKNOWN,False,19,0.0,0.0,SMALL_WIN,False,True,False,False,False
