ticker,entry_date,final_exit_date,entry_price,exit_price,total_shares,total_pnl,exit_phases,entry_signal,hold_days,r_multiple,return_pct,outcome_category,is_winner,was_stopped_out,hit_tp1,hit_tp2,had_runner
AAP,2018-07-18,2018-07-18,48.79999923706055,43.0,93.0,-539.3999290466309,STOP,MOMENTUM,0,0.0,-11.8852445240528,SMALL_WIN,False,True,False,False,False
AAPB,2018-07-18,2018-07-18,48.79999923706055,43.0,93.0,-539.3999290466309,STOP,MOMENTUM,0,0.0,-11.8852445240528,SMALL_WIN,False,True,False,False,False
AAPL,2018-07-18,2018-07-18,48.79999923706055,43.0,93.0,-539.3999290466309,STOP,MOMENTUM,0,0.0,-11.8852445240528,SMALL_WIN,False,True,False,False,False
AAUC,2024-08-05,2024-08-05,24.214208602905277,22.378969192504883,195.0,-357.8716850280762,STOP,MOMENTUM,0,0.0,-7.57918394318365,SMALL_WIN,False,True,False,False,False
AAUM,2024-08-05,2024-08-05,24.214208602905277,22.378969192504883,195.0,-357.8716850280762,STOP,MOMENTUM,0,0.0,-7.57918394318365,SMALL_WIN,False,True,False,False,False
ABCB,2023-11-08,2023-11-08,4.699999809265137,4.179999828338623,675.0,-350.9999871253968,STOP,MOMENTUM,0,0.0,-11.063829830406265,SMALL_WIN,False,True,False,False,False
ABCL,2023-11-08,2023-11-08,4.699999809265137,4.179999828338623,675.0,-350.9999871253968,STOP,MOMENTUM,0,0.0,-11.063829830406265,SMALL_WIN,False,True,False,False,False
ABCS,2023-11-08,2023-11-08,4.699999809265137,4.179999828338623,675.0,-350.9999871253968,STOP,MOMENTUM,0,0.0,-11.063829830406265,SMALL_WIN,False,True,False,False,False
ABEO,2023-11-08,2023-11-08,4.699999809265137,4.179999828338623,675.0,-350.9999871253968,STOP,MOMENTUM,0,0.0,-11.063829830406265,SMALL_WIN,False,True,False,False,False
ABEV,2021-11-03,2021-11-03,2.344315767288208,2.504504680633545,999.0,160.02872443199158,TP1,MOMENTUM,0,0.0,6.833077505196143,SMALL_WIN,True,False,True,False,False
ABFL,2021-11-03,2021-11-03,2.344315767288208,2.504504680633545,999.0,160.02872443199158,TP1,MOMENTUM,0,0.0,6.833077505196143,SMALL_WIN,True,False,True,False,False
ABG,2021-11-03,2021-11-03,2.344315767288208,2.504504680633545,999.0,160.02872443199158,TP1,MOMENTUM,0,0.0,6.833077505196143,SMALL_WIN,True,False,True,False,False
ABVC,2019-06-12,2019-06-12,37.47041320800781,35.1639404296875,147.0,-339.05149841308594,STOP,MOMENTUM,0,0.0,-6.155450609835804,SMALL_WIN,False,True,False,False,False
ACA,2019-06-12,2019-06-12,37.47041320800781,35.1639404296875,147.0,-339.05149841308594,STOP,MOMENTUM,0,0.0,-6.155450609835804,SMALL_WIN,False,True,False,False,False
ACAD,2019-06-12,2019-06-12,37.47041320800781,35.1639404296875,147.0,-339.05149841308594,STOP,MOMENTUM,0,0.0,-6.155450609835804,SMALL_WIN,False,True,False,False,False
ACB,2019-06-12,2019-06-12,37.47041320800781,35.1639404296875,147.0,-339.05149841308594,STOP,MOMENTUM,0,0.0,-6.155450609835804,SMALL_WIN,False,True,False,False,False
ACFN,2022-04-05,2022-04-05,59.15810775756836,62.92184066772461,39.0,146.78558349609375,TP1,MOMENTUM,0,0.0,6.362159056168829,SMALL_WIN,True,False,True,False,False
ACFN,2022-04-11,2022-04-11,59.15810775756836,55.80441284179689,40.0,-134.14779663085938,STOP,MOMENTUM,0,0.0,-5.66903682841754,SMALL_WIN,False,True,False,False,False
ACGL,2022-04-05,2022-04-05,59.15810775756836,62.92184066772461,39.0,146.78558349609375,TP1,MOMENTUM,0,0.0,6.362159056168829,SMALL_WIN,True,False,True,False,False
ACGL,2022-04-11,2022-04-11,59.15810775756836,55.80441284179689,40.0,-134.14779663085938,STOP,MOMENTUM,0,0.0,-5.66903682841754,SMALL_WIN,False,True,False,False,False
ACGLO,2022-04-05,2022-04-05,59.15810775756836,62.92184066772461,39.0,146.78558349609375,TP1,MOMENTUM,0,0.0,6.362159056168829,SMALL_WIN,True,False,True,False,False
ACGLO,2022-04-11,2022-04-11,59.15810775756836,55.80441284179689,40.0,-134.14779663085938,STOP,MOMENTUM,0,0.0,-5.66903682841754,SMALL_WIN,False,True,False,False,False
ACH,2022-04-05,2022-04-05,59.15810775756836,62.92184066772461,39.0,146.78558349609375,TP1,MOMENTUM,0,0.0,6.362159056168829,SMALL_WIN,True,False,True,False,False
ACH,2022-04-11,2022-04-11,59.15810775756836,55.80441284179689,40.0,-134.14779663085938,STOP,MOMENTUM,0,0.0,-5.66903682841754,SMALL_WIN,False,True,False,False,False
ADM,2020-10-05,2020-10-05,19.40999984741211,21.32999992370605,107.0,205.44000816345212,TP1,MOMENTUM,0,0.0,9.891808817040944,SMALL_WIN,True,False,True,False,False
ADM,2020-10-21,2020-10-21,19.40999984741211,22.80674934387207,64.0,217.3919677734375,TP2,MOMENTUM,0,0.0,17.4999975433428,SMALL_WIN,True,False,False,True,False
ADM,2020-10-30,2020-10-30,19.40999984741211,21.21999931335449,44.0,79.63997650146484,RUNNER,MOMENTUM,0,0.0,9.325087481562788,SMALL_WIN,True,False,False,False,True
ADMA,2020-10-05,2020-10-05,19.40999984741211,21.32999992370605,107.0,205.44000816345212,TP1,MOMENTUM,0,0.0,9.891808817040944,SMALL_WIN,True,False,True,False,False
ADMA,2020-10-21,2020-10-21,19.40999984741211,22.80674934387207,64.0,217.3919677734375,TP2,MOMENTUM,0,0.0,17.4999975433428,SMALL_WIN,True,False,False,True,False
ADMA,2020-10-30,2020-10-30,19.40999984741211,21.21999931335449,44.0,79.63997650146484,RUNNER,MOMENTUM,0,0.0,9.325087481562788,SMALL_WIN,True,False,False,False,True
ADME,2020-10-05,2020-10-05,19.40999984741211,21.32999992370605,107.0,205.44000816345212,TP1,MOMENTUM,0,0.0,9.891808817040944,SMALL_WIN,True,False,True,False,False
ADME,2020-10-21,2020-10-21,19.40999984741211,22.80674934387207,64.0,217.3919677734375,TP2,MOMENTUM,0,0.0,17.4999975433428,SMALL_WIN,True,False,False,True,False
ADME,2020-10-30,2020-10-30,19.40999984741211,21.21999931335449,44.0,79.63997650146484,RUNNER,MOMENTUM,0,0.0,9.325087481562788,SMALL_WIN,True,False,False,False,True
ADNT,2020-10-05,2020-10-05,19.40999984741211,21.32999992370605,107.0,205.44000816345212,TP1,MOMENTUM,0,0.0,9.891808817040944,SMALL_WIN,True,False,True,False,False
ADNT,2020-10-21,2020-10-21,19.40999984741211,22.80674934387207,64.0,217.3919677734375,TP2,MOMENTUM,0,0.0,17.4999975433428,SMALL_WIN,True,False,False,True,False
ADNT,2020-10-30,2020-10-30,19.40999984741211,21.21999931335449,44.0,79.63997650146484,RUNNER,MOMENTUM,0,0.0,9.325087481562788,SMALL_WIN,True,False,False,False,True
ADP,2022-03-29,2022-03-29,198.184326171875,207.65550231933597,16.0,151.538818359375,TP1,MOMENTUM,0,0.0,4.778973357987491,SMALL_WIN,True,False,True,False,False
ADP,2022-04-04,2022-04-04,198.184326171875,217.0990447998047,9.0,170.2324676513672,TP2,MOMENTUM,0,0.0,9.54400329899244,SMALL_WIN,True,False,False,True,False
ADP,2022-04-18,2022-04-18,198.184326171875,209.73252868652344,7.0,80.83741760253906,RUNNER,MOMENTUM,0,0.0,5.827000922683098,SMALL_WIN,True,False,False,False,True
ADPT,2022-03-29,2022-03-29,198.184326171875,207.65550231933597,16.0,151.538818359375,TP1,MOMENTUM,0,0.0,4.778973357987491,SMALL_WIN,True,False,True,False,False
ADPT,2022-04-04,2022-04-04,198.184326171875,217.0990447998047,9.0,170.2324676513672,TP2,MOMENTUM,0,0.0,9.54400329899244,SMALL_WIN,True,False,False,True,False
ADPT,2022-04-18,2022-04-18,198.184326171875,209.73252868652344,7.0,80.83741760253906,RUNNER,MOMENTUM,0,0.0,5.827000922683098,SMALL_WIN,True,False,False,False,True
ADPV,2022-03-29,2022-03-29,198.184326171875,207.65550231933597,16.0,151.538818359375,TP1,MOMENTUM,0,0.0,4.778973357987491,SMALL_WIN,True,False,True,False,False
ADPV,2022-04-04,2022-04-04,198.184326171875,217.0990447998047,9.0,170.2324676513672,TP2,MOMENTUM,0,0.0,9.54400329899244,SMALL_WIN,True,False,False,True,False
ADPV,2022-04-18,2022-04-18,198.184326171875,209.73252868652344,7.0,80.83741760253906,RUNNER,MOMENTUM,0,0.0,5.827000922683098,SMALL_WIN,True,False,False,False,True
ADS-DE,2022-03-29,2022-03-29,198.184326171875,207.65550231933597,16.0,151.538818359375,TP1,MOMENTUM,0,0.0,4.778973357987491,SMALL_WIN,True,False,True,False,False
ADS-DE,2022-04-04,2022-04-04,198.184326171875,217.0990447998047,9.0,170.2324676513672,TP2,MOMENTUM,0,0.0,9.54400329899244,SMALL_WIN,True,False,False,True,False
ADS-DE,2022-04-18,2022-04-18,198.184326171875,209.73252868652344,7.0,80.83741760253906,RUNNER,MOMENTUM,0,0.0,5.827000922683098,SMALL_WIN,True,False,False,False,True
AERO,2022-08-22,2022-08-22,47.709205627441406,45.36537551879883,108.0,-253.13365173339844,STOP,MOMENTUM,0,0.0,-4.912741844719487,SMALL_WIN,False,True,False,False,False
