Ticker,Entry,Exit,Days,Shares,P&L,R-Multiple,Return %,Exit Phases,Outcome
AAOI,2019-09-25,2019-09-26,1,427,$-149.81,-1.00R,-3.00%,STOP,BIG_LOSS
AAON,2019-09-25,2019-09-26,1,427,$-149.81,-1.00R,-3.00%,STOP,BIG_LOSS
AAPL,2017-02-13,2017-03-21,36,251,"$1,437.15",+9.58R,+16.88%,"PHASE3_SMA20_BREAK,TP1,TP2",BIG_WIN
AAPL,2017-09-18,2017-09-20,2,48,$-95.46,-0.64R,-3.00%,STOP,BIG_LOSS
AAPL,2019-09-25,2019-09-26,1,427,$-149.81,-1.00R,-3.00%,STOP,BIG_LOSS
AAT,2018-03-13,2018-03-23,10,212,$-149.57,-1.00R,-3.00%,STOP,BIG_LOSS
AAVM,2018-03-13,2018-03-23,10,212,$-149.57,-1.00R,-3.00%,STOP,BIG_LOSS
AAXJ,2018-03-13,2018-03-23,10,212,$-149.57,-1.00R,-3.00%,STOP,BIG_LOSS
ABCB,2017-09-28,2017-10-30,32,113,$89.66,+0.60R,+1.85%,"STOP_BE,TP1",SMALL_WIN
ABCB,2017-11-29,2017-12-05,6,109,$-148.71,-0.99R,-3.00%,STOP,BIG_LOSS
ABCB,2019-01-28,2019-03-19,50,221,$139.81,+0.93R,+1.86%,"STOP_BE,TP1",SMALL_WIN
ABCB,2019-07-01,2019-07-11,10,41,$-44.48,-0.30R,-3.00%,STOP,SMALL_LOSS
ABCB,2019-09-11,2019-11-18,68,248,$510.43,+3.40R,+6.01%,"PHASE3_SMA20_BREAK,TP1,TP2",BIG_WIN
ABEO,2017-11-29,2017-12-05,6,109,$-148.71,-0.99R,-3.00%,STOP,BIG_LOSS
ABEO,2019-09-12,2019-11-18,67,242,$454.40,+3.03R,+5.34%,"PHASE3_SMA20_BREAK,TP1,TP2",BIG_WIN
ACAD,2017-08-09,2017-08-10,1,45,$-44.83,-0.30R,-3.00%,STOP,SMALL_LOSS
ACAD,2019-02-28,2019-03-07,7,153,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
ACAD,2019-06-07,2019-06-11,4,86,$-96.67,-0.64R,-3.00%,STOP,BIG_LOSS
ACAD,2019-10-31,2019-11-12,12,132,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
ACCO,2019-08-01,2019-08-23,22,52,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
