date,equity,open_positions
2024-11-01,100000,0
2024-11-04,100000,0
2024-11-05,100000,0
2024-11-06,100000,0
2024-11-07,100000,0
2024-11-08,100000,0
2024-11-11,100000,0
2024-11-12,100000,0
2024-11-13,100000,0
2024-11-14,100000,0
2024-11-15,100000,0
2024-11-18,100000,0
2024-11-19,100000,0
2024-11-20,100000,0
2024-11-21,100000,0
2024-11-22,100000,0
2024-11-25,100000,0
2024-11-26,100000,0
2024-11-27,100000,0
2024-11-28,100000,0
2024-11-29,100000,0
2024-12-02,100000,0
2024-12-03,100000,0
2024-12-04,100000,0
2024-12-05,100000,0
2024-12-06,100000,0
2024-12-09,100000,0
2024-12-10,100000,0
2024-12-11,100000,0
2024-12-12,100000,0
2024-12-13,100000,0
2024-12-16,100000,0
2024-12-17,100000,0
2024-12-18,100000,0
2024-12-19,100000,0
2024-12-20,100000,0
2024-12-23,100000,0
2024-12-24,100000,0
2024-12-25,100000,0
2024-12-26,100000,0
2024-12-27,100000,0
2024-12-30,100000,0
2024-12-31,100000,0
