Ticker,Start Date,End Date,Days Missing
AAAC,2025-12-12,2025-12-15,4
AAAC,2025-12-19,2025-12-19,1
AAAC,2025-12-23,2025-12-24,2
AAAC,2025-12-29,2026-01-08,11
AACB,2025-10-16,2025-10-17,2
AACB,2025-10-21,2025-10-21,1
AACB,2025-10-28,2025-10-30,3
AACB,2025-11-04,2025-11-05,2
AACB,2025-11-18,2025-11-21,4
AACB,2025-11-25,2025-11-28,4
AACB,2025-12-02,2025-12-03,2
AACB,2025-12-08,2025-12-11,4
AACB,2025-12-22,2025-12-29,8
AACBR,2025-10-17,2025-10-17,1
AACBR,2025-10-22,2025-10-22,1
AACBR,2025-10-28,2025-11-03,7
AACBR,2025-11-07,2025-11-24,18
AACBR,2025-12-02,2025-12-03,2
AACBR,2025-12-12,2025-12-19,8
AACBR,2025-12-23,2025-12-24,2
AACBR,2025-12-29,2025-12-31,3
AACBU,2025-10-17,2025-10-20,4
AACBU,2025-10-27,2025-11-13,18
AACBU,2025-11-18,2026-01-06,50
AADR,2025-11-12,2025-11-12,1
AADR,2025-12-24,2025-12-26,3
AAEQ,2025-12-26,2026-01-02,8
AAEQ,2026-01-06,2026-01-08,3
AAM,2025-11-28,2025-11-28,1
AAM,2025-12-04,2025-12-04,1
AAM,2025-12-17,2025-12-19,3
AAM,2025-12-24,2025-12-24,1
AAPG,2025-11-17,2025-11-17,1
AAPG,2025-11-25,2025-12-01,7
AAPG,2025-12-24,2025-12-24,1
AAPR,2025-11-19,2025-11-21,3
AAPR,2025-11-28,2025-11-28,1
AAPR,2025-12-23,2025-12-23,1
AAPR,2025-12-29,2025-12-29,1
AAPR,2026-01-05,2026-01-06,2
AAPY,2025-10-24,2025-10-24,1
AAUM,2025-10-17,2025-10-17,1
AAUM,2025-10-21,2025-10-24,4
AAUM,2025-10-29,2025-12-05,38
AAUM,2025-12-09,2026-01-08,31
AAUS,2025-10-17,2025-10-23,7
AAUS,2025-10-27,2025-10-27,1
AAUS,2025-10-31,2025-11-06,7
AAUS,2025-11-10,2025-11-13,4
AAUS,2025-11-20,2025-11-21,2
AAUS,2025-11-28,2025-12-05,8
AAUS,2025-12-10,2025-12-10,1
AAUS,2025-12-15,2025-12-19,5
AAUS,2025-12-24,2025-12-24,1
AAUS,2026-01-02,2026-01-06,5
AAVM,2025-10-16,2025-10-16,1
AAVM,2025-10-24,2025-10-24,1
AAVM,2025-11-04,2025-11-05,2
AAVM,2025-11-11,2025-11-11,1
AAVM,2025-11-17,2025-11-19,3
AAVM,2025-12-04,2025-12-04,1
AAVM,2025-12-11,2025-12-19,9
ABCS,2025-12-12,2025-12-12,1
ABI,2025-10-20,2025-10-23,4
ABI,2025-10-27,2025-10-31,5
ABI,2025-11-04,2025-11-13,10
ABI,2025-11-17,2025-12-29,43
ABIG,2025-10-22,2025-10-23,2
ABIG,2025-10-30,2025-10-30,1
ABIG,2025-11-07,2025-11-12,6
ABIG,2025-11-18,2025-11-19,2
ABIG,2025-11-25,2025-11-28,4
ABIG,2025-12-02,2025-12-05,4
ABLG,2025-10-20,2025-10-20,1
ABLG,2025-11-05,2025-11-05,1
ABLG,2025-11-14,2025-11-14,1
ABLG,2025-11-24,2025-11-24,1
ABLG,2025-11-28,2025-12-11,14
ABLG,2025-12-23,2025-12-26,4
ABLS,2025-10-28,2025-12-12,46
ABLS,2025-12-16,2025-12-31,16
ABLVW,2025-10-30,2026-01-08,71
ABNG,2025-11-20,2025-11-24,5
ABNG,2025-12-19,2025-12-19,1
ABNG,2025-12-24,2025-12-24,1
