Ticker,Missing_Date,Gap_Type
DEC,2023-01-10,Internal
DEC,2023-03-20,Internal
DEC,2023-06-08,Internal
DEC,2023-06-12,Internal
DEC,2023-07-03,Internal
WHLRL,2023-01-12,Internal
WHLRL,2023-01-13,Internal
WHLRL,2023-01-17,Internal
WHLRL,2023-01-20,Internal
WHLRL,2023-01-26,Internal
WHLRL,2023-01-30,Internal
WHLRL,2023-01-31,Internal
WHLRL,2023-02-01,Internal
WHLRL,2023-02-02,Internal
WHLRL,2023-02-06,Internal
WHLRL,2023-02-07,Internal
WHLRL,2023-02-10,Internal
WHLRL,2023-02-13,Internal
WHLRL,2023-02-15,Internal
WHLRL,2023-02-16,Internal
WHLRL,2023-02-17,Internal
WHLRL,2023-02-21,Internal
WHLRL,2023-02-23,Internal
WHLRL,2023-02-24,Internal
WHLRL,2023-02-27,Internal
WHLRL,2023-02-28,Internal
WHLRL,2023-03-02,Internal
WHLRL,2023-03-03,Internal
WHLRL,2023-03-06,Internal
WHLRL,2023-03-07,Internal
WHLRL,2023-03-08,Internal
WHLRL,2023-03-09,Internal
WHLRL,2023-03-10,Internal
WHLRL,2023-03-13,Internal
WHLRL,2023-03-14,Internal
WHLRL,2023-03-15,Internal
WHLRL,2023-03-16,Internal
WHLRL,2023-03-17,Internal
WHLRL,2023-03-20,Internal
WHLRL,2023-03-21,Internal
WHLRL,2023-03-22,Internal
WHLRL,2023-03-23,Internal
WHLRL,2023-03-24,Internal
WHLRL,2023-03-27,Internal
WHLRL,2023-03-28,Internal
WHLRL,2023-04-04,Internal
WHLRL,2023-04-05,Internal
WHLRL,2023-04-10,Internal
WHLRL,2023-04-11,Internal
WHLRL,2023-04-12,Internal
WHLRL,2023-04-13,Internal
WHLRL,2023-04-14,Internal
WHLRL,2023-04-21,Internal
WHLRL,2023-04-26,Internal
WHLRL,2023-04-27,Internal
WHLRL,2023-05-02,Internal
WHLRL,2023-05-03,Internal
WHLRL,2023-05-04,Internal
WHLRL,2023-05-05,Internal
WHLRL,2023-05-08,Internal
WHLRL,2023-05-09,Internal
WHLRL,2023-05-10,Internal
WHLRL,2023-05-11,Internal
WHLRL,2023-05-12,Internal
WHLRL,2023-05-15,Internal
WHLRL,2023-05-16,Internal
WHLRL,2023-05-17,Internal
WHLRL,2023-05-18,Internal
WHLRL,2023-05-19,Internal
WHLRL,2023-05-22,Internal
WHLRL,2023-05-23,Internal
WHLRL,2023-05-24,Internal
WHLRL,2023-05-25,Internal
WHLRL,2023-05-26,Internal
WHLRL,2023-05-30,Internal
WHLRL,2023-05-31,Internal
WHLRL,2023-06-01,Internal
WHLRL,2023-06-02,Internal
WHLRL,2023-06-05,Internal
WHLRL,2023-06-06,Internal
WHLRL,2023-06-09,Internal
WHLRL,2023-06-12,Internal
WHLRL,2023-06-13,Internal
WHLRL,2023-06-14,Internal
WHLRL,2023-06-15,Internal
WHLRL,2023-06-16,Internal
WHLRL,2023-06-20,Internal
WHLRL,2023-06-21,Internal
WHLRL,2023-06-22,Internal
WHLRL,2023-06-23,Internal
WHLRL,2023-06-26,Internal
WHLRL,2023-06-27,Internal
WHLRL,2023-06-29,Internal
WHLRL,2023-06-30,Internal
WHLRL,2023-07-03,Internal
WHLRL,2023-07-05,Internal
WHLRL,2023-07-06,Internal
WHLRL,2023-07-07,Internal
WHLRL,2023-07-10,Internal
WHLRL,2023-07-12,Internal
WHLRL,2023-07-13,Internal
WHLRL,2023-07-14,Internal
WHLRL,2023-07-17,Internal
WHLRL,2023-07-18,Internal
WHLRL,2023-07-19,Internal
WHLRL,2023-07-20,Internal
WHLRL,2023-07-21,Internal
WHLRL,2023-07-24,Internal
WHLRL,2023-07-25,Internal
WHLRL,2023-07-26,Internal
WHLRL,2023-07-28,Internal
WHLRL,2023-07-31,Internal
WHLRL,2023-08-07,Internal
WHLRL,2023-08-08,Internal
WHLRL,2023-08-09,Internal
WHLRL,2023-08-10,Internal
WHLRL,2023-08-11,Internal
WHLRL,2023-08-14,Internal
WHLRL,2023-08-16,Internal
WHLRL,2023-08-18,Internal
WHLRL,2023-08-21,Internal
WHLRL,2023-08-23,Internal
WHLRL,2023-08-24,Internal
WHLRL,2023-08-29,Internal
WHLRL,2023-08-30,Internal
WHLRL,2023-08-31,Internal
WHLRL,2023-09-01,Internal
WHLRL,2023-09-13,Internal
WHLRL,2023-09-14,Internal
WHLRL,2023-09-15,Internal
WHLRL,2023-09-18,Internal
WHLRL,2023-09-20,Internal
WHLRL,2023-09-21,Internal
WHLRL,2023-09-22,Internal
WHLRL,2023-09-25,Internal
WHLRL,2023-09-28,Internal
WHLRL,2023-09-29,Internal
WHLRL,2023-10-02,Internal
WHLRL,2023-10-03,Internal
WHLRL,2023-10-04,Internal
WHLRL,2023-10-05,Internal
WHLRL,2023-10-06,Internal
WHLRL,2023-10-09,Internal
WHLRL,2023-10-10,Internal
WHLRL,2023-10-12,Internal
WHLRL,2023-10-13,Internal
WHLRL,2023-10-16,Internal
WHLRL,2023-10-17,Internal
WHLRL,2023-10-18,Internal
WHLRL,2023-10-19,Internal
WHLRL,2023-10-20,Internal
WHLRL,2023-10-23,Internal
WHLRL,2023-10-24,Internal
WHLRL,2023-10-25,Internal
WHLRL,2023-10-26,Internal
WHLRL,2023-10-27,Internal
WHLRL,2023-10-30,Internal
WHLRL,2023-10-31,Internal
WHLRL,2023-11-01,Internal
WHLRL,2023-11-02,Internal
WHLRL,2023-11-03,Internal
WHLRL,2023-11-06,Internal
WHLRL,2023-11-07,Internal
WHLRL,2023-11-08,Internal
WHLRL,2023-11-09,Internal
WHLRL,2023-11-13,Internal
WHLRL,2023-11-14,Internal
WHLRL,2023-11-15,Internal
WHLRL,2023-11-16,Internal
WHLRL,2023-11-17,Internal
WHLRL,2023-11-20,Internal
WHLRL,2023-11-21,Internal
WHLRL,2023-11-22,Internal
WHLRL,2023-11-24,Internal
WHLRL,2023-11-27,Internal
WHLRL,2023-11-28,Internal
WHLRL,2023-11-29,Internal
WHLRL,2023-11-30,Internal
WHLRL,2023-12-01,Internal
WHLRL,2023-12-04,Internal
WHLRL,2023-12-05,Internal
WHLRL,2023-12-06,Internal
WHLRL,2023-12-07,Internal
WHLRL,2023-12-08,Internal
WHLRL,2023-12-11,Internal
WHLRL,2023-12-12,Internal
WHLRL,2023-12-13,Internal
WHLRL,2023-12-14,Internal
WHLRL,2023-12-15,Internal
WHLRL,2023-12-18,Internal
WHLRL,2023-12-19,Internal
WHLRL,2023-12-20,Internal
WHLRL,2023-12-21,Internal
WHLRL,2023-12-27,Internal
WHLRL,2023-12-28,Internal
