Ticker,Missing_Date,Gap_Type
FISV,2025-11-12,Internal
FNGR,2025-03-04,Internal
FNGR,2025-03-05,Internal
FNGR,2025-03-06,Internal
FNGR,2025-03-07,Internal
FNGR,2025-03-10,Internal
FNGR,2025-03-11,Internal
FNGR,2025-03-12,Internal
FNGR,2025-03-13,Internal
FNGR,2025-03-14,Internal
FNGR,2025-10-24,Internal
FNGS,2025-03-04,Internal
FNGS,2025-03-05,Internal
FNGS,2025-03-06,Internal
FNGS,2025-03-07,Internal
FNGS,2025-03-10,Internal
FNGS,2025-03-11,Internal
FNGS,2025-03-12,Internal
FNGS,2025-03-13,Internal
FNGS,2025-03-14,Internal
FNGS,2025-10-24,Internal
FNGU,2025-03-04,Internal
FNGU,2025-03-05,Internal
FNGU,2025-03-06,Internal
FNGU,2025-03-07,Internal
FNGU,2025-03-10,Internal
FNGU,2025-03-11,Internal
FNGU,2025-03-12,Internal
FNGU,2025-03-13,Internal
FNGU,2025-03-14,Internal
FNGU,2025-10-24,Internal
