symbol,entry_date,exit_date,entry_price,exit_price,shares,initial_shares,pnl,return_pct,reason,signal_type,tp1_executed,tp2_executed,final_shares_pct,R_inicial,adr_valor,entry_stage,initial_stop_loss,context_adr,context_vol,context_trend,context_price,context_sma20,context_rvol,is_profitable,signal_reason,returns_pct,position_value,monetary_risk
MSFT,2023-03-17,2023-03-21,278.26,273.78,41,41,-183.68000000000075,-1.6100050312657292,"MOMENTUM_FAIL (3-Day Rule) | Risk Clamped: 5.2% -> 4.4% (Max 2xADR/8%) | VWAP Reclaim: Weak open, price reclaimed VWAP at 276.20. Institutions defending position. RVOL: 1.99x",VWAP_RECLAIM,False,False,100.0,12.845136707395568,5.644500000000005,FULL,265.4148632926044,2.155921306665021,28863648,Weak,0,0,1.988822730177796,False,"MOMENTUM_FAIL (3-Day Rule) | Risk Clamped: 5.2% -> 4.4% (Max 2xADR/8%) | VWAP Reclaim: Weak open, price reclaimed VWAP at 276.20. Institutions defending position. RVOL: 1.99x",-1.6100050312657292,11408.66,500.0
AVGO,2023-05-26,2023-05-31,74.76,80.8,73,239,1163.1223648483215,8.079186730872113,EARNINGS_EXIT (<10% Cushion) | Blue Sky Breakout: Base (73.24) and AVWAP (72.88) converge within 0.5%. Trend: Uptrend. RVOL: 2.47x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,30.543933054393307,3.0472673622292064,1.6655000000000002,FULL,71.7127326377708,2.1205770751726125,21483100,Weak,0,0,2.4714739378327284,True,EARNINGS_EXIT (<10% Cushion) | Blue Sky Breakout: Base (73.24) and AVWAP (72.88) converge within 0.5%. Trend: Uptrend. RVOL: 2.47x. Clear path above with SMA20 support and volume confirmation.,8.079186730872113,5457.4800000000005,500.0
MSFT,2023-04-27,2023-06-26,301.11809999999997,328.6,23,73,1030.385359400851,9.126618426457943,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (299.57) and AVWAP (295.37) converge within 1.4%. Trend: Uptrend. RVOL: 2.54x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,31.506849315068493,6.832129634512057,5.476999999999992,FULL,294.2859703654879,1.784421932720754,27574714,Weak,0,0,2.5394069901313445,True,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (299.57) and AVWAP (295.37) converge within 1.4%. Trend: Uptrend. RVOL: 2.54x. Clear path above with SMA20 support and volume confirmation.,9.126618426457943,6925.716299999999,500.0
PLTR,2023-08-01,2023-08-02,20.145225843429564,18.94497077090611,139,139,-166.83545508076014,-5.958012493143241,STOP_LOSS | HIGH_VOLATILITY (ADR 5.4%) - Size reduced to 1/3 (67% reduction) (424->139) | Blue Sky Breakout: Base (20.00) and AVWAP (19.84) converge within 0.8%. Trend: Uptrend. RVOL: 2.53x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,1.2002550725234542,0.9353502750396728,FULL,18.94497077090611,5.353969467108934,61148380,Weak,0,0,2.532060195419528,False,STOP_LOSS | HIGH_VOLATILITY (ADR 5.4%) - Size reduced to 1/3 (67% reduction) (424->139) | Blue Sky Breakout: Base (20.00) and AVWAP (19.84) converge within 0.8%. Trend: Uptrend. RVOL: 2.53x. Clear path above with SMA20 support and volume confirmation.,-5.958012493143241,2800.1863922367093,500.0
LLY,2023-09-11,2023-09-14,590.5379999999999,590.5379999999999,22,36,145.50900000000024,0.0,STOP_LOSS | Blue Sky Breakout: Base (587.55) and AVWAP (586.46) converge within 0.2%. Trend: Uptrend. RVOL: 1.71x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,61.111111111111114,14.019465427174168,10.393499999999989,FULL,576.5185345728257,1.864628449117371,2522601,Weak,0,0,1.7148653384577401,True,STOP_LOSS | Blue Sky Breakout: Base (587.55) and AVWAP (586.46) converge within 0.2%. Trend: Uptrend. RVOL: 1.71x. Clear path above with SMA20 support and volume confirmation.,0.0,12991.835999999998,500.0
LLY,2023-10-12,2023-10-16,611.8841999999999,610.99,17,28,135.34460000000308,-0.14613876285739064,STOP_LOSS | Blue Sky Breakout: Base (608.79) and AVWAP (605.28) converge within 0.6%. Trend: Uptrend. RVOL: 1.95x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.71428571428571,18.141804165220606,13.68599999999999,FULL,593.7423958347792,2.4551033167181036,3131273,Weak,0,0,1.9524281845669438,True,STOP_LOSS | Blue Sky Breakout: Base (608.79) and AVWAP (605.28) converge within 0.6%. Trend: Uptrend. RVOL: 1.95x. Clear path above with SMA20 support and volume confirmation.,-0.14613876285739064,10402.031399999998,500.0
PLTR,2023-11-13,2023-11-21,19.768350076675414,19.768350076675414,33,106,115.14280861091608,0.0,"STOP_LOSS | Risk Clamped: 8.6% -> 8.0% (Max 2xADR/8%) | HIGH_VOLATILITY (ADR 5.3%) - Size reduced to 1/3 (67% reduction) (322->106) | VWAP Reclaim: Weak open, price reclaimed VWAP at 19.67. Institutions defending position. RVOL: 1.56x",VWAP_RECLAIM,True,True,31.132075471698112,1.5814680061340312,0.8899500846862793,FULL,18.186882070541383,5.263433166527811,61513260,Weak,0,0,1.556097736118386,True,"STOP_LOSS | Risk Clamped: 8.6% -> 8.0% (Max 2xADR/8%) | HIGH_VOLATILITY (ADR 5.3%) - Size reduced to 1/3 (67% reduction) (322->106) | VWAP Reclaim: Weak open, price reclaimed VWAP at 19.67. Institutions defending position. RVOL: 1.56x",0.0,652.3555525302887,500.0
AVGO,2023-12-12,2024-01-03,104.51999999999998,105.86,49,161,481.3997954228777,1.2820512820512993,TIME_EXPIRATION (10-Day Rule) | Blue Sky Breakout: Base (103.95) and AVWAP (102.92) converge within 1.0%. Trend: Uptrend. RVOL: 2.86x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,30.434782608695656,3.158434303482437,2.6254999999999997,FULL,101.36156569651754,2.501474326674702,38653685,Weak,0,0,2.8575780907763892,True,TIME_EXPIRATION (10-Day Rule) | Blue Sky Breakout: Base (103.95) and AVWAP (102.92) converge within 1.0%. Trend: Uptrend. RVOL: 2.86x. Clear path above with SMA20 support and volume confirmation.,1.2820512820512993,5121.48,500.0
TSM,2024-01-19,2024-01-19,114.00719938659667,111.32689312253402,45,45,-120.61378188281928,-2.3509973742743853,STOP_LOSS | EARNINGS_RISK (0d away) - Size reduced 75% (182->45) | Blue Sky Breakout: Base (113.39) and AVWAP (113.03) converge within 0.3%. Trend: Uptrend. RVOL: 7.21x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,2.6803062640626507,2.0609996795654295,FULL,111.32689312253402,1.8465447468588447,10810050,Weak,0,0,7.209278510454206,False,STOP_LOSS | EARNINGS_RISK (0d away) - Size reduced 75% (182->45) | Blue Sky Breakout: Base (113.39) and AVWAP (113.03) converge within 0.3%. Trend: Uptrend. RVOL: 7.21x. Clear path above with SMA20 support and volume confirmation.,-2.3509973742743853,5130.32397239685,500.0
AVGO,2024-01-22,2024-01-26,122.35874999999999,122.0,95,157,158.72480702005163,-0.29319521489062805,STOP_LOSS | Blue Sky Breakout: Base (121.70) and AVWAP (121.12) converge within 0.5%. Trend: Uptrend. RVOL: 2.09x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.509554140127385,3.1097751132266183,2.218000000000001,FULL,119.24897488677337,2.0336887246520012,26222789,Weak,0,0,2.0921252396486505,True,STOP_LOSS | Blue Sky Breakout: Base (121.70) and AVWAP (121.12) converge within 0.5%. Trend: Uptrend. RVOL: 2.09x. Clear path above with SMA20 support and volume confirmation.,-0.29319521489062805,11624.08125,500.0
APP,2024-02-16,2024-02-20,59.48594938659667,56.09130780303068,47,47,-159.54815442760162,-5.70662756259358,STOP_LOSS | HIGH_VOLATILITY (ADR 5.1%) - Size reduced to 1/3 (67% reduction) (144->47) | Blue Sky Breakout: Base (59.14) and AVWAP (58.50) converge within 1.1%. Trend: Uptrend. RVOL: 4.06x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,3.394641583565992,2.3954500198364257,FULL,56.09130780303068,5.09298211326516,4626285,Weak,0,0,4.0637326529530675,False,STOP_LOSS | HIGH_VOLATILITY (ADR 5.1%) - Size reduced to 1/3 (67% reduction) (144->47) | Blue Sky Breakout: Base (59.14) and AVWAP (58.50) converge within 1.1%. Trend: Uptrend. RVOL: 4.06x. Clear path above with SMA20 support and volume confirmation.,-5.70662756259358,2795.8396211700438,500.0
NVDA,2024-01-09,2024-02-21,52.591649999999994,67.47,98,325,1879.1858712361843,28.29032745692521,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (52.28) and AVWAP (52.25) converge within 0.1%. Trend: Uptrend. RVOL: 1.76x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,30.153846153846153,1.57659708643218,1.279000000000001,FULL,51.015052913567814,2.4705147390672275,379906528,Weak,0,0,1.7587487385527787,True,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (52.28) and AVWAP (52.25) converge within 0.1%. Trend: Uptrend. RVOL: 1.76x. Clear path above with SMA20 support and volume confirmation.,28.29032745692521,5153.981699999999,500.0
AAPL,2024-06-12,2024-06-21,208.24605,208.24605,35,115,590.5197749308297,0.0,STOP_LOSS | Blue Sky Breakout: Base (207.16) and AVWAP (207.15) converge within 0.0%. Trend: Uptrend. RVOL: 3.22x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,30.434782608695656,4.507784541456715,3.764500000000001,FULL,203.73826545854328,1.6445838597559281,58582898,Weak,0,0,3.2179324431906866,True,STOP_LOSS | Blue Sky Breakout: Base (207.16) and AVWAP (207.15) converge within 0.0%. Trend: Uptrend. RVOL: 3.22x. Clear path above with SMA20 support and volume confirmation.,0.0,7288.61175,500.0
PLTR,2024-06-18,2024-06-21,25.149999618530273,24.709999084472656,173,288,15.707425594330005,-1.7495051321330006,"STOP_LOSS | VWAP Reclaim: Weak open, price reclaimed VWAP at 25.02. Institutions defending position. RVOL: 1.58x",VWAP_RECLAIM,True,False,60.06944444444444,1.6999988555908203,0.7985001564025879,FULL,23.450000762939453,3.39065234960938,35537870,Weak,0,0,1.5757224312286129,True,"STOP_LOSS | VWAP Reclaim: Weak open, price reclaimed VWAP at 25.02. Institutions defending position. RVOL: 1.58x",-1.7495051321330006,4350.949934005737,500.0
TSLA,2024-07-09,2024-07-11,254.20469999999997,254.20469999999997,33,54,202.3286999999996,0.0,"STOP_LOSS | VWAP Reclaim: Weak open, price reclaimed VWAP at 252.94. Institutions defending position. RVOL: 1.67x",VWAP_RECLAIM,True,False,61.111111111111114,9.634699999999981,9.195,FULL,244.57,4.289997520914024,98479639,Weak,0,0,1.6705403207465641,True,"STOP_LOSS | VWAP Reclaim: Weak open, price reclaimed VWAP at 252.94. Institutions defending position. RVOL: 1.67x",0.0,8388.755099999998,500.0
AMZN,2024-11-07,2024-11-11,208.638,206.84,93,93,-167.21400000000017,-0.8617797333179966,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (207.55) and AVWAP (207.09) converge within 0.2%. Trend: Uptrend. RVOL: 2.06x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,5.0919128416528,3.837000000000002,FULL,203.5460871583472,1.932966056989509,37449626,Weak,0,0,2.0565489896996714,False,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (207.55) and AVWAP (207.09) converge within 0.2%. Trend: Uptrend. RVOL: 2.06x. Clear path above with SMA20 support and volume confirmation.,-0.8617797333179966,19403.334,500.0
