symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_phase,signal_type,stop_loss,tp1_target,tp2_target,adjusted_risk_dollars,entry_score
PLTR,2025-06-02,2025-06-05,132.27981329345704,119.91000366210938,272.0,-3364.5882197265637,STOP,any,121.49759674072266,145.21798706054688,163.6671905517578,2878.0,0.5
APP,2025-06-10,2025-06-18,384.29872534179685,344.3699951171875,93.0,-3713.3719108886708,STOP,any,352.9219970703125,421.969970703125,475.6739807128906,2878.0,0.622499942779541
APP,2025-08-04,2025-08-07,395.88468975830074,437.3399963378906,31.0,1285.1145039672858,TP1,any,395.010009765625,432.927001953125,486.01080322265625,2878.0,0.6222032308578491
PLTR,2025-08-05,2025-08-12,173.64867626953122,189.33599853515625,73.0,1145.174525390626,TP1,any,173.27000427246094,189.33599853515625,211.82839965820312,2878.0,1.0
PLTR,2025-08-05,2025-08-18,173.61654428100587,173.27000427246094,150.0,-51.98100128173924,STOP,any,173.27000427246094,189.33599853515625,211.82839965820312,2878.0,1.0
APP,2025-08-04,2025-08-20,395.8000297851562,395.010009765625,63.0,-49.77126123046712,STOP,any,395.010009765625,432.927001953125,486.01080322265625,2878.0,0.6222032308578491
APP,2025-09-08,2025-09-16,548.2475780029297,603.7999877929688,24.0,1333.2578349609375,TP1,any,547.0399780273438,596.06396484375,664.6975708007812,2878.0,0.9941616058349609
APP,2025-09-08,2025-09-23,548.3693731689452,664.6975708007812,24.0,2791.8767431640636,TP2,any,547.0399780273438,596.06396484375,664.6975708007812,2878.0,0.9941616058349609
APP,2025-09-08,2025-10-06,548.1340579833984,547.0399780273438,25.0,-27.351998901366798,STOP,any,547.0399780273438,596.06396484375,664.6975708007812,2878.0,0.9941616058349609
PLTR,2025-09-26,2025-10-29,177.96762731933592,198.80999755859375,66.0,1375.5964357910163,TP1,any,177.57000732421875,195.4820098876953,220.55880737304688,2878.0,0.6374043822288513
PLTR,2025-09-26,2025-11-06,177.92010733032225,175.0500030517578,134.0,-384.59397332763587,STOP,any,177.57000732421875,195.4820098876953,220.55880737304688,2878.0,0.6374043822288513
APP,2025-11-06,2025-11-11,622.5498052978517,594.9099731445312,58.0,-1603.110264892581,STOP,any,621.3599853515625,683.0650024414062,769.4519653320312,2878.0,0.8351265788078308
PLTR,2025-11-11,2025-11-13,191.3042867126465,172.13999938964844,185.0,-3545.3931547546404,STOP,any,175.47120666503906,210.32101440429688,237.42640686035156,2878.0,0.6303504705429077
