symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,reason,signal_type,context_adr,context_vol,context_trend,context_rvol,is_profitable,signal_reason,returns_pct,position_value,monetary_risk
FLEX,2020-10-16,2020-10-29,10.580256462097168,10.316502571105957,1456,-384.0256652832031,-2.492887501697959,TIME_EXPIRATION (10-Day Rule) | Blue Sky Breakout: Base (9.50) and AVWAP (9.47) converge within 0.3%. Trend: Uptrend. RVOL: 1.58x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,3.061588717117893,3709661,Weak,7.83,False,TIME_EXPIRATION (10-Day Rule) | Blue Sky Breakout: Base (9.50) and AVWAP (9.47) converge within 0.3%. Trend: Uptrend. RVOL: 1.58x. Clear path above with SMA20 support and volume confirmation.,-2.492887501697959,15404.853408813477,500.0
COHR,2020-11-06,2020-11-10,56.61164877319335,56.439998626708984,100,-17.16501464843674,-0.30320640752234523,STOP_LOSS | Blue Sky Breakout: Base (56.28) and AVWAP (56.21) converge within 0.1%. Trend: Uptrend. RVOL: 4.29x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,3.7679902888327335,1103845,Weak,2.61,False,STOP_LOSS | Blue Sky Breakout: Base (56.28) and AVWAP (56.21) converge within 0.1%. Trend: Uptrend. RVOL: 4.29x. Clear path above with SMA20 support and volume confirmation.,-0.30320640752234523,5661.164877319336,500.0
COMM,2020-11-24,2020-11-24,12.039900306701659,11.890000343322754,742,-111.22577282714758,-1.2450266161711294,OPP_COST (Weak RS) | Blue Sky Breakout: Base (11.93) and AVWAP (11.77) converge within 1.3%. Trend: Uptrend. RVOL: 1.68x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,5.039398724110297,3044735,Weak,1.38,False,OPP_COST (Weak RS) | Blue Sky Breakout: Base (11.93) and AVWAP (11.77) converge within 1.3%. Trend: Uptrend. RVOL: 1.68x. Clear path above with SMA20 support and volume confirmation.,-1.2450266161711294,8933.60602757263,500.0
CDE,2020-12-17,2020-12-18,10.579999923706055,9.81078894079372,778,-598.4461447057957,-7.270425221731836,STOP_LOSS | Blue Sky Breakout: Base (10.35) and AVWAP (10.28) converge within 0.7%. Trend: Uptrend. RVOL: 1.82x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,5.506012629109167,5102185,Uptrend,2.39,False,STOP_LOSS | Blue Sky Breakout: Base (10.35) and AVWAP (10.28) converge within 0.7%. Trend: Uptrend. RVOL: 1.82x. Clear path above with SMA20 support and volume confirmation.,-7.270425221731836,8231.23994064331,500.0
FSLR,2020-12-23,2020-12-24,107.37000274658203,101.31744909104306,93,-562.8874899651244,-5.637099283516267,STOP_LOSS | Blue Sky Breakout: Base (106.04) and AVWAP (105.16) converge within 0.8%. Trend: Uptrend. RVOL: 2.05x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,4.402797278658342,2363120,Uptrend,1.25,False,STOP_LOSS | Blue Sky Breakout: Base (106.04) and AVWAP (105.16) converge within 0.8%. Trend: Uptrend. RVOL: 2.05x. Clear path above with SMA20 support and volume confirmation.,-5.637099283516267,9985.410255432129,500.0
LITE,2020-12-23,2020-12-28,98.9523036804199,98.94000244140625,132,-1.6237635498021064,-0.012431483205667315,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (98.41) and AVWAP (97.75) converge within 0.7%. Trend: Uptrend. RVOL: 2.28x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,3.2396098532104185,997545,Uptrend,1.43,False,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (98.41) and AVWAP (97.75) converge within 0.7%. Trend: Uptrend. RVOL: 2.28x. Clear path above with SMA20 support and volume confirmation.,-0.012431483205667315,13061.704085815427,500.0
XME,2021-01-06,2021-01-08,35.720001220703125,35.720001220703125,199,0.0,0.0,STOP_LOSS | Blue Sky Breakout: Base (35.35) and AVWAP (35.10) converge within 0.7%. Trend: Uptrend. RVOL: 1.69x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,2.9790797776740874,2702770,Weak,2.91,False,STOP_LOSS | Blue Sky Breakout: Base (35.35) and AVWAP (35.10) converge within 0.7%. Trend: Uptrend. RVOL: 1.69x. Clear path above with SMA20 support and volume confirmation.,0.0,7108.280242919922,500.0
MU,2021-01-08,2021-01-08,82.54000091552734,78.05000305175781,164,-736.3596496582031,-5.439784121597795,STOP_LOSS | Blue Sky Breakout: Base (80.08) and AVWAP (79.11) converge within 1.2%. Trend: Uptrend. RVOL: 1.70x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,3.0085285651236395,16470130,Weak,3.11,False,STOP_LOSS | Blue Sky Breakout: Base (80.08) and AVWAP (79.11) converge within 1.2%. Trend: Uptrend. RVOL: 1.70x. Clear path above with SMA20 support and volume confirmation.,-5.439784121597795,13536.560150146484,500.0
LITE,2021-01-12,2021-01-14,109.75,106.23999786376953,115,-403.6502456665039,-3.198179622989038,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (108.64) and AVWAP (107.89) converge within 0.7%. Trend: Uptrend. RVOL: 1.53x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,3.2257906175761333,1185110,Uptrend,1.48,False,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (108.64) and AVWAP (107.89) converge within 0.7%. Trend: Uptrend. RVOL: 1.53x. Clear path above with SMA20 support and volume confirmation.,-3.198179622989038,12621.25,500.0
PLTR,2021-01-25,2021-01-25,34.459999084472656,30.123469692993165,177,-767.5657022918699,-12.584241168577076,"STOP_LOSS | Risk Clamped: 21.1% -> 8.0% (Max 2xADR/8%) | VWAP Reclaim: Weak open, price reclaimed VWAP at 32.58. Institutions defending position.",VWAP_RECLAIM,7.449743830164978,47592700,Uptrend,4.02,False,"STOP_LOSS | Risk Clamped: 21.1% -> 8.0% (Max 2xADR/8%) | VWAP Reclaim: Weak open, price reclaimed VWAP at 32.58. Institutions defending position.",-12.584241168577076,6099.41983795166,500.0
AEO,2021-01-07,2021-01-27,22.190400690078732,22.190400690078732,236,0.0,0.0,STOP_LOSS | Blue Sky Breakout: Base (22.03) and AVWAP (21.87) converge within 0.7%. Trend: Uptrend. RVOL: 1.51x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,3.513613526440603,3798850,Weak,1.57,False,STOP_LOSS | Blue Sky Breakout: Base (22.03) and AVWAP (21.87) converge within 0.7%. Trend: Uptrend. RVOL: 1.51x. Clear path above with SMA20 support and volume confirmation.,0.0,5236.934562858581,500.0
ASTS,2021-02-10,2021-02-10,23.09000015258789,20.8035,269,-615.0685410461426,-9.902555814109094,"STOP_LOSS | Risk Clamped: 23.1% -> 8.0% (Max 2xADR/8%) | VWAP Reclaim: Weak open, price reclaimed VWAP at 22.50. Institutions defending position.",VWAP_RECLAIM,10.73990180902253,2489210,Uptrend,1.83,False,"STOP_LOSS | Risk Clamped: 23.1% -> 8.0% (Max 2xADR/8%) | VWAP Reclaim: Weak open, price reclaimed VWAP at 22.50. Institutions defending position.",-9.902555814109094,6211.210041046143,500.0
