symbol,entry_date,exit_date,entry_price,exit_price,shares,initial_shares,pnl,return_pct,reason,signal_type,tp1_executed,tp2_executed,final_shares_pct,R_inicial,adr_valor,entry_stage,initial_stop_loss,context_adr,context_vol,context_trend,context_price,context_sma20,context_rvol,is_profitable,signal_reason,returns_pct,position_value,monetary_risk,sector,market_health_score,market_health_status,market_health_reasons,sector_momentum_20d,sector_ranking,sector_momentum_class
ETN,2021-01-07,2021-01-08,118.92596374391243,115.80888257733544,93.0,93.0,-289.8885484916605,-2.6210266189552334,STOP_LOSS | Blue Sky Breakout: Base (118.28) and AVWAP (116.52) converge within 1.5%. Trend: Uptrend. RVOL: 1.94x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,3.117081166576994,2.3871561297119377,FULL,115.80888257733544,2.1369219019427743,1679265,Weak,0,0,1.9382196418411517,False,STOP_LOSS | Blue Sky Breakout: Base (118.28) and AVWAP (116.52) converge within 1.5%. Trend: Uptrend. RVOL: 1.94x. Clear path above with SMA20 support and volume confirmation.,-2.6210266189552334,11060.114628183856,500.0,Other,0,RED,,,,
FITB,2021-01-07,2021-01-08,25.92995636492308,25.92995636492308,207.0,344.0,92.7522711633831,0.0,STOP_LOSS | Blue Sky Breakout: Base (25.52) and AVWAP (25.35) converge within 0.7%. Trend: Uptrend. RVOL: 2.38x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.17441860465116,1.0833515120138877,0.6770238771049861,FULL,24.84660485290919,2.7943551139193703,4522340,Weak,0,0,2.375446150292995,True,STOP_LOSS | Blue Sky Breakout: Base (25.52) and AVWAP (25.35) converge within 0.7%. Trend: Uptrend. RVOL: 2.38x. Clear path above with SMA20 support and volume confirmation.,0.0,5367.5009675390775,500.0,Other,0,RED,,,,
COF,2021-01-07,2021-01-08,99.32215797446833,99.32215797446833,56.0,92.0,87.24258433617388,0.0,STOP_LOSS | Blue Sky Breakout: Base (98.41) and AVWAP (98.16) converge within 0.3%. Trend: Uptrend. RVOL: 1.64x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.86956521739131,3.537689321023308,2.4234051204492686,FULL,95.78446865344502,2.6719185991863137,2760070,Weak,0,0,1.64058985067048,True,STOP_LOSS | Blue Sky Breakout: Base (98.41) and AVWAP (98.16) converge within 0.3%. Trend: Uptrend. RVOL: 1.64x. Clear path above with SMA20 support and volume confirmation.,0.0,5562.040846570226,500.0,Other,0,RED,,,,
FCX,2021-01-06,2021-01-11,27.37562053652908,27.37562053652908,138.0,458.0,406.6670138018005,0.0,STOP_LOSS | Blue Sky Breakout: Base (26.75) and AVWAP (26.55) converge within 0.7%. Trend: Uptrend. RVOL: 1.56x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,30.131004366812224,1.5337005573923683,0.8769559901123583,FULL,25.84191997913671,3.5182359746433853,16441610,Weak,0,0,1.5602561394251355,True,STOP_LOSS | Blue Sky Breakout: Base (26.75) and AVWAP (26.55) converge within 0.7%. Trend: Uptrend. RVOL: 1.56x. Clear path above with SMA20 support and volume confirmation.,0.0,3777.835634041013,500.0,Materials,0,RED,,7.54629543305172,1.0,Moderate (5-10%)
PLUG,2021-01-08,2021-01-11,51.97999954223633,48.86000061035156,6.0,9.0,-10.553993511199955,-6.002306578224595,STOP_LOSS | Risk Clamped: 8.7% -> 8.0% (Max 2xADR/8%) | HIGH_VOLATILITY (ADR 7.9%) - Size reduced to 1/4 (75% reduction) (36->9) | Blue Sky Breakout: Base (47.31) and AVWAP (47.29) converge within 0.0%. Trend: Uptrend. RVOL: 2.90x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,66.66666666666666,8.190942272491455,2.7220000267028808,FULL,43.78905726974487,7.916128111389733,35431925,Uptrend,0,0,2.895683619867022,False,STOP_LOSS | Risk Clamped: 8.7% -> 8.0% (Max 2xADR/8%) | HIGH_VOLATILITY (ADR 7.9%) - Size reduced to 1/4 (75% reduction) (36->9) | Blue Sky Breakout: Base (47.31) and AVWAP (47.29) converge within 0.0%. Trend: Uptrend. RVOL: 2.90x. Clear path above with SMA20 support and volume confirmation.,-6.002306578224595,311.879997253418,500.0,Other,0,RED,,,,
LPLA,2021-01-11,2021-01-11,112.8512496629347,109.78102421728616,50.0,50.0,-153.51127228242802,-2.7205949910335434,STOP_LOSS | Blue Sky Breakout: Base (112.24) and AVWAP (111.92) converge within 0.3%. Trend: Uptrend. RVOL: 1.55x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,3.0702254456485605,2.534415586699835,FULL,109.78102421728616,2.201145843835409,443795,Weak,0,0,1.5494725101082865,False,STOP_LOSS | Blue Sky Breakout: Base (112.24) and AVWAP (111.92) converge within 0.3%. Trend: Uptrend. RVOL: 1.55x. Clear path above with SMA20 support and volume confirmation.,-2.7205949910335434,5642.562483146735,500.0,Other,0,RED,,,,
RVTY,2021-01-06,2021-01-12,151.5953343146202,151.5953343146202,34.0,111.0,432.3426447300062,0.0,STOP_LOSS | Blue Sky Breakout: Base (150.79) and AVWAP (150.18) converge within 0.4%. Trend: Uptrend. RVOL: 1.83x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,30.630630630630627,4.48972457304626,3.740118314596029,FULL,147.10560974157394,2.4467305739809384,772040,Weak,0,0,1.8269198363429249,True,STOP_LOSS | Blue Sky Breakout: Base (150.79) and AVWAP (150.18) converge within 0.4%. Trend: Uptrend. RVOL: 1.83x. Clear path above with SMA20 support and volume confirmation.,0.0,5154.241366697087,500.0,Other,0,RED,,,,
JBHT,2021-01-08,2021-01-12,144.77491594120875,140.74435092304634,34.0,34.0,-137.0392106175218,-2.7840216600776118,STOP_LOSS | Blue Sky Breakout: Base (144.00) and AVWAP (141.79) converge within 1.5%. Trend: Uptrend. RVOL: 1.50x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,4.030565018162406,3.162010519536321,FULL,140.74435092304634,2.302355110575474,589410,Weak,0,0,1.502533221882943,False,STOP_LOSS | Blue Sky Breakout: Base (144.00) and AVWAP (141.79) converge within 1.5%. Trend: Uptrend. RVOL: 1.50x. Clear path above with SMA20 support and volume confirmation.,-2.7840216600776118,4922.347142001097,500.0,Other,0,RED,,,,
MNST,2021-01-08,2021-01-12,47.08424923324584,46.994998931884766,137.0,137.0,-12.227291286467462,-0.1895544748286171,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (46.80) and AVWAP (46.75) converge within 0.1%. Trend: Uptrend. RVOL: 1.72x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,1.0092063309456163,0.7592508316040039,FULL,46.07504290230023,1.633889256430496,3599610,Uptrend,0,0,1.7203639625784954,False,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (46.80) and AVWAP (46.75) converge within 0.1%. Trend: Uptrend. RVOL: 1.72x. Clear path above with SMA20 support and volume confirmation.,-0.1895544748286171,6450.54214495468,500.0,Other,0,RED,,,,
BRKR,2021-01-08,2021-01-13,57.62420232011599,57.62420232011599,47.0,77.0,42.18337127419545,0.0,STOP_LOSS | Blue Sky Breakout: Base (57.29) and AVWAP (57.09) converge within 0.3%. Trend: Uptrend. RVOL: 1.72x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,61.03896103896104,1.7781329354188244,1.4061123758065155,FULL,55.84606938469717,2.5715678983979986,428035,Weak,0,0,1.7175503513445105,True,STOP_LOSS | Blue Sky Breakout: Base (57.29) and AVWAP (57.09) converge within 0.3%. Trend: Uptrend. RVOL: 1.72x. Clear path above with SMA20 support and volume confirmation.,0.0,2708.3375090454515,500.0,Other,0,RED,,,,
