date,ticker,index_member
2019-01-01,ACC,SP500
2019-01-01,ACHC,SP500
2019-01-01,ACIW,SP500
2019-01-01,ACM,SP500
2019-01-01,ADNT,SP500
2019-01-01,AEO,SP500
2019-01-01,AFG,SP500
2019-01-01,AGCO,SP500
2019-01-01,AHL,SP500
2019-01-01,ALE,SP500
2019-01-01,ALEX,SP500
2019-01-01,AMCX,SP500
2019-01-01,AN,SP500
2019-01-01,APY,SP500
2019-01-01,ARRS,SP500
2019-01-01,ARW,SP500
2019-01-01,ASB,SP500
2019-01-01,ASGN,SP500
2019-01-01,ASH,SP500
2019-01-01,ATGE,SP500
2019-01-01,ATI,SP500
2019-01-01,ATO,SP500
2019-01-01,ATR,SP500
2019-01-01,AVNS,SP500
2019-01-01,AVT,SP500
2019-01-01,AYI,SP500
2019-01-01,BBBY,SP500
2019-01-01,BC,SP500
2019-01-01,BCO,SP500
2019-01-01,BDC,SP500
2019-01-01,BID,SP500
2019-01-01,BIG,SP500
2019-01-01,BIO,SP500
2019-01-01,BKH,SP500
2019-01-01,BLKB,SP500
2019-01-01,BMS,SP500
2019-01-01,BOH,SP500
2019-01-01,BRO,SP500
2019-01-01,BXS,SP500
2019-01-01,BYD,SP500
2019-01-01,CABO,SP500
2019-01-01,CACI,SP500
2019-01-01,CAKE,SP500
2019-01-01,CAR,SP500
2019-01-01,CARS,SP500
2019-01-01,CASY,SP500
2019-01-01,CATY,SP500
2019-01-01,CBRL,SP500
2019-01-01,CBSH,SP500
2019-01-01,CBT,SP500
2019-01-01,CC,SP500
2019-01-01,CDK,SP500
2019-01-01,CFR,SP500
2019-01-01,CGNX,SP500
2019-01-01,CHDN,SP500
2019-01-01,CHE,SP500
2019-01-01,CHFC,SP500
2019-01-01,CHK,SP500
2019-01-01,CIEN,SP500
2019-01-01,CLB,SP500
2019-01-01,CLGX,SP500
2019-01-01,CLH,SP500
2019-01-01,CLI,SP500
2019-01-01,CMC,SP500
2019-01-01,CMD,SP500
2019-01-01,CMP,SP500
2019-01-01,CNK,SP500
2019-01-01,CNO,SP500
2019-01-01,CNX,SP500
2019-01-01,COHR,SP500
2019-01-01,CONE,SP500
2019-01-01,COR,SP500
2019-01-01,CPE,SP500
2019-01-01,CPT,SP500
2019-01-01,CREE,SP500
2019-01-01,CRI,SP500
2019-01-01,CRL,SP500
2019-01-01,CRS,SP500
2019-01-01,CRUS,SP500
2019-01-01,CSL,SP500
2019-01-01,CTLT,SP500
2019-01-01,CUZ,SP500
2019-01-01,CVLT,SP500
2019-01-01,CW,SP500
2019-01-01,CXW,SP500
2019-01-01,CY,SP500
2019-01-01,DAN,SP500
2019-01-01,DCI,SP500
2019-01-01,DDS,SP500
2019-01-01,DECK,SP500
2019-01-01,DEI,SP500
2019-01-01,DKS,SP500
