date,ticker,index_member
2019-01-01,AAOI,SP500
2019-01-01,AAON,SP500
2019-01-01,AAT,SP500
2019-01-01,AAWW,SP500
2019-01-01,AAXN,SP500
2019-01-01,ABCB,SP500
2019-01-01,ABG,SP500
2019-01-01,ABM,SP500
2019-01-01,ACA,SP500
2019-01-01,ACLS,SP500
2019-01-01,ACOR,SP500
2019-01-01,ADC,SP500
2019-01-01,ADTN,SP500
2019-01-01,ADUS,SP500
2019-01-01,AEGN,SP500
2019-01-01,AEIS,SP500
2019-01-01,AEL,SP500
2019-01-01,AGYS,SP500
2019-01-01,AHH,SP500
2019-01-01,AIN,SP500
2019-01-01,AIR,SP500
2019-01-01,AIT,SP500
2019-01-01,AJRD,SP500
2019-01-01,AKR,SP500
2019-01-01,AKRX,SP500
2019-01-01,AKS,SP500
2019-01-01,ALG,SP500
2019-01-01,ALGT,SP500
2019-01-01,ALRM,SP500
2019-01-01,AMAG,SP500
2019-01-01,AMBC,SP500
2019-01-01,AMED,SP500
2019-01-01,AMN,SP500
2019-01-01,AMPH,SP500
2019-01-01,AMSF,SP500
2019-01-01,AMWD,SP500
2019-01-01,ANDE,SP500
2019-01-01,ANF,SP500
2019-01-01,ANGO,SP500
2019-01-01,ANIK,SP500
2019-01-01,ANIP,SP500
2019-01-01,APEI,SP500
2019-01-01,APOG,SP500
2019-01-01,ARCB,SP500
2019-01-01,ARI,SP500
2019-01-01,AROC,SP500
2019-01-01,ARR,SP500
2019-01-01,ASIX,SP500
2019-01-01,ASNA,SP500
2019-01-01,ASRT,SP500
2019-01-01,ASTE,SP500
2019-01-01,ATNI,SP500
2019-01-01,ATU,SP500
2019-01-01,AVA,SP500
2019-01-01,AVAV,SP500
2019-01-01,AVD,SP500
2019-01-01,AVP,SP500
2019-01-01,AWR,SP500
2019-01-01,AX,SP500
2019-01-01,AXE,SP500
2019-01-01,AXL,SP500
2019-01-01,AZZ,SP500
2019-01-01,B,SP500
2019-01-01,BABY,SP500
2019-01-01,BANC,SP500
2019-01-01,BANR,SP500
2019-01-01,BBT,SP500
2019-01-01,BCC,SP500
2019-01-01,BCEI,SP500
2019-01-01,BCOR,SP500
2019-01-01,BCPC,SP500
2019-01-01,BEAT,SP500
2019-01-01,BEL,SP500
2019-01-01,BELFB,SP500
2019-01-01,BFS,SP500
2019-01-01,BGG,SP500
2019-01-01,BGS,SP500
2019-01-01,BHE,SP500
2019-01-01,BJRI,SP500
2019-01-01,BKE,SP500
2019-01-01,BKS,SP500
2019-01-01,BLD,SP500
2019-01-01,BMI,SP500
2019-01-01,BNED,SP500
2019-01-01,BPFH,SP500
2019-01-01,BRC,SP500
2019-01-01,BRKL,SP500
2019-01-01,BRKS,SP500
2019-01-01,BRS,SP500
2019-01-01,CAL,SP500
2019-01-01,CALM,SP500
2019-01-01,CAMP,SP500
2019-01-01,CASH,SP500
2019-01-01,CATM,SP500
2019-01-01,CATO,SP500
2019-01-01,CBB,SP500
2019-01-01,CBL,SP500
2019-01-01,CBM,SP500
2019-01-01,CBU,SP500
2019-01-01,CCMP,SP500
2019-01-01,CCOI,SP500
2019-01-01,CCRN,SP500
2019-01-01,CDR,SP500
2019-01-01,CECO,SP500
2019-01-01,CEIX,SP500
2019-01-01,CENT,SP500
2019-01-01,CENTA,SP500
2019-01-01,CENX,SP500
2019-01-01,CEVA,SP500
2019-01-01,CHCO,SP500
2019-01-01,CHCT,SP500
2019-01-01,CHEF,SP500
2019-01-01,CHS,SP500
2019-01-01,CHSP,SP500
2019-01-01,CHUY,SP500
2019-01-01,CIR,SP500
2019-01-01,CJ,SP500
2019-01-01,CKH,SP500
2019-01-01,CLD,SP500
2019-01-01,CLDT,SP500
2019-01-01,CLW,SP500
2019-01-01,CMO,SP500
2019-01-01,CMTL,SP500
2019-01-01,CNMD,SP500
2019-01-01,CNSL,SP500
2019-01-01,COHU,SP500
2019-01-01,COKE,SP500
2019-01-01,COLB,SP500
2019-01-01,CORE,SP500
2019-01-01,CORT,SP500
2019-01-01,CPF,SP500
2019-01-01,CPS,SP500
2019-01-01,CPSI,SP500
2019-01-01,CRAY,SP500
2019-01-01,CROX,SP500
2019-01-01,CRR,SP500
2019-01-01,CRVL,SP500
2019-01-01,CRY,SP500
2019-01-01,CRZO,SP500
2019-01-01,CSGS,SP500
2019-01-01,CTB,SP500
