date,ticker,index_member
2019-01-01,AAPL,SP500
2019-01-01,AXP,SP500
2019-01-01,BA,SP500
2019-01-01,CAT,SP500
2019-01-01,CSCO,SP500
2019-01-01,CVX,SP500
2019-01-01,DIS,SP500
2019-01-01,DWDP,SP500
2019-01-01,GS,SP500
2019-01-01,HD,SP500
2019-01-01,IBM,SP500
2019-01-01,INTC,SP500
2019-01-01,JNJ,SP500
2019-01-01,JPM,SP500
2019-01-01,KO,SP500
2019-01-01,MCD,SP500
2019-01-01,MMM,SP500
2019-01-01,MRK,SP500
2019-01-01,MSFT,SP500
2019-01-01,NKE,SP500
2019-01-01,PFE,SP500
2019-01-01,PG,SP500
2019-01-01,TRV,SP500
2019-01-01,UNH,SP500
2019-01-01,UTX,SP500
2019-01-01,V,SP500
2019-01-01,VZ,SP500
2019-01-01,WBA,SP500
2019-01-01,WMT,SP500
2019-01-01,XOM,SP500
2019-02-01,AAPL,SP500
2019-02-01,AXP,SP500
2019-02-01,BA,SP500
2019-02-01,CAT,SP500
2019-02-01,CSCO,SP500
2019-02-01,CVX,SP500
2019-02-01,DIS,SP500
2019-02-01,DWDP,SP500
2019-02-01,GS,SP500
2019-02-01,HD,SP500
2019-02-01,IBM,SP500
2019-02-01,INTC,SP500
2019-02-01,JNJ,SP500
2019-02-01,JPM,SP500
2019-02-01,KO,SP500
2019-02-01,MCD,SP500
2019-02-01,MMM,SP500
2019-02-01,MRK,SP500
2019-02-01,MSFT,SP500
2019-02-01,NKE,SP500
2019-02-01,PFE,SP500
2019-02-01,PG,SP500
2019-02-01,TRV,SP500
2019-02-01,UNH,SP500
2019-02-01,UTX,SP500
2019-02-01,V,SP500
2019-02-01,VZ,SP500
2019-02-01,WBA,SP500
2019-02-01,WMT,SP500
2019-02-01,XOM,SP500
2019-03-01,AAPL,SP500
2019-03-01,AXP,SP500
2019-03-01,BA,SP500
2019-03-01,CAT,SP500
2019-03-01,CSCO,SP500
2019-03-01,CVX,SP500
2019-03-01,DIS,SP500
2019-03-01,DWDP,SP500
2019-03-01,GS,SP500
2019-03-01,HD,SP500
2019-03-01,IBM,SP500
2019-03-01,INTC,SP500
2019-03-01,JNJ,SP500
2019-03-01,JPM,SP500
2019-03-01,KO,SP500
2019-03-01,MCD,SP500
2019-03-01,MMM,SP500
2019-03-01,MRK,SP500
2019-03-01,MSFT,SP500
2019-03-01,NKE,SP500
2019-03-01,PFE,SP500
2019-03-01,PG,SP500
2019-03-01,TRV,SP500
2019-03-01,UNH,SP500
2019-03-01,UTX,SP500
2019-03-01,V,SP500
2019-03-01,VZ,SP500
2019-03-01,WBA,SP500
2019-03-01,WMT,SP500
2019-03-01,XOM,SP500
2019-04-02,AAPL,SP500
2019-04-02,AXP,SP500
2019-04-02,BA,SP500
2019-04-02,CAT,SP500
2019-04-02,CSCO,SP500
2019-04-02,CVX,SP500
2019-04-02,DIS,SP500
2019-04-02,DWDP,SP500
2019-04-02,GS,SP500
2019-04-02,HD,SP500
2019-04-02,IBM,SP500
2019-04-02,INTC,SP500
2019-04-02,JNJ,SP500
2019-04-02,JPM,SP500
2019-04-02,KO,SP500
2019-04-02,MCD,SP500
2019-04-02,MMM,SP500
2019-04-02,MRK,SP500
2019-04-02,MSFT,SP500
2019-04-02,NKE,SP500
2019-04-02,PFE,SP500
2019-04-02,PG,SP500
2019-04-02,TRV,SP500
2019-04-02,UNH,SP500
2019-04-02,UTX,SP500
2019-04-02,V,SP500
2019-04-02,VZ,SP500
2019-04-02,WBA,SP500
2019-04-02,WMT,SP500
2019-04-02,XOM,SP500
2019-05-01,AAPL,SP500
2019-05-01,AXP,SP500
2019-05-01,BA,SP500
2019-05-01,CAT,SP500
2019-05-01,CSCO,SP500
2019-05-01,CVX,SP500
2019-05-01,DIS,SP500
2019-05-01,DOW,SP500
2019-05-01,GS,SP500
2019-05-01,HD,SP500
2019-05-01,IBM,SP500
2019-05-01,INTC,SP500
2019-05-01,JNJ,SP500
2019-05-01,JPM,SP500
2019-05-01,KO,SP500
2019-05-01,MCD,SP500
2019-05-01,MMM,SP500
2019-05-01,MRK,SP500
2019-05-01,MSFT,SP500
2019-05-01,NKE,SP500
2019-05-01,PFE,SP500
2019-05-01,PG,SP500
2019-05-01,TRV,SP500
2019-05-01,UNH,SP500
2019-05-01,UTX,SP500
2019-05-01,V,SP500
2019-05-01,VZ,SP500
2019-05-01,WBA,SP500
2019-05-01,WMT,SP500
2019-05-01,XOM,SP500
2019-06-07,AAPL,SP500
2019-06-07,AXP,SP500
2019-06-07,BA,SP500
2019-06-07,CAT,SP500
2019-06-07,CSCO,SP500
2019-06-07,CVX,SP500
2019-06-07,DIS,SP500
2019-06-07,DOW,SP500
2019-06-07,GS,SP500
2019-06-07,HD,SP500
2019-06-07,IBM,SP500
2019-06-07,INTC,SP500
2019-06-07,JNJ,SP500
2019-06-07,JPM,SP500
2019-06-07,KO,SP500
2019-06-07,MCD,SP500
2019-06-07,MMM,SP500
2019-06-07,MRK,SP500
2019-06-07,MSFT,SP500
2019-06-07,NKE,SP500
2019-06-07,PFE,SP500
2019-06-07,PG,SP500
2019-06-07,TRV,SP500
2019-06-07,UNH,SP500
2019-06-07,UTX,SP500
2019-06-07,V,SP500
2019-06-07,VZ,SP500
2019-06-07,WBA,SP500
2019-06-07,WMT,SP500
2019-06-07,XOM,SP500
2019-07-02,AAPL,SP500
2019-07-02,AXP,SP500
2019-07-02,BA,SP500
2019-07-02,CAT,SP500
2019-07-02,CSCO,SP500
2019-07-02,CVX,SP500
2019-07-02,DIS,SP500
2019-07-02,DOW,SP500
2019-07-02,GS,SP500
2019-07-02,HD,SP500
2019-07-02,IBM,SP500
2019-07-02,INTC,SP500
2019-07-02,JNJ,SP500
2019-07-02,JPM,SP500
2019-07-02,KO,SP500
2019-07-02,MCD,SP500
2019-07-02,MMM,SP500
2019-07-02,MRK,SP500
2019-07-02,MSFT,SP500
2019-07-02,NKE,SP500
2019-07-02,PFE,SP500
2019-07-02,PG,SP500
2019-07-02,TRV,SP500
2019-07-02,UNH,SP500
2019-07-02,UTX,SP500
2019-07-02,V,SP500
2019-07-02,VZ,SP500
2019-07-02,WBA,SP500
2019-07-02,WMT,SP500
2019-07-02,XOM,SP500
