date,ticker,index_member
2019-01-01,AA,SP500
2019-01-01,AAL,SP500
2019-01-01,AAP,SP500
2019-01-01,ABC,SP500
2019-01-01,ABT,SP500
2019-01-01,ACGL,SP500
2019-01-01,ADM,SP500
2019-01-01,ADS,SP500
2019-01-01,ADT,SP500
2019-01-01,AEE,SP500
2019-01-01,AEP,SP500
2019-01-01,AES,SP500
2019-01-01,AFL,SP500
2019-01-01,AGN,SP500
2019-01-01,AGNC,SP500
2019-01-01,AGR,SP500
2019-01-01,AIG,SP500
2019-01-01,ALK,SP500
2019-01-01,ALL,SP500
2019-01-01,ALLY,SP500
2019-01-01,ALSN,SP500
2019-01-01,AMG,SP500
2019-01-01,AMGN,SP500
2019-01-01,AMP,SP500
2019-01-01,ANTM,SP500
2019-01-01,APA,SP500
2019-01-01,APD,SP500
2019-01-01,APTV,SP500
2019-01-01,ARMK,SP500
2019-01-01,ARNC,SP500
2019-01-01,ARW,SP500
2019-01-01,ATH,SP500
2019-01-01,ATUS,SP500
2019-01-01,AVY,SP500
2019-01-01,AWK,SP500
2019-01-01,AXP,SP500
2019-01-01,BAC,SP500
2019-01-01,BAX,SP500
2019-01-01,BBT,SP500
2019-01-01,BBY,SP500
2019-01-01,BEN,SP500
2019-01-01,BG,SP500
2019-01-01,BHF,SP500
2019-01-01,BHGE,SP500
2019-01-01,BK,SP500
2019-01-01,BLL,SP500
2019-01-01,BPY,SP500
2019-01-01,BRK.A,SP500
2019-01-01,BRK.B,SP500
2019-01-01,BWA,SP500
2019-01-01,C,SP500
2019-01-01,CAG,SP500
2019-01-01,CAH,SP500
2019-01-01,CAT,SP500
2019-01-01,CB,SP500
2019-01-01,CBS,SP500
2019-01-01,CBS.A,SP500
2019-01-01,CCK,SP500
2019-01-01,CCL,SP500
2019-01-01,CDW,SP500
2019-01-01,CE,SP500
2019-01-01,CFG,SP500
2019-01-01,CI,SP500
2019-01-01,CINF,SP500
2019-01-01,CIT,SP500
2019-01-01,CLX,SP500
2019-01-01,CMA,SP500
2019-01-01,CME,SP500
2019-01-01,CMI,SP500
2019-01-01,CMS,SP500
2019-01-01,CNP,SP500
2019-01-01,COF,SP500
2019-01-01,COP,SP500
2019-01-01,COTY,SP500
2019-01-01,CPB,SP500
2019-01-01,CPT,SP500
2019-01-01,CSCO,SP500
2019-01-01,CSX,SP500
2019-01-01,CTL,SP500
2019-01-01,CVS,SP500
2019-01-01,CVX,SP500
2019-01-01,D,SP500
2019-01-01,DAL,SP500
2019-01-01,DE,SP500
2019-01-01,DFS,SP500
2019-01-01,DGX,SP500
2019-01-01,DHI,SP500
2019-01-01,DHR,SP500
