date,ticker,index_member
2019-01-01,A,SP500
2019-01-01,AAPL,SP500
2019-01-01,ABBV,SP500
2019-01-01,ABMD,SP500
2019-01-01,ACN,SP500
2019-01-01,ADBE,SP500
2019-01-01,ADI,SP500
2019-01-01,ADP,SP500
2019-01-01,ADSK,SP500
2019-01-01,AJG,SP500
2019-01-01,AKAM,SP500
2019-01-01,ALB,SP500
2019-01-01,ALGN,SP500
2019-01-01,ALKS,SP500
2019-01-01,ALNY,SP500
2019-01-01,ALXN,SP500
2019-01-01,AMAT,SP500
2019-01-01,AMD,SP500
2019-01-01,AME,SP500
2019-01-01,AMT,SP500
2019-01-01,AMTD,SP500
2019-01-01,AMZN,SP500
2019-01-01,ANET,SP500
2019-01-01,ANSS,SP500
2019-01-01,AON,SP500
2019-01-01,AOS,SP500
2019-01-01,APA,SP500
2019-01-01,APC,SP500
2019-01-01,APH,SP500
2019-01-01,AR,SP500
2019-01-01,ARE,SP500
2019-01-01,ATVI,SP500
2019-01-01,AVB,SP500
2019-01-01,AVGO,SP500
2019-01-01,AXTA,SP500
2019-01-01,AYI,SP500
2019-01-01,AZO,SP500
2019-01-01,BA,SP500
2019-01-01,BAX,SP500
2019-01-01,BDX,SP500
2019-01-01,BF.B,SP500
2019-01-01,BIIB,SP500
2019-01-01,BKI,SP500
2019-01-01,BKNG,SP500
2019-01-01,BLK,SP500
2019-01-01,BMRN,SP500
2019-01-01,BMY,SP500
2019-01-01,BR,SP500
2019-01-01,BSX,SP500
2019-01-01,BXP,SP500
2019-01-01,CBOE,SP500
2019-01-01,CBRE,SP500
2019-01-01,CCI,SP500
2019-01-01,CDK,SP500
2019-01-01,CDNS,SP500
2019-01-01,CELG,SP500
2019-01-01,CERN,SP500
2019-01-01,CF,SP500
2019-01-01,CGNX,SP500
2019-01-01,CHD,SP500
2019-01-01,CHRW,SP500
2019-01-01,CHTR,SP500
2019-01-01,CL,SP500
2019-01-01,CLR,SP500
2019-01-01,CLX,SP500
2019-01-01,CMA,SP500
2019-01-01,CMCSA,SP500
2019-01-01,CMG,SP500
2019-01-01,CNC,SP500
2019-01-01,COG,SP500
2019-01-01,COO,SP500
2019-01-01,COST,SP500
2019-01-01,COTY,SP500
2019-01-01,CPRT,SP500
2019-01-01,CPT,SP500
2019-01-01,CRM,SP500
2019-01-01,CSGP,SP500
2019-01-01,CTAS,SP500
2019-01-01,CTSH,SP500
2019-01-01,CTXS,SP500
2019-01-01,CVNA,SP500
2019-01-01,CXO,SP500
2019-01-01,DBX,SP500
2019-01-01,DG,SP500
2019-01-01,DHI,SP500
2019-01-01,DHR,SP500
2019-01-01,DIS,SP500
2019-01-01,DLR,SP500
2019-01-01,DLTR,SP500
2019-01-01,DPZ,SP500
2019-01-01,DXCM,SP500
2019-01-01,EA,SP500
2019-01-01,ECL,SP500
2019-01-01,EFX,SP500
2019-01-01,EL,SP500
2019-01-01,EOG,SP500
2019-01-01,EQIX,SP500
2019-01-01,ESS,SP500
2019-01-01,ETFC,SP500
2019-01-01,EW,SP500
2019-01-01,EXPD,SP500
2019-01-01,EXPE,SP500
2019-01-01,EXR,SP500
2019-01-01,FANG,SP500
2019-01-01,FAST,SP500
2019-01-01,FB,SP500
2019-01-01,FBHS,SP500
2019-01-01,FDS,SP500
2019-01-01,FDX,SP500
2019-01-01,FFIV,SP500
2019-01-01,FIS,SP500
2019-01-01,FISV,SP500
2019-01-01,FLIR,SP500
2019-01-01,FLT,SP500
2019-01-01,FMC,SP500
2019-01-01,FRC,SP500
2019-01-01,FRT,SP500
2019-01-01,FTNT,SP500
2019-01-01,FTV,SP500
2019-01-01,GDDY,SP500
2019-01-01,GOOG,SP500
2019-01-01,GOOGL,SP500
2019-01-01,GPN,SP500
2019-01-01,GRUB,SP500
2019-01-01,H,SP500
2019-01-01,HAL,SP500
2019-01-01,HD,SP500
2019-01-01,HES,SP500
2019-01-01,HII,SP500
2019-01-01,HLT,SP500
2019-01-01,HP,SP500
2019-01-01,HRL,SP500
2019-01-01,HRS,SP500
2019-01-01,HSIC,SP500
2019-01-01,HSY,SP500
2019-01-01,HUBB,SP500
