date,ticker,index_member
2019-01-01,ALB,SP500
2019-01-01,APD,SP500
2019-01-01,AVY,SP500
2019-01-01,BLL,SP500
2019-01-01,CE,SP500
2019-01-01,CF,SP500
2019-01-01,DWDP,SP500
2019-01-01,ECL,SP500
2019-01-01,EMN,SP500
2019-01-01,FCX,SP500
2019-01-01,FMC,SP500
2019-01-01,IFF,SP500
2019-01-01,IP,SP500
2019-01-01,LIN,SP500
2019-01-01,LYB,SP500
2019-01-01,MLM,SP500
2019-01-01,MOS,SP500
2019-01-01,NEM,SP500
2019-01-01,NUE,SP500
2019-01-01,PKG,SP500
2019-01-01,PPG,SP500
2019-01-01,SEE,SP500
2019-01-01,SHW,SP500
2019-01-01,VMC,SP500
2019-01-01,WRK,SP500
2019-02-01,ALB,SP500
2019-02-01,APD,SP500
2019-02-01,AVY,SP500
2019-02-01,BLL,SP500
2019-02-01,CE,SP500
2019-02-01,CF,SP500
2019-02-01,DWDP,SP500
2019-02-01,ECL,SP500
2019-02-01,EMN,SP500
2019-02-01,FCX,SP500
2019-02-01,FMC,SP500
2019-02-01,IFF,SP500
2019-02-01,IP,SP500
2019-02-01,LIN,SP500
2019-02-01,LYB,SP500
2019-02-01,MLM,SP500
2019-02-01,MOS,SP500
2019-02-01,NEM,SP500
2019-02-01,NUE,SP500
2019-02-01,PKG,SP500
2019-02-01,PPG,SP500
2019-02-01,SEE,SP500
2019-02-01,SHW,SP500
2019-02-01,VMC,SP500
2019-02-01,WRK,SP500
2019-03-01,ALB,SP500
2019-03-01,APD,SP500
2019-03-01,AVY,SP500
2019-03-01,BLL,SP500
2019-03-01,CE,SP500
2019-03-01,CF,SP500
2019-03-01,DWDP,SP500
2019-03-01,ECL,SP500
2019-03-01,EMN,SP500
2019-03-01,FCX,SP500
2019-03-01,FMC,SP500
2019-03-01,IFF,SP500
2019-03-01,IP,SP500
2019-03-01,LIN,SP500
2019-03-01,LYB,SP500
2019-03-01,MLM,SP500
2019-03-01,MOS,SP500
2019-03-01,NEM,SP500
2019-03-01,NUE,SP500
2019-03-01,PKG,SP500
2019-03-01,PPG,SP500
2019-03-01,SEE,SP500
2019-03-01,SHW,SP500
2019-03-01,VMC,SP500
2019-03-01,WRK,SP500
2019-04-02,ALB,SP500
2019-04-02,APD,SP500
2019-04-02,AVY,SP500
2019-04-02,BLL,SP500
2019-04-02,CE,SP500
2019-04-02,CF,SP500
2019-04-02,DWDP,SP500
2019-04-02,ECL,SP500
2019-04-02,EMN,SP500
2019-04-02,FCX,SP500
2019-04-02,FMC,SP500
2019-04-02,IFF,SP500
2019-04-02,IP,SP500
2019-04-02,LIN,SP500
2019-04-02,LYB,SP500
2019-04-02,MLM,SP500
2019-04-02,MOS,SP500
2019-04-02,NEM,SP500
2019-04-02,NUE,SP500
2019-04-02,PKG,SP500
2019-04-02,PPG,SP500
2019-04-02,SEE,SP500
2019-04-02,SHW,SP500
2019-04-02,VMC,SP500
2019-04-02,WRK,SP500
2019-05-01,ALB,SP500
2019-05-01,APD,SP500
2019-05-01,AVY,SP500
2019-05-01,BLL,SP500
2019-05-01,CE,SP500
2019-05-01,CF,SP500
2019-05-01,DOW,SP500
2019-05-01,DWDP,SP500
2019-05-01,ECL,SP500
2019-05-01,EMN,SP500
2019-05-01,FCX,SP500
2019-05-01,FMC,SP500
2019-05-01,IFF,SP500
2019-05-01,IP,SP500
2019-05-01,LIN,SP500
2019-05-01,LYB,SP500
2019-05-01,MLM,SP500
2019-05-01,MOS,SP500
2019-05-01,NEM,SP500
2019-05-01,NUE,SP500
2019-05-01,PKG,SP500
2019-05-01,PPG,SP500
2019-05-01,SEE,SP500
2019-05-01,SHW,SP500
2019-05-01,VMC,SP500
2019-05-01,WRK,SP500
2019-06-07,ALB,SP500
2019-06-07,APD,SP500
2019-06-07,AVY,SP500
2019-06-07,BLL,SP500
2019-06-07,CE,SP500
2019-06-07,CF,SP500
2019-06-07,CTVA,SP500
2019-06-07,DD,SP500
2019-06-07,DOW,SP500
2019-06-07,ECL,SP500
2019-06-07,EMN,SP500
2019-06-07,FCX,SP500
2019-06-07,FMC,SP500
2019-06-07,IFF,SP500
2019-06-07,IP,SP500
2019-06-07,LIN,SP500
2019-06-07,LYB,SP500
2019-06-07,MLM,SP500
2019-06-07,MOS,SP500
2019-06-07,NEM,SP500
2019-06-07,NUE,SP500
2019-06-07,PKG,SP500
2019-06-07,PPG,SP500
2019-06-07,SEE,SP500
2019-06-07,SHW,SP500
2019-06-07,VMC,SP500
2019-06-07,WRK,SP500
2019-07-02,ALB,SP500
2019-07-02,AMCR,SP500
2019-07-02,APD,SP500
2019-07-02,AVY,SP500
2019-07-02,BLL,SP500
2019-07-02,CE,SP500
2019-07-02,CF,SP500
2019-07-02,CTVA,SP500
2019-07-02,DD,SP500
2019-07-02,DOW,SP500
2019-07-02,ECL,SP500
2019-07-02,EMN,SP500
2019-07-02,FCX,SP500
2019-07-02,FMC,SP500
2019-07-02,IFF,SP500
2019-07-02,IP,SP500
2019-07-02,LIN,SP500
2019-07-02,LYB,SP500
2019-07-02,MLM,SP500
2019-07-02,MOS,SP500
2019-07-02,NEM,SP500
2019-07-02,NUE,SP500
2019-07-02,PKG,SP500
2019-07-02,PPG,SP500
2019-07-02,SEE,SP500
2019-07-02,SHW,SP500
2019-07-02,VMC,SP500
2019-07-02,WRK,SP500
