date,ticker,index_member
2019-01-01,ATVI,SP500
2019-01-01,CBS,SP500
2019-01-01,CHTR,SP500
2019-01-01,CMCSA,SP500
2019-01-01,CTL,SP500
2019-01-01,DIS,SP500
2019-01-01,DISCA,SP500
2019-01-01,DISCK,SP500
2019-01-01,DISH,SP500
2019-01-01,EA,SP500
2019-01-01,FB,SP500
2019-01-01,FOX,SP500
2019-01-01,FOXA,SP500
2019-01-01,GOOG,SP500
2019-01-01,GOOGL,SP500
2019-01-01,IPG,SP500
2019-01-01,NFLX,SP500
2019-01-01,NWS,SP500
2019-01-01,NWSA,SP500
2019-01-01,OMC,SP500
2019-01-01,T,SP500
2019-01-01,TRIP,SP500
2019-01-01,TTWO,SP500
2019-01-01,TWTR,SP500
2019-01-01,VIAB,SP500
2019-01-01,VZ,SP500
2019-02-01,ATVI,SP500
2019-02-01,CBS,SP500
2019-02-01,CHTR,SP500
2019-02-01,CMCSA,SP500
2019-02-01,CTL,SP500
2019-02-01,DIS,SP500
2019-02-01,DISCA,SP500
2019-02-01,DISCK,SP500
2019-02-01,DISH,SP500
2019-02-01,EA,SP500
2019-02-01,FB,SP500
2019-02-01,FOX,SP500
2019-02-01,FOXA,SP500
2019-02-01,GOOG,SP500
2019-02-01,GOOGL,SP500
2019-02-01,IPG,SP500
2019-02-01,NFLX,SP500
2019-02-01,NWS,SP500
2019-02-01,NWSA,SP500
2019-02-01,OMC,SP500
2019-02-01,T,SP500
2019-02-01,TRIP,SP500
2019-02-01,TTWO,SP500
2019-02-01,TWTR,SP500
2019-02-01,VIAB,SP500
2019-02-01,VZ,SP500
2019-03-01,ATVI,SP500
2019-03-01,CBS,SP500
2019-03-01,CHTR,SP500
2019-03-01,CMCSA,SP500
2019-03-01,CTL,SP500
2019-03-01,DIS,SP500
2019-03-01,DISCA,SP500
2019-03-01,DISCK,SP500
2019-03-01,DISH,SP500
2019-03-01,EA,SP500
2019-03-01,FB,SP500
2019-03-01,FOX,SP500
2019-03-01,FOXA,SP500
2019-03-01,GOOG,SP500
2019-03-01,GOOGL,SP500
2019-03-01,IPG,SP500
2019-03-01,NFLX,SP500
2019-03-01,NWS,SP500
2019-03-01,NWSA,SP500
2019-03-01,OMC,SP500
2019-03-01,T,SP500
2019-03-01,TRIP,SP500
2019-03-01,TTWO,SP500
2019-03-01,TWTR,SP500
2019-03-01,VIAB,SP500
2019-03-01,VZ,SP500
2019-04-02,ATVI,SP500
2019-04-02,CBS,SP500
2019-04-02,CHTR,SP500
2019-04-02,CMCSA,SP500
2019-04-02,CTL,SP500
2019-04-02,DIS,SP500
2019-04-02,DISCA,SP500
2019-04-02,DISCK,SP500
2019-04-02,DISH,SP500
2019-04-02,EA,SP500
2019-04-02,FB,SP500
2019-04-02,FOX,SP500
2019-04-02,FOXA,SP500
2019-04-02,GOOG,SP500
2019-04-02,GOOGL,SP500
2019-04-02,IPG,SP500
2019-04-02,NFLX,SP500
2019-04-02,NWS,SP500
2019-04-02,NWSA,SP500
2019-04-02,OMC,SP500
2019-04-02,T,SP500
2019-04-02,TRIP,SP500
2019-04-02,TTWO,SP500
2019-04-02,TWTR,SP500
2019-04-02,VIAB,SP500
2019-04-02,VZ,SP500
2019-05-01,ATVI,SP500
2019-05-01,CBS,SP500
2019-05-01,CHTR,SP500
2019-05-01,CMCSA,SP500
2019-05-01,CTL,SP500
2019-05-01,DIS,SP500
2019-05-01,DISCA,SP500
2019-05-01,DISCK,SP500
2019-05-01,DISH,SP500
2019-05-01,EA,SP500
2019-05-01,FB,SP500
2019-05-01,FOX,SP500
2019-05-01,FOXA,SP500
2019-05-01,GOOG,SP500
2019-05-01,GOOGL,SP500
2019-05-01,IPG,SP500
2019-05-01,NFLX,SP500
2019-05-01,NWS,SP500
2019-05-01,NWSA,SP500
2019-05-01,OMC,SP500
2019-05-01,T,SP500
2019-05-01,TRIP,SP500
2019-05-01,TTWO,SP500
2019-05-01,TWTR,SP500
2019-05-01,VIAB,SP500
2019-05-01,VZ,SP500
2019-06-07,ATVI,SP500
2019-06-07,CBS,SP500
2019-06-07,CHTR,SP500
2019-06-07,CMCSA,SP500
2019-06-07,CTL,SP500
2019-06-07,DIS,SP500
2019-06-07,DISCA,SP500
2019-06-07,DISCK,SP500
2019-06-07,DISH,SP500
2019-06-07,EA,SP500
2019-06-07,FB,SP500
2019-06-07,FOX,SP500
2019-06-07,FOXA,SP500
2019-06-07,GOOG,SP500
2019-06-07,GOOGL,SP500
2019-06-07,IPG,SP500
2019-06-07,NFLX,SP500
2019-06-07,NWS,SP500
2019-06-07,NWSA,SP500
2019-06-07,OMC,SP500
2019-06-07,T,SP500
2019-06-07,TRIP,SP500
2019-06-07,TTWO,SP500
2019-06-07,TWTR,SP500
2019-06-07,VIAB,SP500
2019-06-07,VZ,SP500
2019-07-02,ATVI,SP500
2019-07-02,CBS,SP500
2019-07-02,CHTR,SP500
2019-07-02,CMCSA,SP500
2019-07-02,CTL,SP500
2019-07-02,DIS,SP500
2019-07-02,DISCA,SP500
2019-07-02,DISCK,SP500
2019-07-02,DISH,SP500
2019-07-02,EA,SP500
2019-07-02,FB,SP500
