date,ticker,index_member
2019-01-01,AAL,SP500
2019-01-01,ALK,SP500
2019-01-01,ALLE,SP500
2019-01-01,AME,SP500
2019-01-01,AOS,SP500
2019-01-01,ARNC,SP500
2019-01-01,BA,SP500
2019-01-01,CAT,SP500
2019-01-01,CHRW,SP500
2019-01-01,CMI,SP500
2019-01-01,CPRT,SP500
2019-01-01,CSX,SP500
2019-01-01,CTAS,SP500
2019-01-01,DAL,SP500
2019-01-01,DE,SP500
2019-01-01,DOV,SP500
2019-01-01,EFX,SP500
2019-01-01,EMR,SP500
2019-01-01,ETN,SP500
2019-01-01,EXPD,SP500
2019-01-01,FAST,SP500
2019-01-01,FBHS,SP500
2019-01-01,FDX,SP500
2019-01-01,FLR,SP500
2019-01-01,FLS,SP500
2019-01-01,FTV,SP500
2019-01-01,GD,SP500
2019-01-01,GE,SP500
2019-01-01,GWW,SP500
2019-01-01,HII,SP500
2019-01-01,HON,SP500
2019-01-01,HRS,SP500
2019-01-01,INFO,SP500
2019-01-01,IR,SP500
2019-01-01,ITW,SP500
2019-01-01,JBHT,SP500
2019-01-01,JCI,SP500
2019-01-01,JEC,SP500
2019-01-01,KBSF,SP500
2019-01-01,KSU,SP500
2019-01-01,LMT,SP500
2019-01-01,LUV,SP500
2019-01-01,MAS,SP500
2019-01-01,MMM,SP500
2019-01-01,NLSN,SP500
2019-01-01,NOC,SP500
2019-01-01,NSC,SP500
2019-01-01,PCAR,SP500
2019-01-01,PH,SP500
2019-01-01,PNR,SP500
2019-01-01,PWR,SP500
2019-01-01,RHI,SP500
2019-01-01,ROK,SP500
2019-01-01,ROL,SP500
2019-01-01,ROP,SP500
2019-01-01,RSG,SP500
2019-01-01,RTN,SP500
2019-01-01,SNA,SP500
2019-01-01,SWK,SP500
2019-01-01,TDG,SP500
2019-01-01,TXT,SP500
2019-01-01,UAL,SP500
2019-01-01,UNP,SP500
2019-01-01,UPS,SP500
2019-01-01,URI,SP500
2019-01-01,UTX,SP500
2019-01-01,VRSK,SP500
2019-01-01,WM,SP500
2019-01-01,XYL,SP500
2019-02-01,AAL,SP500
2019-02-01,ALK,SP500
2019-02-01,ALLE,SP500
2019-02-01,AME,SP500
2019-02-01,AOS,SP500
2019-02-01,ARNC,SP500
2019-02-01,BA,SP500
2019-02-01,CAT,SP500
2019-02-01,CHRW,SP500
2019-02-01,CMI,SP500
2019-02-01,CPRT,SP500
2019-02-01,CSX,SP500
2019-02-01,CTAS,SP500
2019-02-01,DAL,SP500
2019-02-01,DE,SP500
2019-02-01,DOV,SP500
2019-02-01,EFX,SP500
2019-02-01,EMR,SP500
2019-02-01,ETN,SP500
2019-02-01,EXPD,SP500
2019-02-01,FAST,SP500
2019-02-01,FBHS,SP500
2019-02-01,FDX,SP500
2019-02-01,FLR,SP500
2019-02-01,FLS,SP500
2019-02-01,FTV,SP500
2019-02-01,GD,SP500
2019-02-01,GE,SP500
2019-02-01,GWW,SP500
2019-02-01,HII,SP500
2019-02-01,HON,SP500
2019-02-01,HRS,SP500
2019-02-01,INFO,SP500
2019-02-01,IR,SP500
2019-02-01,ITW,SP500
2019-02-01,JBHT,SP500
2019-02-01,JCI,SP500
2019-02-01,JEC,SP500
2019-02-01,KBSF,SP500
2019-02-01,KSU,SP500
2019-02-01,LMT,SP500
2019-02-01,LUV,SP500
2019-02-01,MAS,SP500
2019-02-01,MMM,SP500
2019-02-01,NLSN,SP500
2019-02-01,NOC,SP500
2019-02-01,NSC,SP500
2019-02-01,PCAR,SP500
2019-02-01,PH,SP500
2019-02-01,PNR,SP500
2019-02-01,PWR,SP500
2019-02-01,RHI,SP500
2019-02-01,ROK,SP500
2019-02-01,ROL,SP500
2019-02-01,ROP,SP500
2019-02-01,RSG,SP500
2019-02-01,RTN,SP500
2019-02-01,SNA,SP500
2019-02-01,SWK,SP500
2019-02-01,TDG,SP500
2019-02-01,TXT,SP500
2019-02-01,UAL,SP500
2019-02-01,UNP,SP500
2019-02-01,UPS,SP500
2019-02-01,URI,SP500
2019-02-01,UTX,SP500
2019-02-01,VRSK,SP500
2019-02-01,WM,SP500
2019-02-01,XYL,SP500
2019-03-01,AAL,SP500
2019-03-01,ALK,SP500
2019-03-01,ALLE,SP500
2019-03-01,AME,SP500
2019-03-01,AOS,SP500
2019-03-01,ARNC,SP500
2019-03-01,BA,SP500
2019-03-01,CAT,SP500
2019-03-01,CHRW,SP500
2019-03-01,CMI,SP500
2019-03-01,CPRT,SP500
2019-03-01,CSX,SP500
2019-03-01,CTAS,SP500
2019-03-01,DAL,SP500
2019-03-01,DE,SP500
2019-03-01,DOV,SP500
2019-03-01,EFX,SP500
2019-03-01,EMR,SP500
2019-03-01,ETN,SP500
2019-03-01,EXPD,SP500
2019-03-01,FAST,SP500
2019-03-01,FBHS,SP500
2019-03-01,FDX,SP500
2019-03-01,FLR,SP500
2019-03-01,FLS,SP500
2019-03-01,FTV,SP500
2019-03-01,GD,SP500
2019-03-01,GE,SP500
2019-03-01,GWW,SP500
2019-03-01,HII,SP500
2019-03-01,HON,SP500
2019-03-01,HRS,SP500
2019-03-01,INFO,SP500
2019-03-01,IR,SP500
2019-03-01,ITW,SP500
2019-03-01,JBHT,SP500
2019-03-01,JCI,SP500
2019-03-01,JEC,SP500
2019-03-01,KBSF,SP500
2019-03-01,KSU,SP500
2019-03-01,LMT,SP500
2019-03-01,LUV,SP500
2019-03-01,MAS,SP500
2019-03-01,MMM,SP500
2019-03-01,NLSN,SP500
2019-03-01,NOC,SP500
2019-03-01,NSC,SP500
2019-03-01,PCAR,SP500
2019-03-01,PH,SP500
2019-03-01,PNR,SP500
2019-03-01,PWR,SP500
2019-03-01,RHI,SP500
2019-03-01,ROK,SP500
2019-03-01,ROL,SP500
2019-03-01,ROP,SP500
2019-03-01,RSG,SP500
2019-03-01,RTN,SP500
2019-03-01,SNA,SP500
2019-03-01,SWK,SP500
2019-03-01,TDG,SP500
2019-03-01,TXT,SP500
2019-03-01,UAL,SP500
2019-03-01,UNP,SP500
2019-03-01,UPS,SP500
2019-03-01,URI,SP500
2019-03-01,UTX,SP500
2019-03-01,VRSK,SP500
2019-03-01,WAB,SP500
2019-03-01,WM,SP500
2019-03-01,XYL,SP500
2019-04-02,AAL,SP500
2019-04-02,ALK,SP500
2019-04-02,ALLE,SP500
2019-04-02,AME,SP500
2019-04-02,AOS,SP500
2019-04-02,ARNC,SP500
2019-04-02,BA,SP500
2019-04-02,CAT,SP500
2019-04-02,CHRW,SP500
2019-04-02,CMI,SP500
2019-04-02,CPRT,SP500
