date,ticker,index_member
2019-01-01,AAPL,SP500
2019-01-01,ACN,SP500
2019-01-01,ADBE,SP500
2019-01-01,ADI,SP500
2019-01-01,ADP,SP500
2019-01-01,ADS,SP500
2019-01-01,ADSK,SP500
2019-01-01,AKAM,SP500
2019-01-01,AMAT,SP500
2019-01-01,AMD,SP500
2019-01-01,ANET,SP500
2019-01-01,ANSS,SP500
2019-01-01,APH,SP500
2019-01-01,AVGO,SP500
2019-01-01,BR,SP500
2019-01-01,CDNS,SP500
2019-01-01,CRM,SP500
2019-01-01,CSCO,SP500
2019-01-01,CTSH,SP500
2019-01-01,CTXS,SP500
2019-01-01,DXC,SP500
2019-01-01,FFIV,SP500
2019-01-01,FIS,SP500
2019-01-01,FISV,SP500
2019-01-01,FLIR,SP500
2019-01-01,FLT,SP500
2019-01-01,FTNT,SP500
2019-01-01,GLW,SP500
2019-01-01,GPN,SP500
2019-01-01,HPE,SP500
2019-01-01,HPQ,SP500
2019-01-01,IBM,SP500
2019-01-01,INTC,SP500
2019-01-01,INTU,SP500
2019-01-01,IPGP,SP500
2019-01-01,IT,SP500
2019-01-01,JKHY,SP500
2019-01-01,JNPR,SP500
2019-01-01,KEYS,SP500
2019-01-01,KLAC,SP500
2019-01-01,LRCX,SP500
2019-01-01,MA,SP500
2019-01-01,MCHP,SP500
2019-01-01,MSFT,SP500
2019-01-01,MSI,SP500
2019-01-01,MU,SP500
2019-01-01,MXIM,SP500
2019-01-01,NTAP,SP500
2019-01-01,NVDA,SP500
2019-01-01,ORCL,SP500
2019-01-01,PAYX,SP500
2019-01-01,PYPL,SP500
2019-01-01,QCOM,SP500
2019-01-01,QRVO,SP500
2019-01-01,RHT,SP500
2019-01-01,SNPS,SP500
2019-01-01,STX,SP500
2019-01-01,SWKS,SP500
2019-01-01,SYMC,SP500
2019-01-01,TEL,SP500
2019-01-01,TSS,SP500
2019-01-01,TXN,SP500
2019-01-01,V,SP500
2019-01-01,VRSN,SP500
2019-01-01,WDC,SP500
2019-01-01,WU,SP500
2019-01-01,XLNX,SP500
2019-01-01,XRX,SP500
2019-02-01,AAPL,SP500
2019-02-01,ACN,SP500
2019-02-01,ADBE,SP500
2019-02-01,ADI,SP500
2019-02-01,ADP,SP500
2019-02-01,ADS,SP500
2019-02-01,ADSK,SP500
2019-02-01,AKAM,SP500
2019-02-01,AMAT,SP500
2019-02-01,AMD,SP500
2019-02-01,ANET,SP500
2019-02-01,ANSS,SP500
2019-02-01,APH,SP500
2019-02-01,AVGO,SP500
2019-02-01,BR,SP500
2019-02-01,CDNS,SP500
2019-02-01,CRM,SP500
2019-02-01,CSCO,SP500
2019-02-01,CTSH,SP500
2019-02-01,CTXS,SP500
2019-02-01,DXC,SP500
2019-02-01,FFIV,SP500
2019-02-01,FIS,SP500
2019-02-01,FISV,SP500
2019-02-01,FLIR,SP500
2019-02-01,FLT,SP500
2019-02-01,FTNT,SP500
2019-02-01,GLW,SP500
2019-02-01,GPN,SP500
2019-02-01,HPE,SP500
2019-02-01,HPQ,SP500
2019-02-01,IBM,SP500
2019-02-01,INTC,SP500
2019-02-01,INTU,SP500
2019-02-01,IPGP,SP500
2019-02-01,IT,SP500
2019-02-01,JKHY,SP500
2019-02-01,JNPR,SP500
2019-02-01,KEYS,SP500
2019-02-01,KLAC,SP500
2019-02-01,LRCX,SP500
2019-02-01,MA,SP500
2019-02-01,MCHP,SP500
2019-02-01,MSFT,SP500
2019-02-01,MSI,SP500
2019-02-01,MU,SP500
2019-02-01,MXIM,SP500
2019-02-01,NTAP,SP500
2019-02-01,NVDA,SP500
2019-02-01,ORCL,SP500
2019-02-01,PAYX,SP500
2019-02-01,PYPL,SP500
2019-02-01,QCOM,SP500
2019-02-01,QRVO,SP500
2019-02-01,RHT,SP500
2019-02-01,SNPS,SP500
2019-02-01,STX,SP500
2019-02-01,SWKS,SP500
2019-02-01,SYMC,SP500
2019-02-01,TEL,SP500
2019-02-01,TSS,SP500
2019-02-01,TXN,SP500
2019-02-01,V,SP500
2019-02-01,VRSN,SP500
2019-02-01,WDC,SP500
2019-02-01,WU,SP500
2019-02-01,XLNX,SP500
2019-02-01,XRX,SP500
2019-03-01,AAPL,SP500
2019-03-01,ACN,SP500
2019-03-01,ADBE,SP500
2019-03-01,ADI,SP500
2019-03-01,ADP,SP500
2019-03-01,ADS,SP500
2019-03-01,ADSK,SP500
2019-03-01,AKAM,SP500
2019-03-01,AMAT,SP500
2019-03-01,AMD,SP500
2019-03-01,ANET,SP500
2019-03-01,ANSS,SP500
2019-03-01,APH,SP500
2019-03-01,AVGO,SP500
2019-03-01,BR,SP500
2019-03-01,CDNS,SP500
2019-03-01,CRM,SP500
2019-03-01,CSCO,SP500
2019-03-01,CTSH,SP500
2019-03-01,CTXS,SP500
2019-03-01,DXC,SP500
2019-03-01,FFIV,SP500
2019-03-01,FIS,SP500
2019-03-01,FISV,SP500
2019-03-01,FLIR,SP500
2019-03-01,FLT,SP500
2019-03-01,FTNT,SP500
2019-03-01,GLW,SP500
2019-03-01,GPN,SP500
2019-03-01,HPE,SP500
2019-03-01,HPQ,SP500
2019-03-01,IBM,SP500
2019-03-01,INTC,SP500
2019-03-01,INTU,SP500
2019-03-01,IPGP,SP500
2019-03-01,IT,SP500
2019-03-01,JKHY,SP500
2019-03-01,JNPR,SP500
2019-03-01,KEYS,SP500
2019-03-01,KLAC,SP500
2019-03-01,LRCX,SP500
2019-03-01,MA,SP500
2019-03-01,MCHP,SP500
2019-03-01,MSFT,SP500
2019-03-01,MSI,SP500
2019-03-01,MU,SP500
2019-03-01,MXIM,SP500
2019-03-01,NTAP,SP500
2019-03-01,NVDA,SP500
2019-03-01,ORCL,SP500
2019-03-01,PAYX,SP500
2019-03-01,PYPL,SP500
2019-03-01,QCOM,SP500
2019-03-01,QRVO,SP500
2019-03-01,RHT,SP500
2019-03-01,SNPS,SP500
2019-03-01,STX,SP500
2019-03-01,SWKS,SP500
2019-03-01,SYMC,SP500
2019-03-01,TEL,SP500
2019-03-01,TSS,SP500
2019-03-01,TXN,SP500
2019-03-01,V,SP500
2019-03-01,VRSN,SP500
2019-03-01,WDC,SP500
2019-03-01,WU,SP500
2019-03-01,XLNX,SP500
2019-03-01,XRX,SP500
2019-04-02,AAPL,SP500
2019-04-02,ACN,SP500
2019-04-02,ADBE,SP500
2019-04-02,ADI,SP500
2019-04-02,ADP,SP500
2019-04-02,ADS,SP500
2019-04-02,ADSK,SP500
