date,ticker,index_member
2019-01-01,ADM,SP500
2019-01-01,BF.B,SP500
2019-01-01,CAG,SP500
2019-01-01,CHD,SP500
2019-01-01,CL,SP500
2019-01-01,CLX,SP500
2019-01-01,COST,SP500
2019-01-01,COTY,SP500
2019-01-01,CPB,SP500
2019-01-01,EL,SP500
2019-01-01,GIS,SP500
2019-01-01,HRL,SP500
2019-01-01,HSY,SP500
2019-01-01,K,SP500
2019-01-01,KHC,SP500
2019-01-01,KMB,SP500
2019-01-01,KO,SP500
2019-01-01,KR,SP500
2019-01-01,LW,SP500
2019-01-01,MDLZ,SP500
2019-01-01,MKC,SP500
2019-01-01,MNST,SP500
2019-01-01,MO,SP500
2019-01-01,PEP,SP500
2019-01-01,PG,SP500
2019-01-01,PM,SP500
2019-01-01,SJM,SP500
2019-01-01,STZ,SP500
2019-01-01,SYY,SP500
2019-01-01,TAP,SP500
2019-01-01,TSN,SP500
2019-01-01,WBA,SP500
2019-01-01,WMT,SP500
2019-02-01,ADM,SP500
2019-02-01,BF.B,SP500
2019-02-01,CAG,SP500
2019-02-01,CHD,SP500
2019-02-01,CL,SP500
2019-02-01,CLX,SP500
2019-02-01,COST,SP500
2019-02-01,COTY,SP500
2019-02-01,CPB,SP500
2019-02-01,EL,SP500
2019-02-01,GIS,SP500
2019-02-01,HRL,SP500
2019-02-01,HSY,SP500
2019-02-01,K,SP500
2019-02-01,KHC,SP500
2019-02-01,KMB,SP500
2019-02-01,KO,SP500
2019-02-01,KR,SP500
2019-02-01,LW,SP500
2019-02-01,MDLZ,SP500
2019-02-01,MKC,SP500
2019-02-01,MNST,SP500
2019-02-01,MO,SP500
2019-02-01,PEP,SP500
2019-02-01,PG,SP500
2019-02-01,PM,SP500
2019-02-01,SJM,SP500
2019-02-01,STZ,SP500
2019-02-01,SYY,SP500
2019-02-01,TAP,SP500
2019-02-01,TSN,SP500
2019-02-01,WBA,SP500
2019-02-01,WMT,SP500
2019-03-01,ADM,SP500
2019-03-01,BF.B,SP500
2019-03-01,CAG,SP500
2019-03-01,CHD,SP500
2019-03-01,CL,SP500
2019-03-01,CLX,SP500
2019-03-01,COST,SP500
2019-03-01,COTY,SP500
2019-03-01,CPB,SP500
2019-03-01,EL,SP500
2019-03-01,GIS,SP500
2019-03-01,HRL,SP500
2019-03-01,HSY,SP500
2019-03-01,K,SP500
2019-03-01,KHC,SP500
2019-03-01,KMB,SP500
2019-03-01,KO,SP500
2019-03-01,KR,SP500
2019-03-01,LW,SP500
2019-03-01,MDLZ,SP500
2019-03-01,MKC,SP500
2019-03-01,MNST,SP500
2019-03-01,MO,SP500
2019-03-01,PEP,SP500
2019-03-01,PG,SP500
2019-03-01,PM,SP500
2019-03-01,SJM,SP500
2019-03-01,STZ,SP500
2019-03-01,SYY,SP500
2019-03-01,TAP,SP500
2019-03-01,TSN,SP500
2019-03-01,WBA,SP500
2019-03-01,WMT,SP500
2019-04-02,ADM,SP500
2019-04-02,BF.B,SP500
2019-04-02,CAG,SP500
2019-04-02,CHD,SP500
2019-04-02,CL,SP500
2019-04-02,CLX,SP500
2019-04-02,COST,SP500
2019-04-02,COTY,SP500
2019-04-02,CPB,SP500
2019-04-02,EL,SP500
