date,ticker,index_member
2019-01-23,AIV,SP500
2019-01-23,AMT,SP500
2019-01-23,ARE,SP500
2019-01-23,AVB,SP500
2019-01-23,BXP,SP500
2019-01-23,CBRE,SP500
2019-01-23,CCI,SP500
2019-01-23,DLR,SP500
2019-01-23,DRE,SP500
2019-01-23,EQIX,SP500
2019-01-23,EQR,SP500
2019-01-23,ESS,SP500
2019-01-23,EXR,SP500
2019-01-23,FRT,SP500
2019-01-23,HCP,SP500
2019-01-23,HST,SP500
2019-01-23,IRM,SP500
2019-01-23,KIM,SP500
2019-01-23,MAA,SP500
2019-01-23,MAC,SP500
2019-01-23,O,SP500
2019-01-23,PLD,SP500
2019-01-23,PSA,SP500
2019-01-23,REG,SP500
2019-01-23,SBAC,SP500
2019-01-23,SLG,SP500
2019-01-23,SPG,SP500
2019-01-23,UDR,SP500
2019-01-23,VNO,SP500
2019-01-23,VTR,SP500
2019-01-23,WELL,SP500
2019-01-23,WY,SP500
2019-02-01,AIV,SP500
2019-02-01,AMT,SP500
2019-02-01,ARE,SP500
2019-02-01,AVB,SP500
2019-02-01,BXP,SP500
2019-02-01,CBRE,SP500
2019-02-01,CCI,SP500
2019-02-01,DLR,SP500
2019-02-01,DRE,SP500
2019-02-01,EQIX,SP500
2019-02-01,EQR,SP500
2019-02-01,ESS,SP500
2019-02-01,EXR,SP500
2019-02-01,FRT,SP500
2019-02-01,HCP,SP500
2019-02-01,HST,SP500
2019-02-01,IRM,SP500
2019-02-01,KIM,SP500
2019-02-01,MAA,SP500
2019-02-01,MAC,SP500
2019-02-01,O,SP500
2019-02-01,PLD,SP500
2019-02-01,PSA,SP500
2019-02-01,REG,SP500
2019-02-01,SBAC,SP500
2019-02-01,SLG,SP500
2019-02-01,SPG,SP500
2019-02-01,UDR,SP500
2019-02-01,VNO,SP500
2019-02-01,VTR,SP500
2019-02-01,WELL,SP500
2019-02-01,WY,SP500
2019-03-01,AIV,SP500
2019-03-01,AMT,SP500
2019-03-01,ARE,SP500
2019-03-01,AVB,SP500
2019-03-01,BXP,SP500
2019-03-01,CBRE,SP500
2019-03-01,CCI,SP500
2019-03-01,DLR,SP500
2019-03-01,DRE,SP500
2019-03-01,EQIX,SP500
2019-03-01,EQR,SP500
2019-03-01,ESS,SP500
2019-03-01,EXR,SP500
2019-03-01,FRT,SP500
2019-03-01,HCP,SP500
2019-03-01,HST,SP500
2019-03-01,IRM,SP500
2019-03-01,KIM,SP500
2019-03-01,MAA,SP500
2019-03-01,MAC,SP500
2019-03-01,O,SP500
2019-03-01,PLD,SP500
2019-03-01,PSA,SP500
2019-03-01,REG,SP500
2019-03-01,SBAC,SP500
2019-03-01,SLG,SP500
2019-03-01,SPG,SP500
2019-03-01,UDR,SP500
2019-03-01,VNO,SP500
2019-03-01,VTR,SP500
2019-03-01,WELL,SP500
2019-03-01,WY,SP500
2019-04-02,AIV,SP500
2019-04-02,AMT,SP500
2019-04-02,ARE,SP500
2019-04-02,AVB,SP500
2019-04-02,BXP,SP500
2019-04-02,CBRE,SP500
2019-04-02,CCI,SP500
2019-04-02,DLR,SP500
2019-04-02,DRE,SP500
