date,ticker,index_member
2019-01-01,APA,SP500
2019-01-01,APC,SP500
2019-01-01,BHGE,SP500
2019-01-01,COG,SP500
2019-01-01,COP,SP500
2019-01-01,CVX,SP500
2019-01-01,CXO,SP500
2019-01-01,DVN,SP500
2019-01-01,EOG,SP500
2019-01-01,FANG,SP500
2019-01-01,FTI,SP500
2019-01-01,HAL,SP500
2019-01-01,HES,SP500
2019-01-01,HFC,SP500
2019-01-01,HP,SP500
2019-01-01,KMI,SP500
2019-01-01,MPC,SP500
2019-01-01,MRO,SP500
2019-01-01,NBL,SP500
2019-01-01,NFX,SP500
2019-01-01,NOV,SP500
2019-01-01,OKE,SP500
2019-01-01,OXY,SP500
2019-01-01,PSX,SP500
2019-01-01,PXD,SP500
2019-01-01,SLB,SP500
2019-01-01,VLO,SP500
2019-01-01,WMB,SP500
2019-01-01,XEC,SP500
2019-01-01,XOM,SP500
2019-02-01,APA,SP500
2019-02-01,APC,SP500
2019-02-01,BHGE,SP500
2019-02-01,COG,SP500
2019-02-01,COP,SP500
2019-02-01,CVX,SP500
2019-02-01,CXO,SP500
2019-02-01,DVN,SP500
2019-02-01,EOG,SP500
2019-02-01,FANG,SP500
2019-02-01,FTI,SP500
2019-02-01,HAL,SP500
2019-02-01,HES,SP500
2019-02-01,HFC,SP500
2019-02-01,HP,SP500
2019-02-01,KMI,SP500
2019-02-01,MPC,SP500
2019-02-01,MRO,SP500
2019-02-01,NBL,SP500
2019-02-01,NFX,SP500
2019-02-01,NOV,SP500
2019-02-01,OKE,SP500
2019-02-01,OXY,SP500
2019-02-01,PSX,SP500
2019-02-01,PXD,SP500
2019-02-01,SLB,SP500
2019-02-01,VLO,SP500
2019-02-01,WMB,SP500
2019-02-01,XEC,SP500
2019-02-01,XOM,SP500
2019-03-01,APA,SP500
2019-03-01,APC,SP500
2019-03-01,BHGE,SP500
2019-03-01,COG,SP500
2019-03-01,COP,SP500
2019-03-01,CVX,SP500
2019-03-01,CXO,SP500
2019-03-01,DVN,SP500
2019-03-01,EOG,SP500
2019-03-01,FANG,SP500
2019-03-01,FTI,SP500
2019-03-01,HAL,SP500
2019-03-01,HES,SP500
2019-03-01,HFC,SP500
2019-03-01,HP,SP500
2019-03-01,KMI,SP500
2019-03-01,MPC,SP500
2019-03-01,MRO,SP500
2019-03-01,NBL,SP500
2019-03-01,NOV,SP500
2019-03-01,OKE,SP500
2019-03-01,OXY,SP500
2019-03-01,PSX,SP500
2019-03-01,PXD,SP500
2019-03-01,SLB,SP500
2019-03-01,VLO,SP500
2019-03-01,WMB,SP500
2019-03-01,XEC,SP500
2019-03-01,XOM,SP500
2019-04-02,APA,SP500
2019-04-02,APC,SP500
2019-04-02,BHGE,SP500
2019-04-02,COG,SP500
2019-04-02,COP,SP500
2019-04-02,CVX,SP500
2019-04-02,CXO,SP500
2019-04-02,DVN,SP500
2019-04-02,EOG,SP500
2019-04-02,FANG,SP500
2019-04-02,FTI,SP500
2019-04-02,HAL,SP500
2019-04-02,HES,SP500
2019-04-02,HFC,SP500
2019-04-02,HP,SP500
2019-04-02,KMI,SP500
2019-04-02,MPC,SP500
2019-04-02,MRO,SP500
2019-04-02,NBL,SP500
2019-04-02,NOV,SP500
2019-04-02,OKE,SP500
2019-04-02,OXY,SP500
2019-04-02,PSX,SP500
2019-04-02,PXD,SP500
2019-04-02,SLB,SP500
2019-04-02,VLO,SP500
2019-04-02,WMB,SP500
2019-04-02,XEC,SP500
2019-04-02,XOM,SP500
2019-05-01,APA,SP500
2019-05-01,APC,SP500
2019-05-01,BHGE,SP500
2019-05-01,COG,SP500
2019-05-01,COP,SP500
2019-05-01,CVX,SP500
2019-05-01,CXO,SP500
2019-05-01,DVN,SP500
2019-05-01,EOG,SP500
2019-05-01,FANG,SP500
2019-05-01,FTI,SP500
2019-05-01,HAL,SP500
2019-05-01,HES,SP500
2019-05-01,HFC,SP500
2019-05-01,HP,SP500
2019-05-01,KMI,SP500
2019-05-01,MPC,SP500
2019-05-01,MRO,SP500
2019-05-01,NBL,SP500
2019-05-01,NOV,SP500
2019-05-01,OKE,SP500
2019-05-01,OXY,SP500
2019-05-01,PSX,SP500
2019-05-01,PXD,SP500
2019-05-01,SLB,SP500
2019-05-01,VLO,SP500
2019-05-01,WMB,SP500
2019-05-01,XEC,SP500
2019-05-01,XOM,SP500
2019-06-07,APA,SP500
2019-06-07,APC,SP500
2019-06-07,BHGE,SP500
2019-06-07,COG,SP500
2019-06-07,COP,SP500
2019-06-07,CVX,SP500
2019-06-07,CXO,SP500
2019-06-07,DVN,SP500
2019-06-07,EOG,SP500
2019-06-07,FANG,SP500
2019-06-07,FTI,SP500
2019-06-07,HAL,SP500
2019-06-07,HES,SP500
2019-06-07,HFC,SP500
2019-06-07,HP,SP500
2019-06-07,KMI,SP500
2019-06-07,MPC,SP500
2019-06-07,MRO,SP500
2019-06-07,NBL,SP500
2019-06-07,NOV,SP500
2019-06-07,OKE,SP500
2019-06-07,OXY,SP500
2019-06-07,PSX,SP500
2019-06-07,PXD,SP500
2019-06-07,SLB,SP500
2019-06-07,VLO,SP500
2019-06-07,WMB,SP500
2019-06-07,XEC,SP500
2019-06-07,XOM,SP500
2019-07-02,APA,SP500
2019-07-02,APC,SP500
2019-07-02,BHGE,SP500
2019-07-02,COG,SP500
2019-07-02,COP,SP500
2019-07-02,CVX,SP500
2019-07-02,CXO,SP500
2019-07-02,DVN,SP500
2019-07-02,EOG,SP500
2019-07-02,FANG,SP500
2019-07-02,FTI,SP500
2019-07-02,HAL,SP500
2019-07-02,HES,SP500
2019-07-02,HFC,SP500
2019-07-02,HP,SP500
2019-07-02,KMI,SP500
2019-07-02,MPC,SP500
2019-07-02,MRO,SP500
2019-07-02,NBL,SP500
2019-07-02,NOV,SP500
2019-07-02,OKE,SP500
2019-07-02,OXY,SP500
2019-07-02,PSX,SP500
2019-07-02,PXD,SP500
2019-07-02,SLB,SP500
2019-07-02,VLO,SP500
2019-07-02,WMB,SP500
2019-07-02,XEC,SP500
2019-07-02,XOM,SP500
2019-08-01,APA,SP500
2019-08-01,APC,SP500
2019-08-01,BHGE,SP500
2019-08-01,COG,SP500
2019-08-01,COP,SP500
2019-08-01,CVX,SP500
2019-08-01,CXO,SP500
2019-08-01,DVN,SP500
2019-08-01,EOG,SP500
2019-08-01,FANG,SP500
2019-08-01,FTI,SP500
2019-08-01,HAL,SP500
2019-08-01,HES,SP500
2019-08-01,HFC,SP500
2019-08-01,HP,SP500
2019-08-01,KMI,SP500
2019-08-01,MPC,SP500
