date,ticker,index_member
2019-01-01,AAP,SP500
2019-01-01,AMZN,SP500
2019-01-01,APTV,SP500
2019-01-01,AZO,SP500
2019-01-01,BBY,SP500
2019-01-01,BKNG,SP500
2019-01-01,BWA,SP500
2019-01-01,CMG,SP500
2019-01-01,DG,SP500
2019-01-01,DHI,SP500
2019-01-01,DLTR,SP500
2019-01-01,DRI,SP500
2019-01-01,EBAY,SP500
2019-01-01,EXPE,SP500
2019-01-01,F,SP500
2019-01-01,FL,SP500
2019-01-01,GM,SP500
2019-01-01,GPC,SP500
2019-01-01,GPS,SP500
2019-01-01,GRMN,SP500
2019-01-01,GT,SP500
2019-01-01,HAS,SP500
2019-01-01,HBI,SP500
2019-01-01,HD,SP500
2019-01-01,HLT,SP500
2019-01-01,HOG,SP500
2019-01-01,HRB,SP500
2019-01-01,JWN,SP500
2019-01-01,KMX,SP500
2019-01-01,KORS,SP500
2019-01-01,KSS,SP500
2019-01-01,LB,SP500
2019-01-01,LEG,SP500
2019-01-01,LEN,SP500
2019-01-01,LKQ,SP500
2019-01-01,LOW,SP500
2019-01-01,M,SP500
2019-01-01,MAR,SP500
2019-01-01,MAT,SP500
2019-01-01,MCD,SP500
2019-01-01,MGM,SP500
2019-01-01,MHK,SP500
2019-01-01,NCLH,SP500
2019-01-01,NKE,SP500
2019-01-01,NWL,SP500
2019-01-01,ORLY,SP500
2019-01-01,PHM,SP500
2019-01-01,PVH,SP500
2019-01-01,RCL,SP500
2019-01-01,RL,SP500
2019-01-01,ROST,SP500
2019-01-01,SBUX,SP500
2019-01-01,TGT,SP500
2019-01-01,TIF,SP500
2019-01-01,TJX,SP500
2019-01-01,TPR,SP500
2019-01-01,TSCO,SP500
2019-01-01,UA,SP500
2019-01-01,UAA,SP500
2019-01-01,ULTA,SP500
2019-01-01,VFC,SP500
2019-01-01,WHR,SP500
2019-01-01,WYNN,SP500
2019-01-01,YUM,SP500
2019-02-01,AAP,SP500
2019-02-01,AMZN,SP500
2019-02-01,APTV,SP500
2019-02-01,AZO,SP500
2019-02-01,BBY,SP500
2019-02-01,BKNG,SP500
2019-02-01,BWA,SP500
2019-02-01,CMG,SP500
2019-02-01,CPRI,SP500
2019-02-01,DG,SP500
2019-02-01,DHI,SP500
2019-02-01,DLTR,SP500
2019-02-01,DRI,SP500
2019-02-01,EBAY,SP500
2019-02-01,EXPE,SP500
2019-02-01,F,SP500
2019-02-01,FL,SP500
2019-02-01,GM,SP500
2019-02-01,GPC,SP500
2019-02-01,GPS,SP500
2019-02-01,GRMN,SP500
2019-02-01,GT,SP500
2019-02-01,HAS,SP500
2019-02-01,HBI,SP500
2019-02-01,HD,SP500
2019-02-01,HLT,SP500
2019-02-01,HOG,SP500
2019-02-01,HRB,SP500
2019-02-01,JWN,SP500
2019-02-01,KMX,SP500
2019-02-01,KSS,SP500
2019-02-01,LB,SP500
2019-02-01,LEG,SP500
2019-02-01,LEN,SP500
2019-02-01,LKQ,SP500
2019-02-01,LOW,SP500
2019-02-01,M,SP500
2019-02-01,MAR,SP500
2019-02-01,MAT,SP500
2019-02-01,MCD,SP500
2019-02-01,MGM,SP500
2019-02-01,MHK,SP500
2019-02-01,NCLH,SP500
2019-02-01,NKE,SP500
2019-02-01,NWL,SP500
2019-02-01,ORLY,SP500
2019-02-01,PHM,SP500
2019-02-01,PVH,SP500
2019-02-01,RCL,SP500
2019-02-01,RL,SP500
2019-02-01,ROST,SP500
2019-02-01,SBUX,SP500
2019-02-01,TGT,SP500
2019-02-01,TIF,SP500
2019-02-01,TJX,SP500
2019-02-01,TPR,SP500
2019-02-01,TSCO,SP500
2019-02-01,UA,SP500
2019-02-01,UAA,SP500
2019-02-01,ULTA,SP500
2019-02-01,VFC,SP500
2019-02-01,WHR,SP500
2019-02-01,WYNN,SP500
2019-02-01,YUM,SP500
2019-03-01,AAP,SP500
2019-03-01,AMZN,SP500
2019-03-01,APTV,SP500
2019-03-01,AZO,SP500
2019-03-01,BBY,SP500
2019-03-01,BKNG,SP500
2019-03-01,BWA,SP500
2019-03-01,CCL,SP500
2019-03-01,CMG,SP500
2019-03-01,CPRI,SP500
2019-03-01,DG,SP500
2019-03-01,DHI,SP500
2019-03-01,DLTR,SP500
2019-03-01,DRI,SP500
2019-03-01,EBAY,SP500
2019-03-01,EXPE,SP500
2019-03-01,F,SP500
2019-03-01,FL,SP500
2019-03-01,GM,SP500
2019-03-01,GPC,SP500
2019-03-01,GPS,SP500
2019-03-01,GRMN,SP500
2019-03-01,HAS,SP500
2019-03-01,HBI,SP500
2019-03-01,HD,SP500
2019-03-01,HLT,SP500
2019-03-01,HOG,SP500
2019-03-01,HRB,SP500
2019-03-01,JWN,SP500
2019-03-01,KMX,SP500
2019-03-01,KSS,SP500
2019-03-01,LB,SP500
2019-03-01,LEG,SP500
2019-03-01,LEN,SP500
2019-03-01,LKQ,SP500
2019-03-01,LOW,SP500
2019-03-01,M,SP500
2019-03-01,MAR,SP500
2019-03-01,MAT,SP500
2019-03-01,MCD,SP500
2019-03-01,MGM,SP500
2019-03-01,MHK,SP500
2019-03-01,NCLH,SP500
2019-03-01,NKE,SP500
2019-03-01,NWL,SP500
2019-03-01,ORLY,SP500
2019-03-01,PHM,SP500
2019-03-01,PVH,SP500
2019-03-01,RCL,SP500
2019-03-01,RL,SP500
2019-03-01,ROST,SP500
2019-03-01,SBUX,SP500
2019-03-01,TGT,SP500
2019-03-01,TIF,SP500
2019-03-01,TJX,SP500
2019-03-01,TPR,SP500
2019-03-01,TSCO,SP500
2019-03-01,UA,SP500
2019-03-01,UAA,SP500
2019-03-01,ULTA,SP500
2019-03-01,VFC,SP500
2019-03-01,WHR,SP500
2019-03-01,WYNN,SP500
2019-03-01,YUM,SP500
2019-04-02,AAP,SP500
2019-04-02,AMZN,SP500
2019-04-02,APTV,SP500
2019-04-02,AZO,SP500
2019-04-02,BBY,SP500
2019-04-02,BKNG,SP500
2019-04-02,BWA,SP500
2019-04-02,CCL,SP500
2019-04-02,CMG,SP500
2019-04-02,CPRI,SP500
2019-04-02,DG,SP500
2019-04-02,DHI,SP500
2019-04-02,DLTR,SP500
2019-04-02,DRI,SP500
2019-04-02,EBAY,SP500
2019-04-02,EXPE,SP500
2019-04-02,F,SP500
2019-04-02,FL,SP500
2019-04-02,GM,SP500
2019-04-02,GPC,SP500
2019-04-02,GPS,SP500
2019-04-02,GRMN,SP500
2019-04-02,HAS,SP500
2019-04-02,HBI,SP500
2019-04-02,HD,SP500
2019-04-02,HLT,SP500
2019-04-02,HOG,SP500
2019-04-02,HRB,SP500
2019-04-02,JWN,SP500
2019-04-02,KMX,SP500
2019-04-02,KSS,SP500
2019-04-02,LB,SP500
2019-04-02,LEG,SP500
2019-04-02,LEN,SP500
2019-04-02,LKQ,SP500
2019-04-02,LOW,SP500
2019-04-02,M,SP500
2019-04-02,MAR,SP500
2019-04-02,MAT,SP500
2019-04-02,MCD,SP500
2019-04-02,MGM,SP500
2019-04-02,MHK,SP500
2019-04-02,NCLH,SP500
2019-04-02,NKE,SP500
2019-04-02,NWL,SP500
2019-04-02,ORLY,SP500
2019-04-02,PHM,SP500
2019-04-02,PVH,SP500
2019-04-02,RCL,SP500
2019-04-02,RL,SP500
2019-04-02,ROST,SP500
2019-04-02,SBUX,SP500
2019-04-02,TGT,SP500
2019-04-02,TIF,SP500
2019-04-02,TJX,SP500
2019-04-02,TPR,SP500
2019-04-02,TSCO,SP500
2019-04-02,UA,SP500
2019-04-02,UAA,SP500
2019-04-02,ULTA,SP500
2019-04-02,VFC,SP500
2019-04-02,WHR,SP500
2019-04-02,WYNN,SP500
2019-04-02,YUM,SP500
2019-05-01,AAP,SP500
2019-05-01,AMZN,SP500
2019-05-01,APTV,SP500
2019-05-01,AZO,SP500
2019-05-01,BBY,SP500
2019-05-01,BKNG,SP500
2019-05-01,BWA,SP500
2019-05-01,CCL,SP500
2019-05-01,CMG,SP500
2019-05-01,CPRI,SP500
2019-05-01,DG,SP500
2019-05-01,DHI,SP500
2019-05-01,DLTR,SP500
2019-05-01,DRI,SP500
2019-05-01,EBAY,SP500
2019-05-01,EXPE,SP500
2019-05-01,F,SP500
2019-05-01,FL,SP500
2019-05-01,GM,SP500
2019-05-01,GPC,SP500
2019-05-01,GPS,SP500
2019-05-01,GRMN,SP500
2019-05-01,HAS,SP500
2019-05-01,HBI,SP500
2019-05-01,HD,SP500
2019-05-01,HLT,SP500
2019-05-01,HOG,SP500
2019-05-01,HRB,SP500
2019-05-01,JWN,SP500
2019-05-01,KMX,SP500
2019-05-01,KSS,SP500
2019-05-01,LB,SP500
2019-05-01,LEG,SP500
2019-05-01,LEN,SP500
2019-05-01,LKQ,SP500
2019-05-01,LOW,SP500
2019-05-01,M,SP500
2019-05-01,MAR,SP500
2019-05-01,MAT,SP500
2019-05-01,MCD,SP500
2019-05-01,MGM,SP500
2019-05-01,MHK,SP500
2019-05-01,NCLH,SP500
2019-05-01,NKE,SP500
2019-05-01,NWL,SP500
2019-05-01,ORLY,SP500
2019-05-01,PHM,SP500
2019-05-01,PVH,SP500
2019-05-01,RCL,SP500
2019-05-01,RL,SP500
2019-05-01,ROST,SP500
2019-05-01,SBUX,SP500
2019-05-01,TGT,SP500
2019-05-01,TIF,SP500
2019-05-01,TJX,SP500
2019-05-01,TPR,SP500
2019-05-01,TSCO,SP500
2019-05-01,UA,SP500
2019-05-01,UAA,SP500
2019-05-01,ULTA,SP500
2019-05-01,VFC,SP500
2019-05-01,WHR,SP500
2019-05-01,WYNN,SP500
2019-05-01,YUM,SP500
2019-06-07,AAP,SP500
2019-06-07,AMZN,SP500
2019-06-07,APTV,SP500
2019-06-07,AZO,SP500
2019-06-07,BBY,SP500
2019-06-07,BKNG,SP500
2019-06-07,BWA,SP500
2019-06-07,CCL,SP500
2019-06-07,CMG,SP500
2019-06-07,CPRI,SP500
2019-06-07,DG,SP500
2019-06-07,DHI,SP500
2019-06-07,DLTR,SP500
2019-06-07,DRI,SP500
2019-06-07,EBAY,SP500
2019-06-07,EXPE,SP500
2019-06-07,F,SP500
2019-06-07,FL,SP500
2019-06-07,GM,SP500
2019-06-07,GPC,SP500
2019-06-07,GPS,SP500
2019-06-07,GRMN,SP500
2019-06-07,HAS,SP500
2019-06-07,HBI,SP500
2019-06-07,HD,SP500
2019-06-07,HLT,SP500
2019-06-07,HOG,SP500
2019-06-07,HRB,SP500
2019-06-07,JWN,SP500
2019-06-07,KMX,SP500
2019-06-07,KSS,SP500
2019-06-07,LB,SP500
2019-06-07,LEG,SP500
2019-06-07,LEN,SP500
2019-06-07,LKQ,SP500
2019-06-07,LOW,SP500
2019-06-07,M,SP500
2019-06-07,MAR,SP500
2019-06-07,MAT,SP500
2019-06-07,MCD,SP500
2019-06-07,MGM,SP500
2019-06-07,MHK,SP500
2019-06-07,NCLH,SP500
2019-06-07,NKE,SP500
2019-06-07,NWL,SP500
2019-06-07,ORLY,SP500
2019-06-07,PHM,SP500
2019-06-07,PVH,SP500
2019-06-07,RCL,SP500
2019-06-07,RL,SP500
2019-06-07,ROST,SP500
2019-06-07,SBUX,SP500
2019-06-07,TGT,SP500
2019-06-07,TIF,SP500
2019-06-07,TJX,SP500
2019-06-07,TPR,SP500
2019-06-07,TSCO,SP500
2019-06-07,UA,SP500
2019-06-07,UAA,SP500
2019-06-07,ULTA,SP500
2019-06-07,VFC,SP500
2019-06-07,WHR,SP500
2019-06-07,WYNN,SP500
2019-06-07,YUM,SP500
2019-07-02,AAP,SP500
2019-07-02,AMZN,SP500
2019-07-02,APTV,SP500
2019-07-02,AZO,SP500
2019-07-02,BBY,SP500
2019-07-02,BKNG,SP500
2019-07-02,BWA,SP500
2019-07-02,CCL,SP500
2019-07-02,CMG,SP500
2019-07-02,CPRI,SP500
2019-07-02,DG,SP500
2019-07-02,DHI,SP500
2019-07-02,DLTR,SP500
2019-07-02,DRI,SP500
2019-07-02,EBAY,SP500
2019-07-02,EXPE,SP500
2019-07-02,F,SP500
2019-07-02,FL,SP500
2019-07-02,GM,SP500
2019-07-02,GPC,SP500
2019-07-02,GPS,SP500
2019-07-02,GRMN,SP500
2019-07-02,HAS,SP500
2019-07-02,HBI,SP500
2019-07-02,HD,SP500
2019-07-02,HLT,SP500
2019-07-02,HOG,SP500
2019-07-02,HRB,SP500
2019-07-02,JWN,SP500
2019-07-02,KMX,SP500
2019-07-02,KSS,SP500
2019-07-02,LB,SP500
2019-07-02,LEG,SP500
2019-07-02,LEN,SP500
2019-07-02,LKQ,SP500
2019-07-02,LOW,SP500
2019-07-02,M,SP500
2019-07-02,MAR,SP500
2019-07-02,MCD,SP500
2019-07-02,MGM,SP500
2019-07-02,MHK,SP500
2019-07-02,NCLH,SP500
2019-07-02,NKE,SP500
2019-07-02,NWL,SP500
2019-07-02,ORLY,SP500
2019-07-02,PHM,SP500
2019-07-02,PVH,SP500
