date,ticker,index_member
2019-01-01,A,SP500
2019-01-01,AA,SP500
2019-01-01,AAL,SP500
2019-01-01,AAP,SP500
2019-01-01,AAPL,SP500
2019-01-01,ABBV,SP500
2019-01-01,ABC,SP500
2019-01-01,ABMD,SP500
2019-01-01,ABT,SP500
2019-01-01,ACA,SP500
2019-01-01,ACC,SP500
2019-01-01,ACGL,SP500
2019-01-01,ACHC,SP500
2019-01-01,ACM,SP500
2019-01-01,ACN,SP500
2019-01-01,ADBE,SP500
2019-01-01,ADI,SP500
2019-01-01,ADM,SP500
2019-01-01,ADNT,SP500
2019-01-01,ADP,SP500
2019-01-01,ADS,SP500
2019-01-01,ADSK,SP500
2019-01-01,ADT,SP500
2019-01-01,AEE,SP500
2019-01-01,AEP,SP500
2019-01-01,AES,SP500
2019-01-01,AFG,SP500
2019-01-01,AFL,SP500
2019-01-01,AGCO,SP500
2019-01-01,AGIO,SP500
2019-01-01,AGN,SP500
2019-01-01,AGNC,SP500
2019-01-01,AGO,SP500
2019-01-01,AGR,SP500
2019-01-01,AHL,SP500
2019-01-01,AIG,SP500
2019-01-01,AIV,SP500
2019-01-01,AIZ,SP500
2019-01-01,AJG,SP500
2019-01-01,AKAM,SP500
2019-01-01,AL,SP500
2019-01-01,ALB,SP500
2019-01-01,ALGN,SP500
2019-01-01,ALK,SP500
2019-01-01,ALKS,SP500
2019-01-01,ALL,SP500
2019-01-01,ALLE,SP500
2019-01-01,ALLY,SP500
2019-01-01,ALNY,SP500
2019-01-01,ALSN,SP500
2019-01-01,ALXN,SP500
2019-01-01,AMAT,SP500
2019-01-01,AMCX,SP500
2019-01-01,AMD,SP500
2019-01-01,AME,SP500
2019-01-01,AMG,SP500
2019-01-01,AMGN,SP500
2019-01-01,AMH,SP500
2019-01-01,AMP,SP500
2019-01-01,AMT,SP500
2019-01-01,AMTD,SP500
2019-01-01,AMZN,SP500
2019-01-01,AN,SP500
2019-01-01,ANAT,SP500
2019-01-01,ANET,SP500
2019-01-01,ANSS,SP500
2019-01-01,ANTM,SP500
2019-01-01,AON,SP500
2019-01-01,AOS,SP500
2019-01-01,APA,SP500
2019-01-01,APC,SP500
2019-01-01,APD,SP500
2019-01-01,APH,SP500
2019-01-01,APLE,SP500
2019-01-01,APTV,SP500
2019-01-01,APY,SP500
2019-01-01,AR,SP500
2019-01-01,ARD,SP500
2019-01-01,ARE,SP500
2019-01-01,ARMK,SP500
2019-01-01,ARNC,SP500
2019-01-01,ARRS,SP500
2019-01-01,ARW,SP500
2019-01-01,ASB,SP500
2019-01-01,ASH,SP500
2019-01-01,ATH,SP500
2019-01-01,ATHN,SP500
2019-01-01,ATO,SP500
2019-01-01,ATR,SP500
2019-01-01,ATVI,SP500
2019-01-01,AVB,SP500
2019-01-01,AVGO,SP500
2019-01-01,AVT,SP500
2019-01-01,AVY,SP500
2019-01-01,AWI,SP500
2019-01-01,AWK,SP500
2019-01-01,AXP,SP500
2019-01-01,AXS,SP500
2019-01-01,AXTA,SP500
2019-01-01,AYI,SP500
2019-01-01,AZO,SP500
2019-01-01,AZPN,SP500
2019-01-01,BA,SP500
2019-01-01,BAC,SP500
2019-01-01,BAH,SP500
2019-01-01,BAX,SP500
2019-01-01,BBT,SP500
2019-01-01,BBY,SP500
2019-01-01,BC,SP500
2019-01-01,BDN,SP500
2019-01-01,BDX,SP500
2019-01-01,BEN,SP500
2019-01-01,BERY,SP500
2019-01-01,BF.A,SP500
2019-01-01,BF.B,SP500
2019-01-01,BFAM,SP500
2019-01-01,BG,SP500
2019-01-01,BGCP,SP500
2019-01-01,BHF,SP500
2019-01-01,BHGE,SP500
2019-01-01,BIIB,SP500
2019-01-01,BIO,SP500
2019-01-01,BK,SP500
2019-01-01,BKI,SP500
2019-01-01,BKNG,SP500
2019-01-01,BKU,SP500
2019-01-01,BLK,SP500
2019-01-01,BLL,SP500
2019-01-01,BLUE,SP500
2019-01-01,BMRN,SP500
2019-01-01,BMS,SP500
2019-01-01,BMY,SP500
2019-01-01,BOH,SP500
2019-01-01,BOKF,SP500
2019-01-01,BPOP,SP500
2019-01-01,BPR,SP500
2019-01-01,BR,SP500
2019-01-01,BRK.B,SP500
2019-01-01,BRKR,SP500
2019-01-01,BRO,SP500
2019-01-01,BRX,SP500
2019-01-01,BSX,SP500
2019-01-01,BURL,SP500
2019-01-01,BWA,SP500
2019-01-01,BWXT,SP500
2019-01-01,BXP,SP500
2019-01-01,C,SP500
2019-01-01,CABO,SP500
2019-01-01,CACC,SP500
2019-01-01,CAG,SP500
2019-01-01,CAH,SP500
2019-01-01,CASY,SP500
2019-01-01,CAT,SP500
2019-01-01,CB,SP500
2019-01-01,CBOE,SP500
2019-01-01,CBRE,SP500
2019-01-01,CBS,SP500
2019-01-01,CBSH,SP500
2019-01-01,CBT,SP500
2019-01-01,CC,SP500
2019-01-01,CCI,SP500
2019-01-01,CCK,SP500
2019-01-01,CCL,SP500
2019-01-01,CDAY,SP500
2019-01-01,CDEV,SP500
2019-01-01,CDK,SP500
2019-01-01,CDNS,SP500
2019-01-01,CDW,SP500
2019-01-01,CE,SP500
2019-01-01,CELG,SP500
2019-01-01,CERN,SP500
2019-01-01,CF,SP500
2019-01-01,CFG,SP500
2019-01-01,CFR,SP500
2019-01-01,CFX,SP500
2019-01-01,CGNX,SP500
2019-01-01,CHD,SP500
2019-01-01,CHE,SP500
2019-01-01,CHH,SP500
2019-01-01,CHK,SP500
2019-01-01,CHRW,SP500
2019-01-01,CHTR,SP500
2019-01-01,CI,SP500
2019-01-01,CIM,SP500
2019-01-01,CINF,SP500
2019-01-01,CIT,SP500
2019-01-01,CL,SP500
2019-01-01,CLGX,SP500
2019-01-01,CLH,SP500
2019-01-01,CLNY,SP500
2019-01-01,CLR,SP500
2019-01-01,CLX,SP500
2019-01-01,CMA,SP500
2019-01-01,CMCSA,SP500
2019-01-01,CMD,SP500
2019-01-01,CME,SP500
2019-01-01,CMG,SP500
2019-01-01,CMI,SP500
2019-01-01,CMS,SP500
2019-01-01,CNA,SP500
2019-01-01,CNC,SP500
2019-01-01,CNDT,SP500
2019-01-01,CNK,SP500
2019-01-01,CNP,SP500
2019-01-01,CNX,SP500
2019-01-01,COF,SP500
2019-01-01,COG,SP500
2019-01-01,COHR,SP500
2019-01-01,COLM,SP500
2019-01-01,COMM,SP500
2019-01-01,CONE,SP500
2019-01-01,COO,SP500
2019-01-01,COP,SP500
2019-01-01,COR,SP500
2019-01-01,COST,SP500
2019-01-01,COTY,SP500
2019-01-01,CPA,SP500
2019-01-01,CPB,SP500
2019-01-01,CPRT,SP500
2019-01-01,CPT,SP500
2019-01-01,CRI,SP500
2019-01-01,CRL,SP500
2019-01-01,CRM,SP500
2019-01-01,CSCO,SP500
2019-01-01,CSGP,SP500
2019-01-01,CSL,SP500
2019-01-01,CSX,SP500
2019-01-01,CTAS,SP500
2019-01-01,CTL,SP500
2019-01-01,CTLT,SP500
2019-01-01,CTSH,SP500
2019-01-01,CTXS,SP500
2019-01-01,CUBE,SP500
2019-01-01,CVS,SP500
2019-01-01,CVX,SP500
2019-01-01,CW,SP500
2019-01-01,CXO,SP500
2019-01-01,CXP,SP500
2019-01-01,CY,SP500
2019-01-01,CZR,SP500
2019-01-01,D,SP500
2019-01-01,DAL,SP500
2019-01-01,DATA,SP500
2019-01-01,DCI,SP500
2019-01-01,DE,SP500
2019-01-01,DEI,SP500
2019-01-01,DFS,SP500
2019-01-01,DG,SP500
2019-01-01,DGX,SP500
2019-01-01,DHI,SP500
2019-01-01,DHR,SP500
2019-01-01,DIS,SP500
2019-01-01,DISCA,SP500
2019-01-01,DISCK,SP500
2019-01-01,DISH,SP500
2019-01-01,DKS,SP500
2019-01-01,DLB,SP500
2019-01-01,DLR,SP500
2019-01-01,DLTR,SP500
2019-01-01,DNB,SP500
2019-01-01,DNKN,SP500
2019-01-01,DOCU,SP500
2019-01-01,DOV,SP500
2019-01-01,DOX,SP500
2019-01-01,DPZ,SP500
2019-01-01,DRE,SP500
2019-01-01,DRI,SP500
2019-01-01,DTE,SP500
2019-01-01,DUK,SP500
2019-01-01,DVA,SP500
2019-01-01,DVN,SP500
2019-01-01,DWDP,SP500
2019-01-01,DXC,SP500
2019-01-01,DXCM,SP500
2019-01-01,EA,SP500
2019-01-01,EAF,SP500
2019-01-01,EBAY,SP500
2019-01-01,ECL,SP500
2019-01-01,ED,SP500
2019-01-01,EEFT,SP500
2019-01-01,EFX,SP500
2019-01-01,EHC,SP500
2019-01-01,EIX,SP500
2019-01-01,EL,SP500
2019-01-01,ELAN,SP500
2019-01-01,ELS,SP500
2019-01-01,EMN,SP500
2019-01-01,EMR,SP500
2019-01-01,ENR,SP500
2019-01-01,EOG,SP500
2019-01-01,EPAM,SP500
2019-01-01,EPR,SP500
2019-01-01,EQC,SP500
2019-01-01,EQH,SP500
2019-01-01,EQIX,SP500
2019-01-01,EQR,SP500
2019-01-01,EQT,SP500
2019-01-01,ERIE,SP500
2019-01-01,ES,SP500
2019-01-01,ESRT,SP500
2019-01-01,ESS,SP500
2019-01-01,ESTC,SP500
2019-01-01,ETFC,SP500
2019-01-01,ETN,SP500
2019-01-01,ETR,SP500
2019-01-01,ETRN,SP500
2019-01-01,EV,SP500
2019-01-01,EVR,SP500
2019-01-01,EVRG,SP500
2019-01-01,EW,SP500
2019-01-01,EWBC,SP500
2019-01-01,EXAS,SP500
2019-01-01,EXC,SP500
2019-01-01,EXEL,SP500
2019-01-01,EXP,SP500
2019-01-01,EXPD,SP500
2019-01-01,EXPE,SP500
2019-01-01,EXR,SP500
2019-01-01,F,SP500
2019-01-01,FAF,SP500
2019-01-01,FANG,SP500
2019-01-01,FAST,SP500
2019-01-01,FB,SP500
2019-01-01,FBHS,SP500
2019-01-01,FCNCA,SP500
2019-01-01,FCX,SP500
2019-01-01,FDC,SP500
2019-01-01,FDS,SP500
2019-01-01,FDX,SP500
2019-01-01,FE,SP500
2019-01-01,FEYE,SP500
2019-01-01,FFIV,SP500
2019-01-01,FHB,SP500
2019-01-01,FHN,SP500
2019-01-01,FICO,SP500
2019-01-01,FIS,SP500
2019-01-01,FISV,SP500
2019-01-01,FITB,SP500
2019-01-01,FL,SP500
2019-01-01,FLIR,SP500
2019-01-01,FLO,SP500
2019-01-01,FLR,SP500
2019-01-01,FLS,SP500
2019-01-01,FLT,SP500
2019-01-01,FMC,SP500
2019-01-01,FNB,SP500
2019-01-01,FND,SP500
2019-01-01,FNF,SP500
2019-01-01,FOX,SP500
2019-01-01,FOXA,SP500
2019-01-01,FRC,SP500
2019-01-01,FRT,SP500
2019-01-01,FSLR,SP500
2019-01-01,FTDR,SP500
2019-01-01,FTNT,SP500
2019-01-01,FTV,SP500
2019-01-01,FWONA,SP500
2019-01-01,FWONK,SP500
2019-01-01,G,SP500
2019-01-01,GD,SP500
2019-01-01,GDDY,SP500
2019-01-01,GDI,SP500
2019-01-01,GE,SP500
2019-01-01,GGG,SP500
2019-01-01,GHC,SP500
2019-01-01,GILD,SP500
2019-01-01,GIS,SP500
2019-01-01,GLIBA,SP500
2019-01-01,GLPI,SP500
2019-01-01,GLW,SP500
2019-01-01,GM,SP500
2019-01-01,GNTX,SP500
2019-01-01,GOOG,SP500
2019-01-01,GOOGL,SP500
2019-01-01,GPC,SP500
2019-01-01,GPK,SP500
2019-01-01,GPN,SP500
2019-01-01,GPS,SP500
2019-01-01,GRA,SP500
2019-01-01,GRMN,SP500
2019-01-01,GRUB,SP500
2019-01-01,GS,SP500
2019-01-01,GT,SP500
2019-01-01,GTES,SP500
2019-01-01,GTX,SP500
2019-01-01,GWR,SP500
2019-01-01,GWRE,SP500
2019-01-01,GWW,SP500
2019-01-01,H,SP500
2019-01-01,HAIN,SP500
2019-01-01,HAL,SP500
2019-01-01,HAS,SP500
2019-01-01,HBAN,SP500
2019-01-01,HBI,SP500
2019-01-01,HCA,SP500
2019-01-01,HCP,SP500
2019-01-01,HD,SP500
2019-01-01,HDS,SP500
2019-01-01,HE,SP500
2019-01-01,HEI,SP500
2019-01-01,HEI.A,SP500
2019-01-01,HES,SP500
2019-01-01,HFC,SP500
2019-01-01,HGV,SP500
2019-01-01,HHC,SP500
2019-01-01,HIG,SP500
2019-01-01,HII,SP500
2019-01-01,HIW,SP500
2019-01-01,HLF,SP500
2019-01-01,HLT,SP500
2019-01-01,HOG,SP500
2019-01-01,HOLX,SP500
2019-01-01,HON,SP500
2019-01-01,HP,SP500
2019-01-01,HPE,SP500
2019-01-01,HPP,SP500
2019-01-01,HPQ,SP500
2019-01-01,HPT,SP500
2019-01-01,HRB,SP500
2019-01-01,HRC,SP500
2019-01-01,HRL,SP500
2019-01-01,HRS,SP500
2019-01-01,HSIC,SP500
2019-01-01,HST,SP500
2019-01-01,HSY,SP500
2019-01-01,HTA,SP500
2019-01-01,HUBB,SP500
2019-01-01,HUM,SP500
2019-01-01,HUN,SP500
2019-01-01,HXL,SP500
2019-01-01,IAC,SP500
2019-01-01,IART,SP500
2019-01-01,IBKR,SP500
2019-01-01,IBM,SP500
2019-01-01,ICE,SP500
2019-01-01,ICUI,SP500
2019-01-01,IDXX,SP500
2019-01-01,IEX,SP500
2019-01-01,IFF,SP500
2019-01-01,IGT,SP500
2019-01-01,ILMN,SP500
2019-01-01,INCY,SP500
2019-01-01,INFO,SP500
2019-01-01,INGR,SP500
2019-01-01,INTC,SP500
2019-01-01,INTU,SP500
2019-01-01,INVH,SP500
2019-01-01,IONS,SP500
2019-01-01,IP,SP500
2019-01-01,IPG,SP500
2019-01-01,IPGP,SP500
2019-01-01,IQV,SP500
2019-01-01,IR,SP500
2019-01-01,IRM,SP500
2019-01-01,ISRG,SP500
2019-01-01,IT,SP500
2019-01-01,ITT,SP500
2019-01-01,ITW,SP500
2019-01-01,IVZ,SP500
2019-01-01,JAZZ,SP500
2019-01-01,JBGS,SP500
2019-01-01,JBHT,SP500
2019-01-01,JBL,SP500
2019-01-01,JBLU,SP500
2019-01-01,JCI,SP500
2019-01-01,JEC,SP500
2019-01-01,JEF,SP500
2019-01-01,JKHY,SP500
2019-01-01,JLL,SP500
2019-01-01,JNJ,SP500
2019-01-01,JNPR,SP500
2019-01-01,JPM,SP500
2019-01-01,JWA,SP500
2019-01-01,JWN,SP500
2019-01-01,K,SP500
2019-01-01,KAR,SP500
2019-01-01,KBSF,SP500
2019-01-01,KDP,SP500
2019-01-01,KEX,SP500
2019-01-01,KEY,SP500
2019-01-01,KEYS,SP500
2019-01-01,KHC,SP500
2019-01-01,KIM,SP500
2019-01-01,KLAC,SP500
2019-01-01,KMB,SP500
2019-01-01,KMI,SP500
2019-01-01,KMX,SP500
2019-01-01,KNX,SP500
2019-01-01,KO,SP500
2019-01-01,KORS,SP500
2019-01-01,KOS,SP500
2019-01-01,KR,SP500
2019-01-01,KRC,SP500
2019-01-01,KSS,SP500
2019-01-01,KSU,SP500
2019-01-01,L,SP500
2019-01-01,LAMR,SP500
2019-01-01,LAZ,SP500
2019-01-01,LB,SP500
2019-01-01,LBRDA,SP500
2019-01-01,LBRDK,SP500
2019-01-01,LDOS,SP500
2019-01-01,LEA,SP500
2019-01-01,LECO,SP500
2019-01-01,LEG,SP500
2019-01-01,LEN,SP500
2019-01-01,LEN.B,SP500
2019-01-01,LFUS,SP500
2019-01-01,LH,SP500
2019-01-01,LII,SP500
2019-01-01,LIN,SP500
2019-01-01,LKQ,SP500
2019-01-01,LLY,SP500
2019-01-01,LM,SP500
2019-01-01,LMT,SP500
2019-01-01,LNC,SP500
2019-01-01,LNG,SP500
2019-01-01,LNT,SP500
2019-01-01,LOGM,SP500
2019-01-01,LOPE,SP500
2019-01-01,LOW,SP500
2019-01-01,LPLA,SP500
2019-01-01,LPT,SP500
2019-01-01,LRCX,SP500
2019-01-01,LSI,SP500
2019-01-01,LSTR,SP500
2019-01-01,LSXMA,SP500
2019-01-01,LSXMK,SP500
2019-01-01,LULU,SP500
2019-01-01,LUV,SP500
2019-01-01,LVS,SP500
2019-01-01,LW,SP500
2019-01-01,LYB,SP500
2019-01-01,LYV,SP500
2019-01-01,M,SP500
2019-01-01,MA,SP500
2019-01-01,MAA,SP500
2019-01-01,MAC,SP500
2019-01-01,MAN,SP500
2019-01-01,MANH,SP500
2019-01-01,MAR,SP500
2019-01-01,MAS,SP500
2019-01-01,MASI,SP500
2019-01-01,MAT,SP500
2019-01-01,MCD,SP500
2019-01-01,MCHP,SP500
2019-01-01,MCK,SP500
2019-01-01,MCO,SP500
2019-01-01,MCY,SP500
2019-01-01,MD,SP500
2019-01-01,MDLZ,SP500
2019-01-01,MDT,SP500
2019-01-01,MDU,SP500
2019-01-01,MET,SP500
2019-01-01,MFA,SP500
2019-01-01,MGM,SP500
2019-01-01,MHK,SP500
2019-01-01,MIC,SP500
2019-01-01,MIDD,SP500
2019-01-01,MIK,SP500
2019-01-01,MKC,SP500
2019-01-01,MKL,SP500
2019-01-01,MKSI,SP500
2019-01-01,MKTX,SP500
2019-01-01,MLM,SP500
2019-01-01,MMC,SP500
2019-01-01,MMM,SP500
2019-01-01,MNST,SP500
2019-01-01,MO,SP500
2019-01-01,MOH,SP500
2019-01-01,MORN,SP500
2019-01-01,MOS,SP500
2019-01-01,MPC,SP500
2019-01-01,MPW,SP500
2019-01-01,MPWR,SP500
2019-01-01,MRK,SP500
2019-01-01,MRO,SP500
2019-01-01,MRVL,SP500
2019-01-01,MS,SP500
2019-01-01,MSCI,SP500
2019-01-01,MSFT,SP500
2019-01-01,MSG,SP500
2019-01-01,MSI,SP500
2019-01-01,MSM,SP500
2019-01-01,MTB,SP500
2019-01-01,MTCH,SP500
2019-01-01,MTD,SP500
2019-01-01,MTN,SP500
2019-01-01,MU,SP500
2019-01-01,MUR,SP500
2019-01-01,MXIM,SP500
2019-01-01,MYL,SP500
2019-01-01,NATI,SP500
2019-01-01,NAVI,SP500
2019-01-01,NBIX,SP500
2019-01-01,NBL,SP500
2019-01-01,NBR,SP500
2019-01-01,NCLH,SP500
2019-01-01,NCR,SP500
2019-01-01,NDAQ,SP500
2019-01-01,NDSN,SP500
2019-01-01,NEE,SP500
2019-01-01,NEM,SP500
2019-01-01,NEU,SP500
2019-01-01,NFG,SP500
2019-01-01,NFLX,SP500
2019-01-01,NFX,SP500
2019-01-01,NI,SP500
2019-01-01,NKE,SP500
2019-01-01,NKTR,SP500
2019-01-01,NLSN,SP500
2019-01-01,NLY,SP500
2019-01-01,NNN,SP500
2019-01-01,NOC,SP500
2019-01-01,NOV,SP500
2019-01-01,NOW,SP500
2019-01-01,NRG,SP500
2019-01-01,NRZ,SP500
2019-01-01,NSC,SP500
2019-01-01,NTAP,SP500
