date,ticker,index_member
2019-01-01,AAC,SP500
2019-01-01,AAOI,SP500
2019-01-01,AAON,SP500
2019-01-01,AAT,SP500
2019-01-01,AAWW,SP500
2019-01-01,AAXN,SP500
2019-01-01,ABCB,SP500
2019-01-01,ABEO,SP500
2019-01-01,ABG,SP500
2019-01-01,ABM,SP500
2019-01-01,ABR,SP500
2019-01-01,ABTX,SP500
2019-01-01,ABUS,SP500
2019-01-01,AC,SP500
2019-01-01,ACAD,SP500
2019-01-01,ACBI,SP500
2019-01-01,ACCO,SP500
2019-01-01,ACHN,SP500
2019-01-01,ACIA,SP500
2019-01-01,ACIW,SP500
2019-01-01,ACLS,SP500
2019-01-01,ACMR,SP500
2019-01-01,ACNB,SP500
2019-01-01,ACOR,SP500
2019-01-01,ACRE,SP500
2019-01-01,ACRS,SP500
2019-01-01,ACTG,SP500
2019-01-01,ADC,SP500
2019-01-01,ADES,SP500
2019-01-01,ADMA,SP500
2019-01-01,ADMS,SP500
2019-01-01,ADRO,SP500
2019-01-01,ADSW,SP500
2019-01-01,ADTN,SP500
2019-01-01,ADUS,SP500
2019-01-01,ADVM,SP500
2019-01-01,AE,SP500
2019-01-01,AEGN,SP500
2019-01-01,AEIS,SP500
2019-01-01,AEL,SP500
2019-01-01,AEO,SP500
2019-01-01,AERI,SP500
2019-01-01,AFI,SP500
2019-01-01,AGE,SP500
2019-01-01,AGEN,SP500
2019-01-01,AGFS,SP500
2019-01-01,AGLE,SP500
2019-01-01,AGM,SP500
2019-01-01,AGRI,SP500
2019-01-01,AGS,SP500
2019-01-01,AGX,SP500
2019-01-01,AGYS,SP500
2019-01-01,AHH,SP500
2019-01-01,AHT,SP500
2019-01-01,AI,SP500
2019-01-01,AIMC,SP500
2019-01-01,AIMT,SP500
2019-01-01,AIN,SP500
2019-01-01,AINC,SP500
2019-01-01,AIR,SP500
2019-01-01,AIT,SP500
2019-01-01,AJRD,SP500
2019-01-01,AJX,SP500
2019-01-01,AKAO,SP500
2019-01-01,AKBA,SP500
2019-01-01,AKCA,SP500
2019-01-01,AKR,SP500
2019-01-01,AKRX,SP500
2019-01-01,AKS,SP500
2019-01-01,ALBO,SP500
2019-01-01,ALCO,SP500
2019-01-01,ALDR,SP500
2019-01-01,ALDX,SP500
2019-01-01,ALE,SP500
2019-01-01,ALEX,SP500
2019-01-01,ALG,SP500
2019-01-01,ALGT,SP500
2019-01-01,ALLK,SP500
2019-01-01,ALLO,SP500
2019-01-01,ALNA,SP500
2019-01-01,ALRM,SP500
2019-01-01,ALTR,SP500
2019-01-01,ALX,SP500
2019-01-01,AMAG,SP500
2019-01-01,AMAL,SP500
2019-01-01,AMBA,SP500
2019-01-01,AMBC,SP500
2019-01-01,AMBR,SP500
2019-01-01,AMC,SP500
2019-01-01,AMED,SP500
2019-01-01,AMEH,SP500
2019-01-01,AMKR,SP500
2019-01-01,AMN,SP500
2019-01-01,AMNB,SP500
2019-01-01,AMOT,SP500
2019-01-01,AMPE,SP500
2019-01-01,AMPH,SP500
2019-01-01,AMR,SP500
2019-01-01,AMRC,SP500
2019-01-01,AMRS,SP500
2019-01-01,AMRX,SP500
2019-01-01,AMSF,SP500
2019-01-01,AMSWA,SP500
2019-01-01,AMWD,SP500
2019-01-01,ANAB,SP500
2019-01-01,ANCX,SP500
2019-01-01,ANDE,SP500
2019-01-01,ANF,SP500
2019-01-01,ANGO,SP500
2019-01-01,ANH,SP500
2019-01-01,ANIK,SP500
2019-01-01,ANIP,SP500
2019-01-01,AOBC,SP500
2019-01-01,AOSL,SP500
2019-01-01,APAM,SP500
2019-01-01,APEI,SP500
2019-01-01,APLS,SP500
2019-01-01,APOG,SP500
2019-01-01,APPF,SP500
2019-01-01,APTI,SP500
2019-01-01,APTS,SP500
2019-01-01,APTX,SP500
2019-01-01,AQ,SP500
2019-01-01,AQST,SP500
2019-01-01,AQUA,SP500
2019-01-01,ARA,SP500
2019-01-01,ARAY,SP500
2019-01-01,ARCB,SP500
2019-01-01,ARCH,SP500
2019-01-01,ARDX,SP500
2019-01-01,AREX,SP500
2019-01-01,ARGO,SP500
2019-01-01,ARI,SP500
2019-01-01,ARL,SP500
2019-01-01,ARLO,SP500
2019-01-01,ARNA,SP500
2019-01-01,AROC,SP500
2019-01-01,AROW,SP500
2019-01-01,ARQL,SP500
2019-01-01,ARR,SP500
2019-01-01,ARRY,SP500
2019-01-01,ARTNA,SP500
2019-01-01,ARVN,SP500
2019-01-01,ARWR,SP500
2019-01-01,ASC,SP500
2019-01-01,ASGN,SP500
2019-01-01,ASIX,SP500
2019-01-01,ASMB,SP500
2019-01-01,ASNA,SP500
2019-01-01,ASNS,SP500
2019-01-01,ASPS,SP500
2019-01-01,ASRT,SP500
2019-01-01,ASTE,SP500
2019-01-01,ASUR,SP500
2019-01-01,AT,SP500
2019-01-01,ATEN,SP500
2019-01-01,ATGE,SP500
2019-01-01,ATHX,SP500
2019-01-01,ATI,SP500
2019-01-01,ATKR,SP500
2019-01-01,ATLO,SP500
2019-01-01,ATNI,SP500
2019-01-01,ATNX,SP500
2019-01-01,ATRA,SP500
2019-01-01,ATRC,SP500
2019-01-01,ATRI,SP500
2019-01-01,ATRO,SP500
2019-01-01,ATRS,SP500
2019-01-01,ATSG,SP500
2019-01-01,ATU,SP500
2019-01-01,AUBN,SP500
2019-01-01,AVA,SP500
2019-01-01,AVAV,SP500
2019-01-01,AVD,SP500
2019-01-01,AVEO,SP500
2019-01-01,AVID,SP500
2019-01-01,AVLR,SP500
2019-01-01,AVNS,SP500
2019-01-01,AVRO,SP500
2019-01-01,AVYA,SP500
2019-01-01,AWR,SP500
2019-01-01,AX,SP500
2019-01-01,AXAS,SP500
2019-01-01,AXDX,SP500
2019-01-01,AXE,SP500
2019-01-01,AXGN,SP500
2019-01-01,AXL,SP500
2019-01-01,AXNX,SP500
2019-01-01,AXTI,SP500
2019-01-01,AYR,SP500
2019-01-01,AYX,SP500
2019-01-01,AZZ,SP500
2019-01-01,B,SP500
2019-01-01,BABY,SP500
2019-01-01,BANC,SP500
2019-01-01,BANF,SP500
2019-01-01,BANR,SP500
2019-01-01,BAS,SP500
2019-01-01,BATRA,SP500
2019-01-01,BATRK,SP500
2019-01-01,BBBY,SP500
2019-01-01,BBGI,SP500
2019-01-01,BBSI,SP500
2019-01-01,BBT,SP500
2019-01-01,BBX,SP500
2019-01-01,BCBP,SP500
2019-01-01,BCC,SP500
2019-01-01,BCEI,SP500
2019-01-01,BCML,SP500
2019-01-01,BCO,SP500
2019-01-01,BCOR,SP500
2019-01-01,BCOV,SP500
2019-01-01,BCPC,SP500
2019-01-01,BCRX,SP500
2019-01-01,BDC,SP500
2019-01-01,BDGE,SP500
2019-01-01,BEAT,SP500
2019-01-01,BECN,SP500
2019-01-01,BEL,SP500
2019-01-01,BELFB,SP500
2019-01-01,BFIN,SP500
2019-01-01,BFS,SP500
2019-01-01,BFST,SP500
2019-01-01,BGFV,SP500
