date,ticker,index_member
2019-01-01,AAL,SP500
2019-01-01,AAPL,SP500
2019-01-01,ADBE,SP500
2019-01-01,ADI,SP500
2019-01-01,ADP,SP500
2019-01-01,ADSK,SP500
2019-01-01,ALGN,SP500
2019-01-01,ALXN,SP500
2019-01-01,AMAT,SP500
2019-01-01,AMD,SP500
2019-01-01,AMGN,SP500
2019-01-01,AMZN,SP500
2019-01-01,ASML,SP500
2019-01-01,ATVI,SP500
2019-01-01,AVGO,SP500
2019-01-01,BIDU,SP500
2019-01-01,BIIB,SP500
2019-01-01,BKNG,SP500
2019-01-01,BMRN,SP500
2019-01-01,CDNS,SP500
2019-01-01,CELG,SP500
2019-01-01,CERN,SP500
2019-01-01,CHKP,SP500
2019-01-01,CHTR,SP500
2019-01-01,CMCSA,SP500
2019-01-01,COST,SP500
2019-01-01,CSCO,SP500
2019-01-01,CSX,SP500
2019-01-01,CTAS,SP500
2019-01-01,CTRP,SP500
2019-01-01,CTSH,SP500
2019-01-01,CTXS,SP500
2019-01-01,DLTR,SP500
2019-01-01,EA,SP500
2019-01-01,EBAY,SP500
2019-01-01,EXPE,SP500
2019-01-01,FAST,SP500
2019-01-01,FB,SP500
2019-01-01,FISV,SP500
2019-01-01,FOX,SP500
2019-01-01,FOXA,SP500
2019-01-01,GILD,SP500
2019-01-01,GOOG,SP500
2019-01-01,GOOGL,SP500
2019-01-01,HAS,SP500
2019-01-01,HSIC,SP500
2019-01-01,IDXX,SP500
2019-01-01,ILMN,SP500
2019-01-01,INCY,SP500
2019-01-01,INTC,SP500
2019-01-01,INTU,SP500
2019-01-01,ISRG,SP500
2019-01-01,JBHT,SP500
2019-01-01,JD,SP500
2019-01-01,KHC,SP500
2019-01-01,KLAC,SP500
2019-01-01,LBTYA,SP500
2019-01-01,LBTYK,SP500
2019-01-01,LRCX,SP500
2019-01-01,LULU,SP500
2019-01-01,MAR,SP500
2019-01-01,MCHP,SP500
2019-01-01,MDLZ,SP500
2019-01-01,MELI,SP500
2019-01-01,MNST,SP500
2019-01-01,MSFT,SP500
2019-01-01,MU,SP500
2019-01-01,MXIM,SP500
2019-01-01,MYL,SP500
2019-01-01,NFLX,SP500
2019-01-01,NTAP,SP500
2019-01-01,NTES,SP500
2019-01-01,NVDA,SP500
2019-01-01,NXPI,SP500
2019-01-01,ORLY,SP500
2019-01-01,PAYX,SP500
2019-01-01,PCAR,SP500
2019-01-01,PEP,SP500
2019-01-01,PYPL,SP500
2019-01-01,QCOM,SP500
2019-01-01,REGN,SP500
2019-01-01,ROST,SP500
2019-01-01,SBUX,SP500
2019-01-01,SIRI,SP500
2019-01-01,SNPS,SP500
2019-01-01,SWKS,SP500
2019-01-01,SYMC,SP500
2019-01-01,TMUS,SP500
2019-01-01,TSLA,SP500
2019-01-01,TTWO,SP500
2019-01-01,TXN,SP500
2019-01-01,UAL,SP500
2019-01-01,ULTA,SP500
2019-01-01,VRSK,SP500
2019-01-01,VRSN,SP500
2019-01-01,VRTX,SP500
2019-01-01,WBA,SP500
2019-01-01,WDAY,SP500
2019-01-01,WDC,SP500
2019-01-01,WLTW,SP500
2019-01-01,WYNN,SP500
2019-01-01,XEL,SP500
2019-01-01,XLNX,SP500
2019-02-01,AAL,SP500
2019-02-01,AAPL,SP500
2019-02-01,ADBE,SP500
2019-02-01,ADI,SP500
2019-02-01,ADP,SP500
2019-02-01,ADSK,SP500
2019-02-01,ALGN,SP500
2019-02-01,ALXN,SP500
2019-02-01,AMAT,SP500
2019-02-01,AMD,SP500
2019-02-01,AMGN,SP500
2019-02-01,AMZN,SP500
2019-02-01,ASML,SP500
2019-02-01,ATVI,SP500
2019-02-01,AVGO,SP500
2019-02-01,BIDU,SP500
2019-02-01,BIIB,SP500
2019-02-01,BKNG,SP500
2019-02-01,BMRN,SP500
2019-02-01,CDNS,SP500
2019-02-01,CELG,SP500
2019-02-01,CERN,SP500
2019-02-01,CHKP,SP500
2019-02-01,CHTR,SP500
2019-02-01,CMCSA,SP500
2019-02-01,COST,SP500
2019-02-01,CSCO,SP500
2019-02-01,CSX,SP500
2019-02-01,CTAS,SP500
2019-02-01,CTRP,SP500
2019-02-01,CTSH,SP500
2019-02-01,CTXS,SP500
2019-02-01,DLTR,SP500
2019-02-01,EA,SP500
2019-02-01,EBAY,SP500
2019-02-01,EXPE,SP500
2019-02-01,FAST,SP500
2019-02-01,FB,SP500
2019-02-01,FISV,SP500
2019-02-01,FOX,SP500
2019-02-01,FOXA,SP500
2019-02-01,GILD,SP500
2019-02-01,GOOG,SP500
2019-02-01,GOOGL,SP500
2019-02-01,HAS,SP500
2019-02-01,HSIC,SP500
2019-02-01,IDXX,SP500
2019-02-01,ILMN,SP500
2019-02-01,INCY,SP500
2019-02-01,INTC,SP500
2019-02-01,INTU,SP500
2019-02-01,ISRG,SP500
2019-02-01,JBHT,SP500
2019-02-01,JD,SP500
2019-02-01,KHC,SP500
2019-02-01,KLAC,SP500
2019-02-01,LBTYA,SP500
2019-02-01,LBTYK,SP500
2019-02-01,LRCX,SP500
2019-02-01,LULU,SP500
2019-02-01,MAR,SP500
2019-02-01,MCHP,SP500
2019-02-01,MDLZ,SP500
2019-02-01,MELI,SP500
2019-02-01,MNST,SP500
2019-02-01,MSFT,SP500
2019-02-01,MU,SP500
2019-02-01,MXIM,SP500
2019-02-01,MYL,SP500
2019-02-01,NFLX,SP500
2019-02-01,NTAP,SP500
2019-02-01,NTES,SP500
2019-02-01,NVDA,SP500
2019-02-01,NXPI,SP500
2019-02-01,ORLY,SP500
2019-02-01,PAYX,SP500
2019-02-01,PCAR,SP500
2019-02-01,PEP,SP500
2019-02-01,PYPL,SP500
2019-02-01,QCOM,SP500
2019-02-01,REGN,SP500
2019-02-01,ROST,SP500
2019-02-01,SBUX,SP500
2019-02-01,SIRI,SP500
2019-02-01,SNPS,SP500
2019-02-01,SWKS,SP500
2019-02-01,SYMC,SP500
2019-02-01,TMUS,SP500
2019-02-01,TSLA,SP500
2019-02-01,TTWO,SP500
2019-02-01,TXN,SP500
2019-02-01,UAL,SP500
2019-02-01,ULTA,SP500
2019-02-01,VRSK,SP500
2019-02-01,VRSN,SP500
2019-02-01,VRTX,SP500
2019-02-01,WBA,SP500
2019-02-01,WDAY,SP500
2019-02-01,WDC,SP500
2019-02-01,WLTW,SP500
2019-02-01,WYNN,SP500
2019-02-01,XEL,SP500
2019-02-01,XLNX,SP500
2019-03-01,AAL,SP500
2019-03-01,AAPL,SP500
2019-03-01,ADBE,SP500
2019-03-01,ADI,SP500
2019-03-01,ADP,SP500
2019-03-01,ADSK,SP500
2019-03-01,ALGN,SP500
2019-03-01,ALXN,SP500
2019-03-01,AMAT,SP500
2019-03-01,AMD,SP500
2019-03-01,AMGN,SP500
2019-03-01,AMZN,SP500
2019-03-01,ASML,SP500
2019-03-01,ATVI,SP500
2019-03-01,AVGO,SP500
2019-03-01,BIDU,SP500
2019-03-01,BIIB,SP500
2019-03-01,BKNG,SP500
2019-03-01,BMRN,SP500
2019-03-01,CDNS,SP500
2019-03-01,CELG,SP500
2019-03-01,CERN,SP500
2019-03-01,CHKP,SP500
2019-03-01,CHTR,SP500
2019-03-01,CMCSA,SP500
2019-03-01,COST,SP500
2019-03-01,CSCO,SP500
2019-03-01,CSX,SP500
2019-03-01,CTAS,SP500
2019-03-01,CTRP,SP500
2019-03-01,CTSH,SP500
2019-03-01,CTXS,SP500
2019-03-01,DLTR,SP500
2019-03-01,EA,SP500
2019-03-01,EBAY,SP500
2019-03-01,EXPE,SP500
2019-03-01,FAST,SP500
2019-03-01,FB,SP500
2019-03-01,FISV,SP500
2019-03-01,FOX,SP500
2019-03-01,FOXA,SP500
2019-03-01,GILD,SP500
2019-03-01,GOOG,SP500
2019-03-01,GOOGL,SP500
2019-03-01,HAS,SP500
2019-03-01,HSIC,SP500
2019-03-01,IDXX,SP500
2019-03-01,ILMN,SP500
2019-03-01,INCY,SP500
2019-03-01,INTC,SP500
2019-03-01,INTU,SP500
2019-03-01,ISRG,SP500
2019-03-01,JBHT,SP500
2019-03-01,JD,SP500
2019-03-01,KHC,SP500
2019-03-01,KLAC,SP500
2019-03-01,LBTYA,SP500
2019-03-01,LBTYK,SP500
2019-03-01,LRCX,SP500
2019-03-01,LULU,SP500
2019-03-01,MAR,SP500
2019-03-01,MCHP,SP500
2019-03-01,MDLZ,SP500
2019-03-01,MELI,SP500
2019-03-01,MNST,SP500
2019-03-01,MSFT,SP500
2019-03-01,MU,SP500
2019-03-01,MXIM,SP500
2019-03-01,MYL,SP500
2019-03-01,NFLX,SP500
2019-03-01,NTAP,SP500
2019-03-01,NTES,SP500
2019-03-01,NVDA,SP500
2019-03-01,NXPI,SP500
2019-03-01,ORLY,SP500
2019-03-01,PAYX,SP500
2019-03-01,PCAR,SP500
2019-03-01,PEP,SP500
2019-03-01,PYPL,SP500
2019-03-01,QCOM,SP500
2019-03-01,REGN,SP500
2019-03-01,ROST,SP500
2019-03-01,SBUX,SP500
2019-03-01,SIRI,SP500
2019-03-01,SNPS,SP500
2019-03-01,SWKS,SP500
2019-03-01,SYMC,SP500
2019-03-01,TMUS,SP500
2019-03-01,TSLA,SP500
2019-03-01,TTWO,SP500
2019-03-01,TXN,SP500
2019-03-01,UAL,SP500
2019-03-01,ULTA,SP500
2019-03-01,VRSK,SP500
2019-03-01,VRSN,SP500
2019-03-01,VRTX,SP500
2019-03-01,WBA,SP500
2019-03-01,WDAY,SP500
2019-03-01,WDC,SP500
2019-03-01,WLTW,SP500
2019-03-01,WYNN,SP500
2019-03-01,XEL,SP500
2019-03-01,XLNX,SP500
2019-04-02,AAL,SP500
2019-04-02,AAPL,SP500
2019-04-02,ADBE,SP500
2019-04-02,ADI,SP500
2019-04-02,ADP,SP500
2019-04-02,ADSK,SP500
2019-04-02,ALGN,SP500
2019-04-02,ALXN,SP500
2019-04-02,AMAT,SP500
2019-04-02,AMD,SP500
2019-04-02,AMGN,SP500
2019-04-02,AMZN,SP500
2019-04-02,ASML,SP500
2019-04-02,ATVI,SP500
2019-04-02,AVGO,SP500
2019-04-02,BIDU,SP500
2019-04-02,BIIB,SP500
2019-04-02,BKNG,SP500
2019-04-02,BMRN,SP500
2019-04-02,CDNS,SP500
2019-04-02,CELG,SP500
2019-04-02,CERN,SP500
2019-04-02,CHKP,SP500
2019-04-02,CHTR,SP500
2019-04-02,CMCSA,SP500
2019-04-02,COST,SP500
2019-04-02,CSCO,SP500
2019-04-02,CSX,SP500
2019-04-02,CTAS,SP500
2019-04-02,CTRP,SP500
2019-04-02,CTSH,SP500
2019-04-02,CTXS,SP500
2019-04-02,DIS,SP500
2019-04-02,DLTR,SP500
2019-04-02,EA,SP500
2019-04-02,EBAY,SP500
2019-04-02,EXPE,SP500
2019-04-02,FAST,SP500
2019-04-02,FB,SP500
2019-04-02,FISV,SP500
2019-04-02,FOX,SP500
2019-04-02,FOXA,SP500
2019-04-02,GILD,SP500
2019-04-02,GOOG,SP500
2019-04-02,GOOGL,SP500
2019-04-02,HAS,SP500
2019-04-02,HSIC,SP500
2019-04-02,IDXX,SP500
2019-04-02,ILMN,SP500
2019-04-02,INCY,SP500
2019-04-02,INTC,SP500
2019-04-02,INTU,SP500
2019-04-02,ISRG,SP500
2019-04-02,JBHT,SP500
2019-04-02,JD,SP500
2019-04-02,KHC,SP500
2019-04-02,KLAC,SP500
2019-04-02,LBTYA,SP500
2019-04-02,LBTYK,SP500
2019-04-02,LRCX,SP500
2019-04-02,LULU,SP500
2019-04-02,MAR,SP500
2019-04-02,MCHP,SP500
2019-04-02,MDLZ,SP500
2019-04-02,MELI,SP500
2019-04-02,MNST,SP500
2019-04-02,MSFT,SP500
2019-04-02,MU,SP500
2019-04-02,MXIM,SP500
2019-04-02,MYL,SP500
2019-04-02,NFLX,SP500
2019-04-02,NTAP,SP500
2019-04-02,NTES,SP500
2019-04-02,NVDA,SP500
2019-04-02,NXPI,SP500
2019-04-02,ORLY,SP500
2019-04-02,PAYX,SP500
2019-04-02,PCAR,SP500
2019-04-02,PEP,SP500
2019-04-02,PYPL,SP500
2019-04-02,QCOM,SP500
2019-04-02,REGN,SP500
2019-04-02,ROST,SP500
2019-04-02,SBUX,SP500
2019-04-02,SIRI,SP500
2019-04-02,SNPS,SP500
2019-04-02,SWKS,SP500
2019-04-02,SYMC,SP500
2019-04-02,TMUS,SP500
2019-04-02,TSLA,SP500
2019-04-02,TTWO,SP500
