date,ticker,index_member
2019-01-01,A,SP500
2019-01-01,AAL,SP500
2019-01-01,AAP,SP500
2019-01-01,AAPL,SP500
2019-01-01,ABBV,SP500
2019-01-01,ABC,SP500
2019-01-01,ABMD,SP500
2019-01-01,ABT,SP500
2019-01-01,ACN,SP500
2019-01-01,ADBE,SP500
2019-01-01,ADI,SP500
2019-01-01,ADM,SP500
2019-01-01,ADP,SP500
2019-01-01,ADS,SP500
2019-01-01,ADSK,SP500
2019-01-01,AEE,SP500
2019-01-01,AEP,SP500
2019-01-01,AES,SP500
2019-01-01,AFL,SP500
2019-01-01,AGN,SP500
2019-01-01,AIG,SP500
2019-01-01,AIV,SP500
2019-01-01,AIZ,SP500
2019-01-01,AJG,SP500
2019-01-01,AKAM,SP500
2019-01-01,ALB,SP500
2019-01-01,ALGN,SP500
2019-01-01,ALK,SP500
2019-01-01,ALL,SP500
2019-01-01,ALLE,SP500
2019-01-01,ALXN,SP500
2019-01-01,AMAT,SP500
2019-01-01,AMD,SP500
2019-01-01,AME,SP500
2019-01-01,AMG,SP500
2019-01-01,AMGN,SP500
2019-01-01,AMP,SP500
2019-01-01,AMT,SP500
2019-01-01,AMZN,SP500
2019-01-01,ANET,SP500
2019-01-01,ANSS,SP500
2019-01-01,ANTM,SP500
2019-01-01,AON,SP500
2019-01-01,AOS,SP500
2019-01-01,APA,SP500
2019-01-01,APC,SP500
2019-01-01,APD,SP500
2019-01-01,APH,SP500
2019-01-01,APTV,SP500
2019-01-01,ARE,SP500
2019-01-01,ARNC,SP500
2019-01-01,ATVI,SP500
2019-01-01,AVB,SP500
2019-01-01,AVGO,SP500
2019-01-01,AVY,SP500
2019-01-01,AWK,SP500
2019-01-01,AXP,SP500
2019-01-01,AZO,SP500
2019-01-01,BA,SP500
2019-01-01,BAC,SP500
2019-01-01,BAX,SP500
2019-01-01,BBT,SP500
2019-01-01,BBY,SP500
2019-01-01,BDX,SP500
2019-01-01,BEN,SP500
2019-01-01,BF.B,SP500
2019-01-01,BHF,SP500
2019-01-01,BHGE,SP500
2019-01-01,BIIB,SP500
2019-01-01,BK,SP500
2019-01-01,BKNG,SP500
2019-01-01,BLK,SP500
2019-01-01,BLL,SP500
2019-01-01,BMY,SP500
2019-01-01,BR,SP500
2019-01-01,BSX,SP500
2019-01-01,BWA,SP500
2019-01-01,BXP,SP500
2019-01-01,C,SP500
2019-01-01,CAG,SP500
2019-01-01,CAH,SP500
2019-01-01,CAT,SP500
2019-01-01,CB,SP500
2019-01-01,CBOE,SP500
2019-01-01,CBRE,SP500
2019-01-01,CBS,SP500
2019-01-01,CCI,SP500
2019-01-01,CDNS,SP500
2019-01-01,CE,SP500
2019-01-01,CELG,SP500
2019-01-01,CERN,SP500
2019-01-01,CF,SP500
2019-01-01,CFG,SP500
2019-01-01,CHD,SP500
2019-01-01,CHRW,SP500
2019-01-01,CHTR,SP500
2019-01-01,CI,SP500
2019-01-01,CINF,SP500
2019-01-01,CL,SP500
2019-01-01,CLX,SP500
2019-01-01,CMA,SP500
2019-01-01,CMCSA,SP500
2019-01-01,CME,SP500
2019-01-01,CMG,SP500
2019-01-01,CMI,SP500
2019-01-01,CMS,SP500
2019-01-01,CNC,SP500
2019-01-01,CNP,SP500
2019-01-01,COF,SP500
2019-01-01,COG,SP500
2019-01-01,COO,SP500
2019-01-01,COP,SP500
2019-01-01,COST,SP500
2019-01-01,COTY,SP500
2019-01-01,CPB,SP500
2019-01-01,CPRT,SP500
2019-01-01,CRM,SP500
2019-01-01,CSCO,SP500
2019-01-01,CSX,SP500
2019-01-01,CTAS,SP500
2019-01-01,CTL,SP500
2019-01-01,CTSH,SP500
2019-01-01,CTXS,SP500
2019-01-01,CVS,SP500
2019-01-01,CVX,SP500
2019-01-01,CXO,SP500
2019-01-01,D,SP500
2019-01-01,DAL,SP500
2019-01-01,DE,SP500
2019-01-01,DFS,SP500
2019-01-01,DG,SP500
2019-01-01,DGX,SP500
2019-01-01,DHI,SP500
2019-01-01,DHR,SP500
2019-01-01,DIS,SP500
2019-01-01,DISCA,SP500
2019-01-01,DISCK,SP500
2019-01-01,DISH,SP500
2019-01-01,DLR,SP500
2019-01-01,DLTR,SP500
2019-01-01,DOV,SP500
2019-01-01,DRE,SP500
2019-01-01,DRI,SP500
2019-01-01,DTE,SP500
2019-01-01,DUK,SP500
2019-01-01,DVA,SP500
2019-01-01,DVN,SP500
2019-01-01,DWDP,SP500
2019-01-01,DXC,SP500
2019-01-01,EA,SP500
2019-01-01,EBAY,SP500
2019-01-01,ECL,SP500
2019-01-01,ED,SP500
2019-01-01,EFX,SP500
2019-01-01,EIX,SP500
2019-01-01,EL,SP500
2019-01-01,EMN,SP500
2019-01-01,EMR,SP500
2019-01-01,EOG,SP500
