Ticker,Entry,Exit,Days,Shares,P&L,R-Multiple,Return %,Exit Phases,Outcome
A,2006-02-10,2006-02-13,3,71,$-100.82,-1.35R,-3.96%,STOP,BIG_LOSS
A,2006-02-13,2006-03-27,42,62,$150.95,+2.01R,+7.07%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
A,2006-09-11,2006-09-14,3,156,$24.96,+0.17R,+0.51%,"STOP_BE,TP1",SMALL_WIN
A,2006-10-17,2006-11-02,16,137,$-149.87,-1.00R,-3.18%,STOP,BIG_LOSS
A,2007-11-16,2007-12-11,25,32,$15.51,+0.42R,+1.32%,"STOP_BE,TP1",SMALL_WIN
A,2008-06-20,2008-06-24,4,43,$-40.42,-1.09R,-2.50%,STOP,BIG_LOSS
A,2009-04-16,2009-04-20,4,49,$-5.44,-0.15R,-0.66%,"STOP_BE,TP1",SMALL_LOSS
A,2009-08-27,2009-08-31,4,55,$7.83,+0.21R,+0.56%,"STOP_BE,TP1",SMALL_WIN
A,2009-09-01,2009-09-02,1,56,$-37.48,-1.00R,-2.59%,STOP,BIG_LOSS
A,2010-01-14,2010-01-15,1,212,$-152.64,-1.36R,-2.31%,STOP,BIG_LOSS
A,2010-11-12,2010-11-16,4,45,$-59.40,-1.60R,-3.63%,STOP,BIG_LOSS
A,2011-04-14,2011-04-18,4,38,$-36.83,-1.00R,-2.08%,STOP,BIG_LOSS
A,2011-04-18,2011-05-23,35,33,$133.55,+3.66R,+8.69%,"PHASE3_SMA20_BREAK,TP1,TP2",BIG_WIN
A,2011-11-16,2011-11-18,2,21,$-37.17,-1.02R,-4.59%,STOP,BIG_LOSS
AAPL,2006-11-27,2006-12-12,15,1320,$-158.40,-1.06R,-3.75%,STOP,BIG_LOSS
AAPL,2007-03-01,2007-04-11,41,448,$91.81,+2.45R,+6.59%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
AAPL,2007-04-26,2007-06-26,61,573,$221.43,+2.96R,+10.95%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
AAPL,2007-07-24,2007-07-31,7,269,$62.30,+1.66R,+4.81%,"RUNNER_STOP,TP1,TP2",WIN
AAPL,2007-09-05,2007-09-07,2,173,$-37.32,-1.00R,-4.42%,STOP,BIG_LOSS
AAPL,2008-04-23,2008-05-19,26,188,$94.47,+2.52R,+8.63%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
AAPL,2009-04-22,2009-05-12,20,270,$61.75,+1.65R,+5.27%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
AAPL,2009-09-09,2009-10-28,49,314,$117.37,+3.13R,+6.12%,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",BIG_WIN
AAPL,2010-09-01,2010-10-29,58,190,$129.73,+3.48R,+7.64%,"PHASE3_SMA20_BREAK,TP1,TP2",BIG_WIN
AAPL,2011-01-18,2011-01-20,2,147,$-41.16,-1.47R,-2.30%,STOP,BIG_LOSS
AAPL,2011-02-10,2011-02-22,12,524,$-298.68,-2.66R,-4.50%,STOP,BIG_LOSS
AAPL,2011-04-20,2011-05-16,26,500,$-165.00,-1.47R,-2.70%,STOP,BIG_LOSS
ABAT,2009-09-30,2009-10-01,1,158,$-77.42,-2.07R,-11.29%,STOP,BIG_LOSS
ABI,2006-01-27,2006-02-02,6,145,$-162.40,-1.09R,-3.87%,STOP,BIG_LOSS
ABI,2007-06-22,2007-07-27,35,52,$76.23,+2.03R,+4.99%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
ABI,2007-08-09,2007-08-15,6,37,$-42.55,-1.15R,-3.49%,STOP,BIG_LOSS
ABI,2007-10-17,2007-10-18,1,204,$-112.35,-1.00R,-1.52%,STOP,BIG_LOSS
ABI,2008-06-04,2008-06-06,2,72,$-69.84,-1.86R,-2.82%,STOP,BIG_LOSS
ABI,2008-06-12,2008-06-13,1,50,$-36.82,-1.00R,-2.16%,STOP,BIG_LOSS
ABT,2006-06-30,2006-09-22,84,148,$300.97,+2.01R,+4.66%,"PHASE3_SMA50_BREAK,TP1,TP2",WIN
ABT,2007-01-04,2007-03-05,60,79,$207.41,+2.78R,+5.26%,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",WIN
ABT,2007-04-18,2007-04-24,6,105,$-149.06,-1.00R,-2.45%,STOP,BIG_LOSS
ABT,2007-12-12,2007-12-17,5,32,$-42.88,-1.15R,-2.31%,STOP,BIG_LOSS
ABT,2008-03-20,2008-03-26,6,27,$-44.01,-1.20R,-2.93%,STOP,BIG_LOSS
ABT,2008-09-11,2008-09-16,5,27,$-36.57,-1.00R,-2.28%,STOP,BIG_LOSS
ABT,2008-09-16,2008-09-17,1,24,$-61.44,-1.70R,-4.28%,STOP,BIG_LOSS
ABT,2008-09-19,2008-09-29,10,20,$-36.31,-1.00R,-3.09%,STOP,BIG_LOSS
ABT,2009-06-18,2009-06-22,4,36,$-18.54,-0.50R,-1.08%,"STOP_BE,TP1",BIG_LOSS
ABT,2009-11-23,2009-12-08,15,47,$29.72,+0.79R,+1.19%,"STOP_BE,TP1",SMALL_WIN
ABT,2010-01-21,2010-01-22,1,51,$-53.55,-1.43R,-1.89%,STOP,BIG_LOSS
ABT,2010-07-21,2010-07-23,2,38,$6.27,+0.17R,+0.34%,"STOP_BE,TP1",SMALL_WIN
