parameter,range,trades,win_rate,avg_r,pnl
dist_sma20_pct,0-3%,169.0,39.053254437869825,0.08928715525303785,3245.0562734576633
dist_sma20_pct,3-5%,268.0,35.07462686567165,-0.01028663155766434,-1412.106472058984
dist_sma20_pct,5-7%,152.0,35.526315789473685,-0.1436235132033141,-2517.8467273657634
dist_sma20_pct,7-10%,0.0,0.0,,0.0
dist_sma20_pct,>10%,0.0,0.0,,0.0
context_rvol,<1.5x,270.0,35.55555555555556,-0.06086316259282089,-2040.2503571428592
context_rvol,1.5-2x,158.0,32.278481012658226,-0.265484269732081,-4491.133214285718
context_rvol,2-2.5x,69.0,40.57971014492754,0.35936287286209023,2092.45857142857
context_rvol,2.5-3x,27.0,33.33333333333333,-0.10835159250753919,-383.1203571428571
context_rvol,>3x,29.0,37.93103448275862,0.04197840162969674,98.45714285714317
context_adr,<2%,408.0,33.57843137254902,-0.09200070915080846,-5311.320714285719
context_adr,2-3%,119.0,37.81512605042017,-0.0477580316228868,-14.568571428572547
context_adr,3-4%,21.0,47.61904761904761,0.29840229102315236,447.1964285714282
context_adr,4-5%,4.0,50.0,0.27929942451894574,135.09714285714284
context_adr,>5%,1.0,100.0,0.5441996464028294,20.00750000000003
consolidation_days,<10d,0.0,0.0,,0.0
consolidation_days,10-15d,4.0,50.0,0.28237177728002527,120.1575000000002
consolidation_days,15-20d,585.0,36.23931623931624,-0.018166750659341008,-805.0544259670846
consolidation_days,20-25d,0.0,0.0,,0.0
consolidation_days,>25d,0.0,0.0,,0.0
