signal_date,ticker,signal_price,entry_price_actual,slippage_pct,entry_score,rs_percentile,rvol,adr_pct,dist_sma20,dollar_vol_M,stop_price,tp1,tp2
2026-04-24,COIN,156.88,146.0,-6.935,0.986,98.6,1.83,6.27,0.47,2279.57,144.3296,172.568,194.5312
2026-04-24,PDD,145.64,143.78,-1.277,0.952,95.2,1.16,2.51,0.37,1028.19,133.9888,160.204,180.5936
2026-04-24,ARM,68.92,67.07,-2.684,0.846,84.6,1.35,4.79,0.42,497.23,63.4064,75.812,85.4608
2026-04-24,C,49.4978,49.6938,0.396,0.881,88.1,1.25,2.0,6.52,983.92,45.538,54.4476,61.3773
2026-04-24,GBTC,33.2882,31.3279,-5.889,0.983,98.3,1.58,3.61,5.25,214.61,30.6251,36.617,41.2773
2026-04-24,TEAM,226.67,223.0,-1.619,0.707,70.7,1.13,3.18,3.03,395.63,208.5364,249.337,281.0708
2026-04-24,ELPW,139.66,138.01,-1.181,0.945,94.5,1.54,3.66,0.76,157.63,128.4872,153.626,173.1784
2026-04-24,ELRA,139.66,138.01,-1.181,0.945,94.5,1.54,3.66,0.76,157.63,128.4872,153.626,173.1784
2026-04-24,ELRC,139.66,138.01,-1.181,0.945,94.5,1.54,3.66,0.76,157.63,128.4872,153.626,173.1784
2026-04-24,ELRE,139.66,138.01,-1.181,0.945,94.5,1.54,3.66,0.76,157.63,128.4872,153.626,173.1784
2026-04-24,EXPE,147.5688,145.436,-1.445,0.953,95.3,1.38,2.34,0.66,309.16,135.7633,162.3257,182.9854
2026-04-24,ANF,90.96,89.74,-1.341,0.975,97.5,1.13,3.18,6.32,125.12,83.6832,100.056,112.7904
2026-04-24,NXT,47.42,46.21,-2.552,0.935,93.5,1.88,4.74,5.37,107.96,43.6264,52.162,58.8008
2026-04-24,CYBR,216.13,214.21,-0.888,0.896,89.6,1.37,2.48,3.08,110.76,198.8396,237.743,268.0012
2026-04-24,CYBR2,216.13,214.21,-0.888,0.896,89.6,1.37,2.48,3.08,110.76,198.8396,237.743,268.0012
2026-04-24,HRB,234.25,230.82,-1.464,0.729,72.9,1.2,2.2,5.14,107.69,215.51,257.675,290.47
2026-04-24,BN,25.5693,25.1942,-1.467,0.827,82.7,1.15,2.17,1.6,79.32,23.5238,28.1263,31.706
2026-04-24,INSM,29.94,29.35,-1.971,0.671,67.1,1.11,3.63,3.45,50.72,27.5448,32.934,37.1256
2026-04-24,EAXR,42.07,41.23,-1.997,0.903,90.3,1.17,2.74,1.4,45.48,38.7044,46.277,52.1668
2026-04-24,EB,42.07,41.23,-1.997,0.903,90.3,1.17,2.74,1.4,45.48,38.7044,46.277,52.1668
2026-04-24,EBBGF,42.07,41.23,-1.997,0.903,90.3,1.17,2.74,1.4,45.48,38.7044,46.277,52.1668
2026-04-24,EBBNF,42.07,41.23,-1.997,0.903,90.3,1.17,2.74,1.4,45.48,38.7044,46.277,52.1668
2026-04-24,HUT,12.6,11.7,-7.143,0.882,88.2,1.37,14.25,5.8,117.0,11.592,13.86,15.624
2026-04-24,OLED,182.5256,179.3365,-1.747,0.691,69.1,1.39,2.22,1.22,50.67,167.9236,200.7782,226.3318
2026-04-24,JLL,186.9,182.56,-2.322,0.914,91.4,1.34,2.53,5.33,53.53,171.948,205.59,231.756
2026-04-24,JLMI,186.9,182.56,-2.322,0.914,91.4,1.34,2.53,5.33,53.53,171.948,205.59,231.756
2026-04-24,KIM,34.6008,34.0097,-1.708,0.714,71.4,1.24,2.95,5.63,46.34,31.8328,38.0609,42.905
2026-04-24,KMX,34.6008,34.0097,-1.708,0.714,71.4,1.24,2.95,5.63,46.34,31.8328,38.0609,42.905
2026-04-24,KSS,34.6008,34.0097,-1.708,0.714,71.4,1.24,2.95,5.63,46.34,31.8328,38.0609,42.905
2026-04-24,KSU,34.6008,34.0097,-1.708,0.714,71.4,1.24,2.95,5.63,46.34,31.8328,38.0609,42.905
2026-04-24,AURA,3.73,3.47,-6.971,0.98,98.0,1.2,8.23,3.63,32.44,3.4316,4.103,4.6252
2026-04-24,BTC1,3.81,3.455,-9.318,0.984,98.4,1.45,11.85,6.17,47.09,3.5052,4.191,4.7244
2026-04-24,BTCM,3.81,3.455,-9.318,0.984,98.4,1.45,11.85,6.17,47.09,3.5052,4.191,4.7244
2026-04-24,CAKE,32.5844,32.5464,-0.116,0.61,61.0,1.29,2.58,0.23,27.71,29.9776,35.8428,40.4046
2026-04-24,CAKR,32.5844,32.5464,-0.116,0.61,61.0,1.29,2.58,0.23,27.71,29.9776,35.8428,40.4046
2026-04-24,BBBB,26.77,25.99,-2.914,0.978,97.8,1.14,5.39,6.15,41.53,24.6284,29.447,33.1948
2026-04-24,BBBY,26.77,25.99,-2.914,0.978,97.8,1.14,5.39,6.15,41.53,24.6284,29.447,33.1948
2026-04-24,BLMN,24.5742,25.519,3.845,0.599,59.9,1.13,2.51,4.0,32.34,22.6083,27.0316,30.472
2026-04-24,BLMT,24.5742,25.519,3.845,0.599,59.9,1.13,2.51,4.0,32.34,22.6083,27.0316,30.472
2026-04-24,BEPC,26.1054,25.7272,-1.449,0.815,81.5,1.22,2.89,2.63,27.12,24.017,28.7159,32.3707
2026-04-24,BEPH,26.1054,25.7272,-1.449,0.815,81.5,1.22,2.89,2.63,27.12,24.017,28.7159,32.3707
2026-04-24,BEPI,26.1054,25.7272,-1.449,0.815,81.5,1.22,2.89,2.63,27.12,24.017,28.7159,32.3707
2026-04-24,CAN,2.16,1.88,-12.963,0.591,59.1,1.29,15.79,4.32,53.14,1.9872,2.376,2.6784
2024-01-03,MSTR,63.106,63.86,1.195,0.985,98.5,1.53,4.94,5.37,773.71,58.0575,69.4166,78.2514
2024-01-03,URI,536.213,538.0947,0.351,0.843,84.3,1.21,2.76,0.54,368.05,493.3159,589.8342,664.9041
2024-01-03,TFC,33.0414,33.5391,1.506,0.922,92.2,1.21,2.31,1.77,331.53,30.3981,36.3455,40.9713
2024-01-03,HIMX,9.05,9.05,0.0,0.954,95.4,1.66,4.22,3.23,24.26,8.326,9.955,11.222
