day_idx,col_idx,exit_type_code,exit_price,shares,pnl,entry_day_idx,initial_risk,context_rvol,context_adr,context_volume,entry_score,stop_loss,tp1_target,tp2_target,exit_date,entry_date,symbol,exit_phase,monetary_risk,adjusted_risk_dollars,base_risk_dollars,context_vol,return_pct,entry_price,context_dollar_vol,signal_type,dist_sma20_pct,pattern_confidence,pattern_type,pattern_bonus,stop_distance,stop_distance_pct,risk_per_share,r_multiple,outcome,is_big_win,is_big_loss
79.0,37.0,1.0,121.05828857421875,38.0,403.1487121582031,62.0,1000.0,1.1195344924926758,2.1945881843566895,33980000.0,0.7558860778808594,101.9617691040039,121.05828857421875,135.91114807128906,2021-04-28,2021-04-05,GOOG,TP1,1000.0,1000.0,1000.0,33980000.0,9.605488400533101,110.44911193847656,3753060823.6694336,FLAT_BASE,7.519580364227295,0.0,NONE,0.0,26.31578947368421,23.826166649798765,26.31578947368421,0.40314871215820314,WIN,False,False
110.0,76.0,0.0,193.02000427246094,56.0,-1476.7197265625,71.0,1000.0,0.9377858638763428,2.1179661750793457,1686500.0,0.6343683004379272,201.70199584960938,241.5,272.4540100097656,2021-06-11,2021-04-16,VRTX,STOP,1000.0,1000.0,1000.0,1686500.0,-12.01968876910974,219.38999938964844,370001233.9706421,FLAT_BASE,2.069869041442871,0.5,CUP_AND_HANDLE,0.2,17.857142857142858,8.13945161895352,17.857142857142858,-1.4767197265625,LOSS,False,True
123.0,71.0,1.0,402.8547668457031,11.0,403.1720886230469,29.0,1000.0,0.7823323011398315,1.123045802116394,50593300.0,0.47363924980163574,336.8811340332031,402.8547668457031,454.1676025390625,2021-06-30,2021-02-16,SPY,TP1,1000.0,1000.0,1000.0,50593300.0,10.008665193522654,366.2027587890625,18527406036.242676,FLAT_BASE,2.1618573665618896,0.0,NONE,0.0,90.9090909090909,24.82479684470529,90.9090909090909,0.4031720886230469,WIN,False,False
139.0,37.0,2.0,136.79005432128906,38.0,1000.955810546875,62.0,1000.0,1.1195344924926758,2.1945881843566895,33980000.0,0.7558860778808594,101.9617691040039,121.05828857421875,135.91114807128906,2021-07-23,2021-04-05,GOOG,TP2,1000.0,1000.0,1000.0,33980000.0,23.848939951174245,110.44911193847656,3753060823.6694336,FLAT_BASE,7.519580364227295,0.0,NONE,0.0,26.31578947368421,23.826166649798765,26.31578947368421,1.000955810546875,WIN,False,False
144.0,27.0,1.0,409.1017150878906,10.0,372.0916748046875,118.0,1000.0,0.9356464743614197,1.3243290185928345,1934800.0,0.7545569539070129,342.1252136230469,409.1017150878906,461.194580078125,2021-07-30,2021-06-23,COST,TP1,1000.0,1000.0,1000.0,1934800.0,10.005354428276304,371.8925476074219,719537701.1108398,FLAT_BASE,2.2064685821533203,0.0,NONE,0.0,100.0,26.889487472484184,100.0,0.3720916748046875,WIN,False,False
146.0,5.0,1.0,194.29812622070312,23.0,408.78485107421875,75.0,1000.0,0.8756496906280518,1.5757725238800049,1413500.0,0.7620885968208313,162.44058227539062,194.1302490234375,218.7777557373047,2021-08-03,2021-04-22,ADP,TP1,1000.0,1000.0,1000.0,1413500.0,10.068413708881197,176.52487182617188,249517906.32629395,FLAT_BASE,2.105738639831543,0.0,NONE,0.0,43.47826086956522,24.630104766414597,43.47826086956522,0.40878485107421875,WIN,False,False
159.0,28.0,1.0,51.08893585205078,88.0,419.1625061035156,87.0,1000.0,1.3728358745574951,1.4974337816238403,24146000.0,0.7443670630455017,42.60084533691406,50.98182678222656,57.500370025634766,2021-08-20,2021-05-10,CSCO,TP1,1000.0,1000.0,1000.0,24146000.0,10.281998262353351,46.32572555541992,1118580969.2611694,FLAT_BASE,2.62746524810791,0.0,NONE,0.0,11.363636363636363,24.529861599343832,11.363636363636363,0.41916250610351563,WIN,False,False
163.0,31.0,0.0,93.4800033569336,120.0,-1407.5994873046875,161.0,1000.0,1.3702328205108643,1.8831931352615356,2852900.0,0.8267730474472046,96.92919921875,115.56099700927734,130.05239868164062,2021-08-26,2021-08-24,DLTR,STOP,1000.0,1000.0,1000.0,2852900.0,-11.149126346936947,105.20999908447266,300153606.38809204,FLAT_BASE,4.475017547607422,0.5,CUP_AND_HANDLE,0.2,8.333333333333334,7.920666672226218,8.333333333333334,-1.4075994873046875,LOSS,False,True
168.0,47.0,0.0,332.45941162109375,33.0,-1074.3087158203125,118.0,1000.0,1.096834421157837,1.7186923027038574,3582700.0,0.8335460424423218,335.58734130859375,401.7978210449219,453.29486083984375,2021-09-02,2021-06-23,MA,STOP,1000.0,1000.0,1000.0,3582700.0,-8.9187784147296,365.01422119140625,1307736450.2624512,FLAT_BASE,2.4745712280273438,0.65,POCKET_PIVOT,0.2,30.303030303030305,8.301876623908305,30.303030303030305,-1.0743087158203124,LOSS,False,True
180.0,37.0,3.0,138.60691833496094,41.0,1154.4700622558594,62.0,1000.0,1.1195344924926758,2.1945881843566895,33980000.0,0.7558860778808594,101.9617691040039,121.05828857421875,135.91114807128906,2021-09-21,2021-04-05,GOOG,RUNNER,1000.0,1000.0,1000.0,33980000.0,25.49391833242544,110.44911193847656,3753060823.6694336,FLAT_BASE,7.519580364227295,0.0,NONE,0.0,24.390243902439025,22.082788602252513,24.390243902439025,1.1544700622558595,WIN,False,False
202.0,68.0,1.0,48.18902587890625,94.0,411.674560546875,72.0,1000.0,0.732860267162323,1.1702905893325806,337200.0,0.7968354225158691,40.314781188964844,48.177921295166016,54.293697357177734,2021-10-21,2021-04-19,SLF,TP1,1000.0,1000.0,1000.0,337200.0,9.996725993521647,43.80950927734375,14772566.528320312,FLAT_BASE,2.2355005741119385,0.55,POCKET_PIVOT,0.2,10.638297872340425,24.283079285350638,10.638297872340425,0.411674560546875,WIN,False,False
