number,value,datetime_start,datetime_complete,duration,params_score_rs_weight,params_tp1_pct,params_tp1_r,params_tp2_pct,params_tp2_r,user_attrs_max_dd,user_attrs_profit_factor,user_attrs_sharpe,user_attrs_total_return,user_attrs_trades,user_attrs_win_rate,system_attrs_fixed_params,state
0,-87.22227621417264,2026-04-28 21:21:51.610101,2026-04-28 21:22:08.522599,0 days 00:00:16.912498,0.7,0.33,1.25,0.33,3.0,-3.8286059343250787,999.0,0.6472726560580819,11.085652842018854,10201.0,100.0,"{'tp1_r': 1.25, 'tp2_r': 3.0, 'tp1_pct': 0.33, 'tp2_pct': 0.33, 'score_rs_weight': 0.7}",COMPLETE
1,-87.2028994355958,2026-04-28 21:21:51.633576,2026-04-28 21:22:04.539052,0 days 00:00:12.905476,1.0,0.4,1.5,0.35000000000000003,2.5,-3.73800693362607,999.0,0.6699740391775407,10.765596234979647,10201.0,100.0,,COMPLETE
2,-91.04277817021512,2026-04-28 21:22:04.541073,2026-04-28 21:22:20.310988,0 days 00:00:15.769915,0.5,0.45,2.0,0.35000000000000003,3.5,-4.2992721564369285,999.0,0.6339842849327919,10.64201570069266,10201.0,100.0,,COMPLETE
3,-91.22965857022453,2026-04-28 21:22:08.524322,2026-04-28 21:22:25.587108,0 days 00:00:17.062786,0.6000000000000001,0.25,1.5,0.4,5.5,-4.789581108215858,999.0,0.6225631639746554,12.74127183460894,10201.0,100.0,,COMPLETE
4,-91.29270295570339,2026-04-28 21:22:20.314131,2026-04-28 21:22:36.242548,0 days 00:00:15.928417,0.7,0.35,1.5,0.4,4.0,-4.604941850700562,999.0,0.5959792571516203,10.407633540311014,10201.0,100.0,,COMPLETE
5,-92.35407548142739,2026-04-28 21:22:25.588356,2026-04-28 21:22:41.843362,0 days 00:00:16.255006,0.3,0.25,1.75,0.25,5.0,-5.428806885358956,999.0,0.5464191035535154,11.497949324152462,10201.0,100.0,,COMPLETE
6,-92.2808340835446,2026-04-28 21:22:36.243619,2026-04-28 21:22:54.580976,0 days 00:00:18.337357,0.4,0.35,1.25,0.25,5.5,-4.8076560296731135,999.0,0.5911730843058631,11.60882482857928,10201.0,100.0,,COMPLETE
7,-91.09338300601995,2026-04-28 21:22:41.844749,2026-04-28 21:23:01.273307,0 days 00:00:19.428558,0.4,0.5,1.5,0.2,3.75,-4.257296143843845,999.0,0.5926919829216672,10.119617930244829,10201.0,100.0,,COMPLETE
8,-999.0,2026-04-28 21:22:54.582316,2026-04-28 21:22:54.583297,0 days 00:00:00.000981,,0.25,1.5,0.2,4.0,,,,,,,,COMPLETE
9,-92.3272543586449,2026-04-28 21:22:54.584659,2026-04-28 21:23:13.603183,0 days 00:00:19.018524,0.5,0.35,1.75,0.2,2.5,-4.5318674679591595,999.0,0.5840020222330948,10.363392284719462,10201.0,100.0,,COMPLETE
10,-999.0,2026-04-28 21:23:01.274805,2026-04-28 21:23:01.275929,0 days 00:00:00.001124,,0.3,2.0,0.45,2.25,,,,,,,,COMPLETE
11,-90.88625599058646,2026-04-28 21:23:01.277147,2026-04-28 21:23:20.080567,0 days 00:00:18.803420,0.8,0.45,1.75,0.4,5.5,-4.200233489490922,999.0,0.7365199124561856,13.280659568610426,10201.0,100.0,,COMPLETE
12,-76.58228537424866,2026-04-28 21:23:13.605487,2026-04-28 21:23:31.802143,0 days 00:00:18.196656,0.4,0.5,2.0,0.25,2.75,-3.73800693362607,999.0,0.6885232076870603,11.10349603245365,10201.0,100.0,,COMPLETE
13,-91.21702776649788,2026-04-28 21:23:20.081553,2026-04-28 21:23:38.846472,0 days 00:00:18.764919,1.0,0.3,2.0,0.35000000000000003,5.5,-4.626494764522461,999.0,0.6322958653734593,12.624275789121384,10201.0,100.0,,COMPLETE
14,-91.32050884889513,2026-04-28 21:23:31.803773,2026-04-28 21:23:49.800832,0 days 00:00:17.997059,0.5,0.3,1.75,0.4,3.75,-4.721479636670735,999.0,0.5734593046940599,10.323478531950778,10201.0,100.0,,COMPLETE
15,-91.10224208763594,2026-04-28 21:23:38.848269,2026-04-28 21:23:57.021275,0 days 00:00:18.173006,0.9000000000000001,0.45,1.25,0.25,3.5,-4.4960144721710655,999.0,0.5874125405118261,10.116879721850419,10201.0,100.0,,COMPLETE
16,-88.50238492540093,2026-04-28 21:23:49.802774,2026-04-28 21:24:06.469096,0 days 00:00:16.666322,1.0,0.45,2.25,0.2,2.75,-3.73800693362607,999.0,0.6684646090122937,11.35724796411334,10201.0,100.0,,COMPLETE
17,-76.58857183855628,2026-04-28 21:23:57.022716,2026-04-28 21:24:13.355903,0 days 00:00:16.333187,1.0,0.45,1.75,0.35000000000000003,2.25,-3.73800693362607,999.0,0.6838044727548604,10.82264658145202,10201.0,100.0,,COMPLETE
18,-999.0,2026-04-28 21:24:06.470609,2026-04-28 21:24:06.477618,0 days 00:00:00.007009,,0.4,2.0,0.30000000000000004,2.25,,,,,,,,COMPLETE
19,-87.14494223111758,2026-04-28 21:24:06.478534,2026-04-28 21:24:23.174599,0 days 00:00:16.696065,1.0,0.45,1.5,0.4,2.75,-3.73800693362607,999.0,0.7174997313671942,11.186206393823465,10201.0,100.0,,COMPLETE
20,-76.63820512436155,2026-04-28 21:24:13.357156,2026-04-28 21:24:30.895922,0 days 00:00:17.538766,0.8,0.5,1.75,0.2,2.25,-3.73800693362607,999.0,0.6403418416862631,10.516937022461075,10201.0,100.0,,COMPLETE
21,-999.0,2026-04-28 21:24:23.177931,2026-04-28 21:24:23.191370,0 days 00:00:00.013439,,0.45,2.0,0.45,2.25,,,,,,,,COMPLETE
22,-87.20674548524015,2026-04-28 21:24:23.192854,2026-04-28 21:24:41.021963,0 days 00:00:17.829109,1.0,0.5,1.5,0.30000000000000004,2.0,-3.73800693362607,999.0,0.6666691305183934,10.506274262934808,10201.0,100.0,,COMPLETE
23,-87.24379320385472,2026-04-28 21:24:30.897525,2026-04-28 21:24:48.628671,0 days 00:00:17.731146,0.8,0.45,1.5,0.25,2.25,-3.73800693362607,999.0,0.6350173578494033,10.397700455695375,10201.0,100.0,,COMPLETE
24,-76.62367880080902,2026-04-28 21:24:41.023594,2026-04-28 21:24:59.479319,0 days 00:00:18.455725,0.8,0.5,1.75,0.2,2.75,-3.73800693362607,999.0,0.6517221640256627,10.716136978170908,10201.0,100.0,,COMPLETE
25,-999.0,2026-04-28 21:24:48.630206,2026-04-28 21:24:48.636938,0 days 00:00:00.006732,,0.5,2.0,0.25,2.25,,,,,,,,COMPLETE
26,-87.1402816508853,2026-04-28 21:24:48.638107,2026-04-28 21:25:07.382248,0 days 00:00:18.744141,0.8,0.5,1.75,0.30000000000000004,3.25,-3.73800693362607,999.0,0.7166576523503868,11.45930687107562,10201.0,100.0,,COMPLETE
