ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,phase
QQQ,2021-02-24,2021-02-25,324.13,312.83,38,-429.40000000000043,TP1
QQQ,2021-02-24,2021-02-25,324.13,318.3178571428571,39,-226.67357142857207,STOP
VZ,2021-02-17,2021-02-26,56.99,55.3,219,-370.11000000000104,TP1
VZ,2021-02-17,2021-02-26,56.99,55.989285714285714,219,-219.1564285714291,STOP
META,2021-03-05,2021-03-08,264.28,255.31,28,-251.15999999999917,TP1
META,2021-03-05,2021-03-08,264.28,255.13071428571425,28,-256.1800000000003,STOP
SPY,2021-03-05,2021-03-11,383.6300048828125,393.5299987792969,32,316.7998046875,TP1
SPY,2021-03-05,2021-03-31,383.6300048828125,397.3807155064174,33,453.7734505789618,TP2
BABA,2021-04-12,2021-04-13,244.01,241.89,33,-69.96000000000015,TP1
SNAP,2021-04-07,2021-04-14,60.23,62.01,70,124.60000000000008,TP1
MRNA,2021-04-13,2021-04-15,149.71,159.87,30,304.7999999999999,TP1
BABA,2021-04-12,2021-04-19,244.01,237.4192857142857,34,-224.08428571428567,STOP
SNAP,2021-04-07,2021-04-21,60.23,57.18142857142857,71,-216.4485714285714,STOP
MRNA,2021-04-13,2021-04-27,149.71,180.26071428571427,30,916.5214285714279,TP2
AMD,2021-04-26,2021-04-27,85.41,85.21,84,-16.80000000000024,TP1
AMD,2021-04-26,2021-04-30,85.41,82.31714285714285,85,-262.89285714285705,STOP
SNAP,2021-04-23,2021-05-04,61.3,55.78,74,-408.4799999999997,TP1
SNAP,2021-04-23,2021-05-04,61.3,57.52642857142857,75,-283.0178571428572,STOP
SMH,2021-05-06,2021-05-10,120.11,116.4,85,-315.34999999999945,TP1
SMH,2021-05-06,2021-05-10,120.11,117.09214285714286,86,-259.53571428571394,STOP
AMD,2021-06-17,2021-06-21,84.56,82.59,114,-224.57999999999987,TP1
AMD,2021-06-17,2021-06-21,84.56,82.43214285714286,115,-244.7035714285709,STOP
JNJ,2021-06-25,2021-07-02,164.21,167.01714285714286,76,213.3428571428566,TP1
MRK,2021-06-25,2021-07-02,77.2,78.6,44,61.599999999999625,TP1
JNJ,2021-06-25,2021-07-09,164.21,169.35500000000002,76,391.0200000000008,TP2
DIS,2021-07-12,2021-07-16,184.38,179.31,67,-339.68999999999954,TP1
DIS,2021-07-12,2021-07-16,184.38,180.31714285714287,68,-276.2742857142846,STOP
MRK,2021-06-25,2021-07-19,77.2,76.28928571428571,44,-40.07142857142884,STOP
WMT,2021-06-30,2021-07-26,47.01,47.54,265,140.4500000000003,TP1
WMT,2021-06-30,2021-08-06,47.01,48.61285714285714,266,426.35999999999916,TP2
TSLA,2021-08-02,2021-08-16,236.56,228.72,30,-235.2000000000001,TP1
TSLA,2021-08-02,2021-08-16,236.56,229.12571428571428,30,-223.02857142857164,STOP
NFLX,2021-08-19,2021-08-27,54.37,55.89,229,348.0800000000007,TP1
NFLX,2021-08-19,2021-09-01,54.37,57.85857142857143,230,802.3714285714295,TP2
LCID,2021-09-21,2021-09-22,268.1,249.5,14,-260.4000000000003,TP1
LCID,2021-09-21,2021-09-22,268.1,250.75714285714287,14,-242.80000000000018,STOP
LCID,2021-09-29,2021-09-30,262.8,253.8,11,-99.0,TP1
LCID,2021-09-29,2021-10-04,262.8,240.36428571428573,12,-269.2285714285714,STOP
GM,2021-10-07,2021-10-08,56.44,58.57,154,328.0200000000004,TP1
AMZN,2021-10-15,2021-10-25,170.45,166.02,73,-323.3899999999984,TP1
AMZN,2021-10-15,2021-10-25,170.45,167.67,73,-202.94000000000008,STOP
GM,2021-10-07,2021-10-27,56.44,54.91142857142857,155,-236.92857142857088,STOP
LCID,2021-10-25,2021-10-28,268.5,302.85,19,652.6500000000004,TP1
LCID,2021-10-25,2021-10-28,268.5,337.2,20,1373.9999999999998,TP2
META,2021-10-28,2021-11-01,316.92,329.98,26,339.56000000000006,TP1
META,2021-10-28,2021-11-15,316.92,345.95142857142855,26,754.8171428571419,TP2
JNJ,2021-11-12,2021-11-15,165.01,163.52,75,-111.74999999999855,TP1
BA,2021-11-15,2021-11-16,233.09,225.8,41,-298.88999999999965,TP1
BA,2021-11-15,2021-11-16,233.09,226.98,41,-250.51000000000056,STOP
JNJ,2021-11-12,2021-11-17,165.01,162.37071428571429,76,-200.5857142857136,STOP
