ticker,entry_date,final_exit_date,entry_price,exit_price,total_shares,total_pnl,exit_phases,entry_signal,context_adr,context_rvol,context_trend,dist_sma20_pct,consolidation_days,sector,sector_strength,vix_regime,spy_above_ema20,base_risk_dollars,adjusted_risk_dollars,risk_reduction_factor,rvol_classification,volatility_regime,is_vcp_pattern,hold_days,r_multiple,return_pct,outcome_category,is_winner,was_stopped_out,hit_tp1,hit_tp2,had_runner
A,2013-08-15,2013-10-08,46.96,50.02103174603175,45,137.74642857142857,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",BLUE_SKY_PLUS,1.6608867929216695,2.8454642369243506,Uptrend,1.750736696134512,20,UNKNOWN,0.0,CALM,False,150.0,37.15714285714277,0.4954285714285703,WARNING,LOW,False,54,3.7071318723567943,6.518381060544605,BIG_WIN,True,False,True,True,False
A,2014-01-21,2014-01-23,60.85,59.47,115,-158.7000000000003,STOP,BLUE_SKY_PLUS,1.4305102942875323,1.6620783694841577,Uptrend,4.460829334866916,20,UNKNOWN,0.0,CALM,True,150.0,149.21249999999992,0.9947499999999996,NORMAL,LOW,False,2,-1.0635838150289043,-2.2678718159408424,BIG_LOSS,False,True,False,False,False
A,2016-05-16,2016-06-13,42.94,45.21219537815126,68,154.50928571428574,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",BLUE_SKY_PLUS,1.6435065925025325,2.1581185392673894,Uptrend,3.0700175223830355,20,UNKNOWN,0.0,CALM,True,150.0,74.60571428571421,0.4973714285714281,WARNING,LOW,False,28,2.0710114123774535,5.29155886854043,WIN,True,False,True,True,False
AAPL,2013-12-05,2013-12-13,20.28,19.8,115,-55.200000000000045,STOP,BLUE_SKY_PLUS,1.5411433124311171,1.5003183275142231,Uptrend,6.641426092443592,20,XLK,0.5879499134555786,CALM,False,150.0,37.2928571428572,0.4972380952380959,NORMAL,LOW,False,8,-1.4801762114537433,-2.3668639053254457,BIG_LOSS,False,True,False,False,False
AAPL,2013-12-23,2013-12-30,20.36,19.81,290,-159.5000000000002,STOP,BLUE_SKY_PLUS,1.4516122528674154,1.3741524162998269,Uptrend,2.670129346209116,20,XLK,1.8010001195256593,CALM,True,150.0,149.76428571428625,0.998428571428575,NORMAL,LOW,True,7,-1.0650069156293198,-2.7013752455795714,BIG_LOSS,False,True,False,False,False
AAPL,2014-05-27,2014-07-31,22.34,23.523653691813802,356,421.3807142857147,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",BLUE_SKY_PLUS,1.2582851978374363,1.322822438165053,Uptrend,4.627201198950916,20,XLK,0.752140650161292,CALM,True,150.0,149.9014285714292,0.9993428571428612,NORMAL,LOW,True,65,2.8110520246638178,5.298360303553292,WIN,True,False,True,True,False
AAPL,2014-08-19,2014-09-03,25.13,25.285102040816327,273,42.342857142857476,"STOP_BE,TP1",BLUE_SKY_PLUS,1.450562745575817,1.4792536758026062,Uptrend,3.7122634695941055,20,XLK,3.725527325220997,CALM,True,150.0,149.75999999999985,0.998399999999999,NORMAL,LOW,True,15,0.28273809523809773,0.617198729869987,SMALL_WIN,True,True,True,False,False
AAPL,2017-01-17,2017-04-11,30.0,32.243625485002276,295,661.869518075671,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",BLUE_SKY_PLUS,0.0,137759200.0,Downtrend,2.178531359402557,20,XLK,2.1509267099818814,CALM,True,150.0,149.89689670290255,0.999312644686017,NORMAL,LOW,False,84,4.415498470175165,7.478751616674248,BIG_WIN,True,False,True,True,False
ABBV,2014-09-17,2014-09-23,59.62,57.56,112,-230.71999999999943,STOP,BLUE_SKY_PLUS,1.5513039420050756,1.490826359251914,Uptrend,5.796445651113064,20,XLV,1.2871763597358394,CALM,True,150.0,148.80000000000007,0.9920000000000004,NORMAL,LOW,True,6,-1.5505376344085977,-3.455216370345513,BIG_LOSS,False,True,False,False,False
ABBV,2017-06-07,2017-08-10,68.75,71.54891775335585,128,358.26147242954806,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",BLUE_SKY_PLUS,0.0,8406300.0,Downtrend,3.6046900230788665,20,XLV,0.2235276866795503,CALM,True,150.0,149.07442801339312,0.9938295200892876,NORMAL,LOW,False,64,2.4032389538825614,4.071153095790319,WIN,True,False,True,True,False
ABBV,2017-12-13,2018-02-08,97.3499984741211,104.55653482055665,50,360.3268173217773,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",BLUE_SKY_PLUS,0.0,6148700.0,Downtrend,2.228871195959374,20,XLV,0.0695067429342015,CALM,True,150.0,149.8392105102539,0.9989280700683594,NORMAL,LOW,False,57,2.404756512629377,7.4027082274185005,WIN,True,False,True,True,False
ABT,2014-07-17,2014-08-01,41.9,42.31245398773006,163,67.22999999999986,"STOP_BE,TP1",BLUE_SKY_PLUS,1.4055979340952838,1.9478006156208088,Uptrend,1.8275493341110025,20,XLV,2.757579889157687,CALM,False,150.0,149.84357142857132,0.998957142857142,NORMAL,LOW,False,15,0.44866789652065664,0.9843770590216242,SMALL_WIN,True,True,True,False,False
ABT,2014-12-18,2014-12-24,45.77,45.71,124,-7.440000000000282,"STOP_BE,TP1",BLUE_SKY_PLUS,1.9170974866331147,1.310388286569493,Uptrend,2.692393986986769,20,XLV,3.257329519327479,CALM,True,150.0,112.48571428571444,0.9998730158730172,NORMAL,LOW,True,6,-0.06614173228346698,-0.13109023377758852,SMALL_LOSS,False,True,True,False,False
