number,value,datetime_start,datetime_complete,duration,params_max_consolidation_range,params_max_dist_sma20,params_max_stop_pct,params_max_vix,params_min_consolidation_days,params_min_dollar_volume,params_min_volume,params_require_bullish_spy,params_rvol_danger,params_rvol_warning,params_rvol_warning_size,state
0,0.30867128948625194,2026-01-10 01:16:35.516219,2026-01-10 01:16:36.301127,0 days 00:00:00.784908,15.0,25.0,0.07,50.0,10,5000000.0,100000,False,3.5,2.5,0.7,COMPLETE
1,0.3258386449601931,2026-01-10 01:16:36.303151,2026-01-10 01:16:36.937103,0 days 00:00:00.633952,15.0,25.0,0.07,50.0,10,5000000.0,100000,False,3.5,2.0,0.7,COMPLETE
2,0.3858165418595707,2026-01-10 01:16:36.939358,2026-01-10 01:16:37.591378,0 days 00:00:00.652020,25.0,15.0,0.08,40.0,10,5000000.0,200000,False,3.0,2.0,0.65,COMPLETE
3,0.3059696568649664,2026-01-10 01:16:37.593657,2026-01-10 01:16:38.263796,0 days 00:00:00.670139,25.0,25.0,0.07,50.0,5,5000000.0,200000,False,3.5,2.5,0.65,COMPLETE
4,0.3258386449601931,2026-01-10 01:16:38.267140,2026-01-10 01:16:38.976397,0 days 00:00:00.709257,15.0,15.0,0.07,40.0,5,5000000.0,100000,False,3.5,2.0,0.7,COMPLETE
5,0.33961386931117704,2026-01-10 01:16:38.978651,2026-01-10 01:16:39.842601,0 days 00:00:00.863950,20.0,25.0,0.07,50.0,5,5000000.0,200000,False,3.0,2.0,0.65,COMPLETE
6,0.3300851450909752,2026-01-10 01:16:39.845065,2026-01-10 01:16:40.646534,0 days 00:00:00.801469,15.0,15.0,0.07,40.0,10,10000000.0,100000,False,3.5,2.0,0.65,COMPLETE
7,0.36090710597932146,2026-01-10 01:16:40.648424,2026-01-10 01:16:41.374121,0 days 00:00:00.725697,25.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.5,2.5,0.65,COMPLETE
8,0.39055026222190115,2026-01-10 01:16:41.376066,2026-01-10 01:16:42.051016,0 days 00:00:00.674950,15.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.65,COMPLETE
9,0.3424591692407447,2026-01-10 01:16:42.053423,2026-01-10 01:16:42.702613,0 days 00:00:00.649190,25.0,20.0,0.07,40.0,5,5000000.0,100000,False,3.0,2.0,0.65,COMPLETE
10,0.3627729529058126,2026-01-10 01:16:42.704850,2026-01-10 01:16:43.319976,0 days 00:00:00.615126,20.0,20.0,0.08,50.0,10,10000000.0,200000,False,3.0,2.5,0.6,COMPLETE
11,0.38733155441013667,2026-01-10 01:16:43.322245,2026-01-10 01:16:43.971765,0 days 00:00:00.649520,25.0,15.0,0.08,40.0,10,10000000.0,200000,False,3.0,2.0,0.6,COMPLETE
12,0.38733155441013667,2026-01-10 01:16:43.973720,2026-01-10 01:16:44.598182,0 days 00:00:00.624462,25.0,15.0,0.08,40.0,10,10000000.0,200000,False,3.0,2.0,0.6,COMPLETE
13,0.38733155441013667,2026-01-10 01:16:44.600443,2026-01-10 01:16:45.231634,0 days 00:00:00.631191,15.0,15.0,0.08,50.0,10,10000000.0,200000,False,3.0,2.0,0.6,COMPLETE
14,0.39173165785767894,2026-01-10 01:16:45.234759,2026-01-10 01:16:45.854715,0 days 00:00:00.619956,20.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
15,0.39173165785767894,2026-01-10 01:16:45.856985,2026-01-10 01:16:46.486184,0 days 00:00:00.629199,20.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
16,0.39173165785767894,2026-01-10 01:16:46.488328,2026-01-10 01:16:47.122846,0 days 00:00:00.634518,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
17,0.39173165785767894,2026-01-10 01:16:47.125715,2026-01-10 01:16:47.763214,0 days 00:00:00.637499,20.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
18,0.36783366015466984,2026-01-10 01:16:47.765354,2026-01-10 01:16:48.428123,0 days 00:00:00.662769,20.0,15.0,0.08,40.0,5,10000000.0,100000,False,3.0,2.5,0.6,COMPLETE
19,0.39173165785767894,2026-01-10 01:16:48.430327,2026-01-10 01:16:49.277037,0 days 00:00:00.846710,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
20,0.39173165785767894,2026-01-10 01:16:49.283410,2026-01-10 01:16:50.248700,0 days 00:00:00.965290,20.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
21,0.39173165785767894,2026-01-10 01:16:50.251155,2026-01-10 01:16:51.083753,0 days 00:00:00.832598,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
22,0.39173165785767894,2026-01-10 01:16:51.085909,2026-01-10 01:16:51.953723,0 days 00:00:00.867814,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
23,0.39173165785767894,2026-01-10 01:16:51.957061,2026-01-10 01:16:52.757661,0 days 00:00:00.800600,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
24,0.39173165785767894,2026-01-10 01:16:52.762049,2026-01-10 01:16:53.597869,0 days 00:00:00.835820,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
25,0.39173165785767894,2026-01-10 01:16:53.600464,2026-01-10 01:16:54.359477,0 days 00:00:00.759013,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
26,0.37157115289686454,2026-01-10 01:16:54.362590,2026-01-10 01:16:55.227224,0 days 00:00:00.864634,20.0,15.0,0.08,50.0,5,10000000.0,100000,False,3.0,2.5,0.7,COMPLETE
