number,value,datetime_start,datetime_complete,duration,params_max_exposure_pct,params_min_adr,params_min_rvol,params_risk_dollars,params_rvol_danger_size,params_signal_type,params_tp1_r,params_tp2_r,state
0,0.7885394728555148,2026-01-15 22:47:39.996453,2026-01-15 22:48:06.460653,0 days 00:00:26.464200,0.2,1.5,2.0,200,0.4,any,1.5,3.0,COMPLETE
1,0.7986878890521002,2026-01-15 22:48:06.494253,2026-01-15 22:48:11.852830,0 days 00:00:05.358577,0.25,1.0,2.0,150,0.4,any,1.5,3.0,COMPLETE
2,0.7907356057109445,2026-01-15 22:48:11.858452,2026-01-15 22:48:17.726904,0 days 00:00:05.868452,0.3,1.5,2.0,150,0.4,any,1.5,4.0,COMPLETE
3,0.8707113858438869,2026-01-15 22:48:17.729177,2026-01-15 22:48:21.727232,0 days 00:00:03.998055,0.3,1.5,1.5,200,0.4,any,1.5,4.0,COMPLETE
4,0.9835879024841216,2026-01-15 22:48:21.729526,2026-01-15 22:48:23.611249,0 days 00:00:01.881723,0.2,1.0,1.0,200,0.4,any,2.0,3.0,COMPLETE
5,0.7840884432796327,2026-01-15 22:48:23.613960,2026-01-15 22:48:27.198459,0 days 00:00:03.584499,0.25,1.5,2.0,200,0.4,any,1.5,4.0,COMPLETE
6,0.9804854610013007,2026-01-15 22:48:27.201706,2026-01-15 22:48:29.127493,0 days 00:00:01.925787,0.2,2.0,1.0,200,0.4,any,1.5,3.0,COMPLETE
7,0.7818725591436989,2026-01-15 22:48:29.131288,2026-01-15 22:48:30.996497,0 days 00:00:01.865209,0.2,1.0,2.0,200,0.3,any,1.5,4.0,COMPLETE
8,0.87887179336785,2026-01-15 22:48:30.999318,2026-01-15 22:48:33.900151,0 days 00:00:02.900833,0.25,2.0,1.5,200,0.3,any,1.5,4.0,COMPLETE
9,0.8745338336981157,2026-01-15 22:48:33.907727,2026-01-15 22:48:38.438746,0 days 00:00:04.531019,0.3,1.5,1.5,200,0.4,any,2.0,3.0,COMPLETE
10,0.9835879024841216,2026-01-15 22:48:38.441136,2026-01-15 22:48:42.537496,0 days 00:00:04.096360,0.2,1.0,1.0,150,0.3,any,2.0,3.0,COMPLETE
11,0.9835879024841216,2026-01-15 22:48:42.541198,2026-01-15 22:48:46.482433,0 days 00:00:03.941235,0.2,1.0,1.0,150,0.3,any,2.0,3.0,COMPLETE
12,0.9835879024841216,2026-01-15 22:48:46.484658,2026-01-15 22:48:50.750610,0 days 00:00:04.265952,0.2,1.0,1.0,150,0.3,any,2.0,3.0,COMPLETE
13,0.9835879024841216,2026-01-15 22:48:50.753233,2026-01-15 22:48:54.559696,0 days 00:00:03.806463,0.2,1.0,1.0,150,0.3,any,2.0,3.0,COMPLETE
14,0.9835879024841216,2026-01-15 22:48:54.562327,2026-01-15 22:48:58.621307,0 days 00:00:04.058980,0.2,1.0,1.0,150,0.3,any,2.0,3.0,COMPLETE
15,0.9835879024841216,2026-01-15 22:48:58.624449,2026-01-15 22:49:02.191223,0 days 00:00:03.566774,0.2,1.0,1.0,150,0.3,any,2.0,3.0,COMPLETE
