number,value,datetime_start,datetime_complete,duration,params_max_consolidation_range,params_max_dist_sma20,params_max_stop_pct,params_max_vix,params_min_consolidation_days,params_min_dollar_volume,params_min_volume,params_require_bullish_spy,params_require_positive_rs,params_require_sma_trend,params_rvol_danger,params_rvol_warning,params_rvol_warning_size,state
0,-999.0,2026-01-15 23:02:11.102078,2026-01-15 23:02:14.548189,0 days 00:00:03.446111,25.0,20.0,0.08,50.0,5,2000000.0,150000,True,False,True,3.0,2.5,0.7,COMPLETE
1,-999.0,2026-01-15 23:02:14.550481,2026-01-15 23:02:18.325387,0 days 00:00:03.774906,25.0,25.0,0.08,40.0,10,5000000.0,100000,True,True,False,3.5,2.0,0.7,COMPLETE
2,0.6209852194527065,2026-01-15 23:02:18.327792,2026-01-15 23:02:19.631392,0 days 00:00:01.303600,25.0,20.0,0.07,50.0,10,2000000.0,150000,False,True,False,3.5,2.0,0.6,COMPLETE
3,0.647489302816789,2026-01-15 23:02:19.633555,2026-01-15 23:02:20.963501,0 days 00:00:01.329946,25.0,20.0,0.07,50.0,5,2000000.0,200000,False,True,False,3.5,2.0,0.6,COMPLETE
4,-999.0,2026-01-15 23:02:20.966446,2026-01-15 23:02:23.395738,0 days 00:00:02.429292,30.0,25.0,0.08,50.0,10,5000000.0,100000,False,False,True,3.0,2.0,0.7,COMPLETE
5,-999.0,2026-01-15 23:02:23.398616,2026-01-15 23:02:25.875291,0 days 00:00:02.476675,20.0,15.0,0.07,50.0,5,10000000.0,100000,False,False,True,3.5,2.5,0.6,COMPLETE
6,0.6221514233050545,2026-01-15 23:02:25.878265,2026-01-15 23:02:27.157749,0 days 00:00:01.279484,25.0,25.0,0.08,50.0,5,5000000.0,150000,False,True,False,3.5,2.0,0.7,COMPLETE
7,-999.0,2026-01-15 23:02:27.160505,2026-01-15 23:02:29.586854,0 days 00:00:02.426349,25.0,25.0,0.1,40.0,5,2000000.0,200000,True,False,False,4.0,2.5,0.6,COMPLETE
8,-999.0,2026-01-15 23:02:29.589594,2026-01-15 23:02:31.932276,0 days 00:00:02.342682,20.0,25.0,0.07,50.0,15,2000000.0,150000,False,False,True,3.5,2.0,0.6,COMPLETE
9,-999.0,2026-01-15 23:02:31.934934,2026-01-15 23:02:35.276751,0 days 00:00:03.341817,25.0,25.0,0.1,50.0,5,2000000.0,150000,True,False,True,4.0,2.0,0.6,COMPLETE
