source_system,strategy_id,ticker,timeframe,signal_time,side,entry_type,entry_price_ref,stop_price,target_price,raw_score,normalized_score,confidence,risk_unit,reason_codes,metadata
A,unknown,ANF,1D,2024-01-02,long,next_open,90.96,83.6832,100.056,0.975,0.975,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ARM,1D,2024-01-02,long,next_open,68.92,63.4064,75.812,0.846,0.8460000000000001,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,AURA,1D,2024-01-02,long,next_open,3.73,3.4316,4.103,0.98,0.98,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BBBB,1D,2024-01-02,long,next_open,26.77,24.6284,29.447,0.978,0.9780000000000001,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BBBY,1D,2024-01-02,long,next_open,26.77,24.6284,29.447,0.978,0.9780000000000001,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BEPC,1D,2024-01-02,long,next_open,26.1054,24.017,28.7159,0.815,0.815,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BEPH,1D,2024-01-02,long,next_open,26.1054,24.017,28.7159,0.815,0.815,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BEPI,1D,2024-01-02,long,next_open,26.1054,24.017,28.7159,0.815,0.815,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BLMN,1D,2024-01-02,long,next_open,24.5742,22.6083,27.0316,0.599,0.599,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BLMT,1D,2024-01-02,long,next_open,24.5742,22.6083,27.0316,0.599,0.599,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BN,1D,2024-01-02,long,next_open,25.5693,23.5238,28.1263,0.827,0.827,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BTC1,1D,2024-01-02,long,next_open,3.81,3.5052,4.191,0.984,0.984,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BTCM,1D,2024-01-02,long,next_open,3.81,3.5052,4.191,0.984,0.984,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,C,1D,2024-01-02,long,next_open,49.4978,45.538,54.4476,0.881,0.881,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,CAKE,1D,2024-01-02,long,next_open,32.5844,29.9776,35.8428,0.61,0.61,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,CAKR,1D,2024-01-02,long,next_open,32.5844,29.9776,35.8428,0.61,0.61,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,CAN,1D,2024-01-02,long,next_open,2.16,1.9872,2.376,0.591,0.591,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,COIN,1D,2024-01-02,long,next_open,156.88,144.3296,172.568,0.986,0.9860000000000001,0.5,,,{'origin': 'combo_pipeline'}
