source_system,strategy_id,ticker,timeframe,signal_time,side,entry_type,entry_price_ref,stop_price,target_price,raw_score,normalized_score,confidence,risk_unit,reason_codes,metadata
B,preset_06,NVDA,1D,2024-03-13T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-03-13T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_07,MSFT,1D,2024-03-14T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_07,MSFT,1D,2024-03-14T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_06,MSFT,1D,2024-04-04T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,MSFT,1D,2024-04-05T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,MSFT,1D,2024-04-09T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_07,MSFT,1D,2024-04-25T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_07,MSFT,1D,2024-04-25T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-05-03T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-05-03T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-05-16T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-05-20T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_07,NVDA,1D,2024-05-23T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_07,NVDA,1D,2024-05-23T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_06,MSFT,1D,2024-05-24T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_12,NVDA,1D,2024-05-28T00:00:00,long,next_open,0.0,,,-1.019,0.0,0.5,,weekly_return_min|trend_base,{'origin': 'preset_pack'}
B,preset_12,NVDA,1D,2024-05-28T00:00:00,long,next_open,0.0,,,-1.019,0.0,0.5,,weekly_return_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,MSFT,1D,2024-05-29T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,MSFT,1D,2024-06-11T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_07,MSFT,1D,2024-06-21T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_07,MSFT,1D,2024-06-21T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_06,MSFT,1D,2024-07-01T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,MSFT,1D,2024-07-05T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-07-09T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,MSFT,1D,2024-07-11T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-07-12T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-07-12T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,MSFT,1D,2024-07-15T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_07,NVDA,1D,2024-08-05T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_07,NVDA,1D,2024-08-05T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-08-16T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-08-19T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-08-21T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
