ticker,agent_name,entry_score,entry_price,breakout_level,rvol,live_volume,signal_date,source_universe,decision_source,data_quality_status,sector_etf,dollar_vol_M,dist_sma20,waiting_for,primary_reason,audit_status,audit_eligible,audit_reason,audit_price,audit_breakout_level,audit_live_rvol,signal_quality,trigger_price,live_rvol,theme,snapshot_waiting_for,snapshot_blocker,forward_return_1d,forward_return_3d,forward_return_5d,forward_return_10d,forward_return_20d,max_favorable_excursion,max_adverse_excursion
CLSK,finviz_live,92.32456140350878,15.414999961853027,15.04,1.83,40096679,2026-05-21,finviz,finviz_live_promoter,ok,OTHER,0.0,15.92,SMA100>SMA200 (-12.17%),MA stack roto,existing,False,already_sent,,,,ma_stack_broken,15.414999961853027,1.83,,SMA100>SMA200 (-12.17%),MA stack roto,,,,,,,
DB,finviz_live,58.99122807017544,32.86000061035156,32.74,1.73,4814411,2026-05-21,finviz,finviz_live_promoter,ok,OTHER,0.0,4.42,SMA50>SMA100 (-9.13%),MA stack roto,existing,False,already_sent,,,,ma_stack_broken,32.86000061035156,1.73,,SMA50>SMA100 (-9.13%),MA stack roto,,,,,,,
DXCM,finviz_live,84.21052631578947,71.44000244140625,67.75,1.68,9841982,2026-05-21,finviz,finviz_live_promoter,ok,OTHER,0.0,16.46,SMA20>SMA50 (-2.95%),MA stack roto,existing,False,already_sent,,,,ma_stack_broken,71.44000244140625,1.68,,SMA20>SMA50 (-2.95%),MA stack roto,,,,,,,
GH,finviz_live,92.76315789473684,114.93499755859376,100.73,2.23,4142933,2026-05-21,finviz,finviz_live_promoter,ok,OTHER,0.0,23.3,SMA50>SMA100 (-7.58%),MA stack roto,existing,False,already_sent,,,,ma_stack_broken,114.93499755859376,2.23,,SMA50>SMA100 (-7.58%),MA stack roto,,,,,,,
ALAB,finviz_live,96.2719298245614,287.5799865722656,255.96,1.68,9232306,2026-05-21,finviz,finviz_live_promoter,ok,OTHER,0.0,35.11,SMA100>SMA200 (-2.03%),MA stack roto,existing,False,already_sent,,,,ma_stack_broken,287.5799865722656,1.68,,SMA100>SMA200 (-2.03%),MA stack roto,,,,,,,
SM,finviz_live,88.37719298245614,34.79999923706055,34.44,2.26,9052979,2026-05-21,finviz,finviz_live_promoter,ok,OTHER,0.0,12.6,Dist SMA20 <= 6.77%,Extendido de SMA20,existing,False,already_sent,,,,extended,34.79999923706055,2.26,,Dist SMA20 <= 6.77%,Extendido de SMA20,,,,,,,
TENB,finviz_live,91.00877192982456,25.51000022888184,25.3,1.71,5741148,2026-05-21,finviz,finviz_live_promoter,ok,OTHER,0.0,18.86,SMA50>SMA100 (-4.62%),MA stack roto,existing,False,already_sent,,,,ma_stack_broken,25.51000022888184,1.71,,SMA50>SMA100 (-4.62%),MA stack roto,,,,,,,
RXO,finviz_live,91.44736842105264,23.84000015258789,23.37,2.31,6355421,2026-05-21,finviz,finviz_live_promoter,ok,OTHER,0.0,20.01,Dist SMA20 <= 6.77%,Extendido de SMA20,existing,False,already_sent,,,,extended,23.84000015258789,2.31,,Dist SMA20 <= 6.77%,Extendido de SMA20,,,,,,,
VSAT,finviz_live,87.93859649122807,75.29000091552734,75.14,1.85,2835618,2026-05-21,finviz,finviz_live_promoter,ok,OTHER,0.0,12.28,Dist SMA20 <= 6.77%,Extendido de SMA20,existing,False,already_sent,,,,extended,75.29000091552734,1.85,"networking, satellite",Dist SMA20 <= 6.77%,Extendido de SMA20,,,,,,,
CMBT,finviz_live,93.640350877193,17.260000228881836,17.08,2.12,3623735,2026-05-21,finviz,finviz_live_promoter,ok,OTHER,0.0,18.83,Dist SMA20 <= 6.77%,Extendido de SMA20,existing,False,already_sent,,,,extended,17.260000228881836,2.12,,Dist SMA20 <= 6.77%,Extendido de SMA20,,,,,,,
GS,finviz_live,68.85964912280701,982.0999755859376,975.66,1.69,2433815,2026-05-21,finviz,finviz_live_promoter,ok,XLF,0.0,4.94,SMA50>SMA100 (-1.26%),MA stack roto,existing,False,already_sent,,,,ma_stack_broken,982.0999755859376,1.69,,SMA50>SMA100 (-1.26%),MA stack roto,,,,,,,
PBA,finviz_live,86.40350877192982,49.75,49.7,1.77,2071,2026-05-21,finviz,finviz_live_promoter,ok,OTHER,0.0,6.3,Breakout > 49.70,Falta breakout,existing,False,already_sent,,,,breakout_resolved,49.75,1.77,,Breakout > 49.70,Falta breakout,,,,,,,
PAGP,finviz_live,82.23684210526315,25.36000061035156,25.36,1.5,16871,2026-05-21,finviz,finviz_live_promoter,ok,OTHER,0.0,5.36,Breakout > 25.36,Falta breakout,existing,False,already_sent,,,,breakout_resolved,25.36000061035156,1.5,,Breakout > 25.36,Falta breakout,,,,,,,
DBRG,finviz_live,55.92105263157895,15.710000038146973,15.7,1.58,377389,2026-05-21,finviz,finviz_live_promoter,ok,OTHER,0.0,0.58,OK,OK,existing,False,already_sent,,,,clean,15.710000038146973,1.58,,OK,OK,,,,,,,
