ticker,mode,passed,entry_score,screener_score,tier2_score,reject_reason,screener_reason,signal_type,cost_model,tier2_metrics,signal_date,agent_name,combo_name,entry_price,tier1_metrics
GOOG,A,True,0.622,62.2,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 0.7576924019908304, 'adr_pct': 1.6484486703641668, 'dist_sma20': 0.9159926456270879, 'consol_days': 20, 'volume': 12361600.0, 'dollar_vol_M': 2891.694241369629, 'rs_ret': 0.1501863403783854, 'rs_percentile': 75.89916611806012, 'close': 177.24362182617188, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-14,A_BOTH,A_BOTH_PRO,177.24362182617188,"{'stop_price': 163.06413208007814, 'shares': 70}"
GME,A,True,0.988,98.8,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 0.877646553738992, 'adr_pct': 21.739041142303307, 'dist_sma20': 11.214449439410904, 'consol_days': 19, 'volume': 82874400.0, 'dollar_vol_M': 2710.083385042839, 'rs_ret': 1.0862349512398997, 'rs_percentile': 91.29087118718454, 'close': 28.700000762939453, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-14,A_BOTH,A_BOTH_PRO,28.700000762939453,"{'stop_price': 26.404000701904298, 'shares': 435}"
MU,A,True,0.677,67.7,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 0.8994089744711721, 'adr_pct': 3.413704292326295, 'dist_sma20': 7.742258644231641, 'consol_days': 17, 'volume': 14028500.0, 'dollar_vol_M': 2190.4194872644043, 'rs_ret': 0.4272477043395524, 'rs_percentile': 82.9630239192451, 'close': 140.434326171875, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-14,A_BOTH,A_BOTH_PRO,140.434326171875,"{'stop_price': 129.199580078125, 'shares': 89}"
SMH,A,True,0.691,69.1,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 0.8471053960491881, 'adr_pct': 2.051666691575929, 'dist_sma20': 8.162780734473007, 'consol_days': 17, 'volume': 6257000.0, 'dollar_vol_M': 1963.8817393112183, 'rs_ret': 0.1677381826864488, 'rs_percentile': 85.5678077682686, 'close': 265.8805847167969, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-14,A_BOTH,A_BOTH_PRO,265.8805847167969,"{'stop_price': 244.61013793945312, 'shares': 47}"
PDD,A,True,0.668,66.8,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 0.7388559918448034, 'adr_pct': 3.7391193152465867, 'dist_sma20': 0.34721788630244527, 'consol_days': 19, 'volume': 8585200.0, 'dollar_vol_M': 1731.085723655777, 'rs_ret': 0.08433937332581354, 'rs_percentile': 79.71746763221417, 'close': 148.97999572753906, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-14,A_BOTH,A_BOTH_PRO,148.97999572753906,"{'stop_price': 137.06159606933593, 'shares': 83}"
NFLX,A,True,0.616,61.6,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 1.6046981561000253, 'adr_pct': 2.2644347332168726, 'dist_sma20': 3.7819422573072665, 'consol_days': 19, 'volume': 44471000.0, 'dollar_vol_M': 1855.0528921051025, 'rs_ret': 0.023572879276016145, 'rs_percentile': 77.22789115646259, 'close': 66.93800354003906, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-14,A_BOTH,A_BOTH_PRO,66.93800354003906,"{'stop_price': 61.58296325683594, 'shares': 186}"
ANET,A,True,0.627,62.7,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 0.9447821459046245, 'adr_pct': 2.655069098897903, 'dist_sma20': 6.79124015013828, 'consol_days': 19, 'volume': 8592000.0, 'dollar_vol_M': 746.85789, 'rs_ret': 0.06478170099294522, 'rs_percentile': 79.63298222514813, 'close': 82.125, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-14,A_BOTH,A_BOTH_PRO,82.125,"{'stop_price': 75.555, 'shares': 152}"
KKR,A,True,0.617,61.7,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 1.0268719357253033, 'adr_pct': 2.8793500410992, 'dist_sma20': 3.8795410100368146, 'consol_days': 16, 'volume': 5069600.0, 'dollar_vol_M': 534.4644954940796, 'rs_ret': 0.06635595295645835, 'rs_percentile': 77.8598858898398, 'close': 108.25836181640625, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-14,A_BOTH,A_BOTH_PRO,108.25836181640625,"{'stop_price': 99.59769287109376, 'shares': 115}"
ISRG,A,True,0.635,63.5,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 0.7774899715361004, 'adr_pct': 2.0416216074435507, 'dist_sma20': 4.007963729501567, 'consol_days': 18, 'volume': 941000.0, 'dollar_vol_M': 515.323661422577, 'rs_ret': 0.047863528876765704, 'rs_percentile': 80.32971253017335, 'close': 425.7799987792969, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-14,A_BOTH,A_BOTH_PRO,425.7799987792969,"{'stop_price': 391.71759887695316, 'shares': 29}"
NVO,A,True,0.65,65.0,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 0.8180628461318458, 'adr_pct': 1.548648019899675, 'dist_sma20': 3.413364767181092, 'consol_days': 15, 'volume': 2831700.0, 'dollar_vol_M': 478.2378698687744, 'rs_ret': 0.0581682358314779, 'rs_percentile': 81.72536756638138, 'close': 138.16033935546875, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-14,A_BOTH,A_BOTH_PRO,138.16033935546875,"{'stop_price': 127.10751220703125, 'shares': 90}"
