ticker,mode,sector_etf,best_theme,theme_vs_sector,passed_with_filter,reject_reason,passed_without_filter,blocked_by_theme,blocked_by_sector,target_hold_days
SPY,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
SPY,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
QQQ,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
QQQ,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
NVDA,A,XLK,,0.0968213528980334,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
NVDA,B,XLK,,0.0968213528980334,False,screener_fail:minervini_trend=FAIL,False,False,False,20
TSLA,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
TSLA,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MSFT,A,XLK,,-0.04408220748957403,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
MSFT,B,XLK,,-0.04408220748957403,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MU,A,XLK,,0.0968213528980334,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
MU,B,XLK,,0.0968213528980334,False,screener_fail:minervini_trend=FAIL,False,False,False,20
AAPL,A,XLK,,0.1845873329413269,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
AAPL,B,XLK,,0.1845873329413269,False,screener_fail:minervini_trend=FAIL,False,False,False,20
SNDK,A,,,0.0,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
SNDK,B,,,0.0,False,screener_fail:minervini_trend=FAIL,False,False,False,20
AMZN,A,XLY,,-0.12562255756916452,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
AMZN,B,XLY,,-0.12562255756916452,False,screener_fail:minervini_trend=FAIL,False,False,False,20
GOOGL,A,XLK,,-0.04408220748957403,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
GOOGL,B,XLK,,-0.04408220748957403,False,screener_fail:minervini_trend=FAIL,False,False,False,20
IWM,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
