ticker,mode,reject_reason,sector_etf,sector_etf_dist
SPY,A,screener_fail:qullamaggie_momentum=FAIL,,
SPY,B,screener_fail:minervini_trend=FAIL,,
QQQ,A,screener_fail:qullamaggie_momentum=FAIL,,
QQQ,B,screener_fail:minervini_trend=FAIL,,
NVDA,A,screener_fail:qullamaggie_momentum=FAIL,XLK,-0.013225116801069081
NVDA,B,screener_fail:minervini_trend=FAIL,XLK,-0.013225116801069081
TSLA,A,screener_fail:qullamaggie_momentum=FAIL,XLK,-0.013225116801069081
TSLA,B,screener_fail:minervini_trend=FAIL,XLK,-0.013225116801069081
MU,A,screener_fail:qullamaggie_momentum=FAIL,,
MU,B,screener_fail:minervini_trend=FAIL,,
MSFT,A,screener_fail:qullamaggie_momentum=FAIL,XLK,-0.013225116801069081
MSFT,B,screener_fail:minervini_trend=FAIL,XLK,-0.013225116801069081
SNDK,A,screener_fail:qullamaggie_momentum=FAIL,,
SNDK,B,screener_fail:minervini_trend=FAIL,,
IWM,A,screener_fail:qullamaggie_momentum=FAIL,,
IWM,B,screener_fail:minervini_trend=FAIL,,
AAPL,A,screener_fail:qullamaggie_momentum=FAIL,XLK,-0.013225116801069081
AAPL,B,screener_fail:minervini_trend=FAIL,XLK,-0.013225116801069081
AMZN,A,screener_fail:qullamaggie_momentum=FAIL,XLY,-0.02961809174974306
AMZN,B,screener_fail:minervini_trend=FAIL,XLY,-0.02961809174974306
GOOGL,A,screener_fail:qullamaggie_momentum=FAIL,XLK,-0.013225116801069081
GOOGL,B,screener_fail:minervini_trend=FAIL,XLK,-0.013225116801069081
META,A,screener_fail:qullamaggie_momentum=FAIL,XLK,-0.013225116801069081
META,B,screener_fail:minervini_trend=FAIL,XLK,-0.013225116801069081
AMD,A,screener_fail:qullamaggie_momentum=FAIL,XLK,-0.013225116801069081
AMD,B,screener_fail:minervini_trend=FAIL,XLK,-0.013225116801069081
GOOG,A,screener_fail:qullamaggie_momentum=FAIL,XLC,-0.026272832326371676
GOOG,B,screener_fail:minervini_trend=FAIL,XLC,-0.026272832326371676
LITE,A,screener_fail:qullamaggie_momentum=FAIL,,
LITE,B,screener_fail:minervini_trend=FAIL,,
TSM,A,screener_fail:qullamaggie_momentum=FAIL,,
TSM,B,screener_fail:minervini_trend=FAIL,,
NFLX,A,screener_fail:qullamaggie_momentum=FAIL,XLC,-0.026272832326371676
NFLX,B,screener_fail:minervini_trend=FAIL,XLC,-0.026272832326371676
ORCL,A,screener_fail:qullamaggie_momentum=FAIL,XLK,-0.013225116801069081
ORCL,B,screener_fail:minervini_trend=FAIL,XLK,-0.013225116801069081
INTC,A,screener_fail:qullamaggie_momentum=FAIL,XLK,-0.013225116801069081
INTC,B,screener_fail:minervini_trend=FAIL,XLK,-0.013225116801069081
XLE,A,tier2_fail:rvol:0.63<1.10,,
XLE,B,screener_fail:minervini_trend=FAIL,,
XOM,A,tier2_fail:rvol:1.08<1.10,XLE,0.05170280901348767
XOM,B,screener_fail:minervini_trend=FAIL,XLE,0.05170280901348767
SMH,A,screener_fail:qullamaggie_momentum=FAIL,,
SMH,B,screener_fail:minervini_trend=FAIL,,
DIA,A,screener_fail:qullamaggie_momentum=FAIL,,
DIA,B,screener_fail:minervini_trend=FAIL,,
XLF,A,screener_fail:qullamaggie_momentum=FAIL,,
XLF,B,screener_fail:minervini_trend=FAIL,,
JPM,A,screener_fail:qullamaggie_momentum=FAIL,XLF,-0.015210288933146576
JPM,B,screener_fail:minervini_trend=FAIL,XLF,-0.015210288933146576
VRT,A,tier2_fail:rvol:0.58<1.10,,
VRT,B,screener_fail:minervini_trend=FAIL,,
WMT,A,screener_fail:qullamaggie_momentum=FAIL,XLP,-0.047914035905369357
WMT,B,screener_fail:minervini_trend=FAIL,XLP,-0.047914035905369357
CVX,A,tier2_fail:dist_sma20:6.89>6.77,XLE,0.05170280901348767
CVX,B,screener_fail:minervini_trend=FAIL,XLE,0.05170280901348767
CRM,A,screener_fail:qullamaggie_momentum=FAIL,XLK,-0.013225116801069081
CRM,B,screener_fail:minervini_trend=FAIL,XLK,-0.013225116801069081
LLY,A,screener_fail:qullamaggie_momentum=FAIL,XLV,-0.04914128089443692
LLY,B,screener_fail:minervini_trend=FAIL,XLV,-0.04914128089443692
COLB,A,screener_fail:qullamaggie_momentum=FAIL,,
COLB,B,screener_fail:minervini_trend=FAIL,,
XLK,A,screener_fail:qullamaggie_momentum=FAIL,,
XLK,B,screener_fail:minervini_trend=FAIL,,
CRCL,A,screener_fail:qullamaggie_momentum=FAIL,,
CRCL,B,screener_fail:minervini_trend=FAIL,,
IBIT,A,screener_fail:qullamaggie_momentum=FAIL,,
IBIT,B,screener_fail:minervini_trend=FAIL,,
COIN,A,screener_fail:qullamaggie_momentum=FAIL,,
COIN,B,screener_fail:minervini_trend=FAIL,,
XLI,A,screener_fail:qullamaggie_momentum=FAIL,,
XLI,B,screener_fail:minervini_trend=FAIL,,
WDC,A,tier2_fail:rvol:0.78<1.10,,
WDC,B,screener_fail:minervini_trend=FAIL,,
AMAT,A,tier2_fail:rvol:0.89<1.10,,
AMAT,B,screener_fail:minervini_trend=FAIL,,
LRCX,A,screener_fail:qullamaggie_momentum=FAIL,,
LRCX,B,screener_fail:minervini_trend=FAIL,,
XLV,A,screener_fail:qullamaggie_momentum=FAIL,,
XLV,B,screener_fail:minervini_trend=FAIL,,
V,A,screener_fail:qullamaggie_momentum=FAIL,,
V,B,screener_fail:minervini_trend=FAIL,,
GS,A,screener_fail:qullamaggie_momentum=FAIL,XLF,-0.015210288933146576
GS,B,screener_fail:minervini_trend=FAIL,XLF,-0.015210288933146576
UNH,A,screener_fail:qullamaggie_momentum=FAIL,XLV,-0.04914128089443692
UNH,B,screener_fail:minervini_trend=FAIL,XLV,-0.04914128089443692
GEV,A,screener_fail:qullamaggie_momentum=FAIL,,
GEV,B,screener_fail:minervini_trend=FAIL,,
GFI,A,screener_fail:qullamaggie_momentum=FAIL,,
GFI,B,screener_fail:minervini_trend=FAIL,,
HOOD,A,screener_fail:qullamaggie_momentum=FAIL,,
HOOD,B,screener_fail:minervini_trend=FAIL,,
CAT,A,screener_fail:qullamaggie_momentum=FAIL,XLI,-0.039895219851374675
CAT,B,screener_fail:minervini_trend=FAIL,XLI,-0.039895219851374675
JNJ,A,screener_fail:qullamaggie_momentum=FAIL,XLV,-0.04914128089443692
JNJ,B,screener_fail:minervini_trend=FAIL,XLV,-0.04914128089443692
CSCO,A,screener_fail:qullamaggie_momentum=FAIL,XLK,-0.013225116801069081
CSCO,B,screener_fail:minervini_trend=FAIL,XLK,-0.013225116801069081
GLW,A,screener_fail:qullamaggie_momentum=FAIL,,
GLW,B,screener_fail:minervini_trend=FAIL,,
