agent_name,combo_name,ticker,signal_date,entry_score,screener_score,screener_reason,pattern_signal,tier2_filter,rvol,adr_pct,dist_sma20,consol_days,volume,dollar_vol_M,rs_ret,rs_percentile,entry_price,reject_contract,screener_metrics
combo_universal_any,combo_universal_any,ADM,2026-03-13,0.5,50.0,universal_any=PASS,any,passed,1.04,3.04,4.86,17,3630693,250.5,0.1662,74.9,71.98,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""ADM"", ""screener_name"": ""universal_any"", ""score"": 50.0, ""metrics"": {""benchmark_mode"": true, ""price"": 71.9800033569336, ""avg_volume"": 3630693.0, ""dollar_volume"": 261337294.3279953}, ""reason"": ""Universal benchmark passed""}]}"
combo_universal_any,combo_universal_any,AEM,2026-03-13,0.5,50.0,universal_any=PASS,any,passed,1.12,4.19,-9.45,18,2697502,501.9,0.2029,77.2,207.54,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""AEM"", ""screener_name"": ""universal_any"", ""score"": 50.0, ""metrics"": {""benchmark_mode"": true, ""price"": 207.5399932861328, ""avg_volume"": 2697502.0, ""dollar_volume"": 559839546.9693298}, ""reason"": ""Universal benchmark passed""}]}"
combo_universal_any,combo_universal_any,AG,2026-03-13,0.5,50.0,universal_any=PASS,any,passed,0.94,6.49,-15.9,16,21715750,519.8,0.3774,84.5,22.56,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""AG"", ""screener_name"": ""universal_any"", ""score"": 50.0, ""metrics"": {""benchmark_mode"": true, ""price"": 22.559999465942383, ""avg_volume"": 21715750.0, ""dollar_volume"": 489907308.4025383}, ""reason"": ""Universal benchmark passed""}]}"
combo_universal_any,combo_universal_any,APLD,2026-03-13,0.5,50.0,universal_any=PASS,any,passed,1.0,7.6,-6.79,20,18034746,487.3,0.1476,72.5,27.05,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""APLD"", ""screener_name"": ""universal_any"", ""score"": 50.0, ""metrics"": {""benchmark_mode"": true, ""price"": 27.049999237060547, ""avg_volume"": 18034746.0, ""dollar_volume"": 487839865.54058075}, ""reason"": ""Universal benchmark passed""}]}"
combo_universal_any,combo_universal_any,ARIS,2026-03-13,0.5,50.0,universal_any=PASS,any,passed,1.1,5.49,-8.83,20,1533772,25.9,0.1502,73.1,18.58,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""ARIS"", ""screener_name"": ""universal_any"", ""score"": 50.0, ""metrics"": {""benchmark_mode"": true, ""price"": 18.579999923706055, ""avg_volume"": 1533772.0, ""dollar_volume"": 28497483.642982483}, ""reason"": ""Universal benchmark passed""}]}"
combo_universal_any,combo_universal_any,BHP,2026-03-13,0.5,50.0,universal_any=PASS,any,passed,1.0,2.64,-8.44,18,4401742,303.2,0.1319,70.5,68.74,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""BHP"", ""screener_name"": ""universal_any"", ""score"": 50.0, ""metrics"": {""benchmark_mode"": true, ""price"": 68.73999786376953, ""avg_volume"": 4401742.0, ""dollar_volume"": 302575735.6768646}, ""reason"": ""Universal benchmark passed""}]}"
combo_universal_any,combo_universal_any,BP,2026-03-13,0.5,50.0,universal_any=PASS,any,passed,1.19,2.03,8.78,15,14385766,515.9,0.181,76.0,42.67,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""BP"", ""screener_name"": ""universal_any"", ""score"": 50.0, ""metrics"": {""benchmark_mode"": true, ""price"": 42.66999816894531, ""avg_volume"": 14385766.0, ""dollar_volume"": 613840608.8788757}, ""reason"": ""Universal benchmark passed""}]}"
combo_universal_any,combo_universal_any,BR,2026-03-13,0.5,50.0,universal_any=PASS,any,passed,1.06,2.9,-2.13,19,1472839,248.4,2.4277,91.8,178.32,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""BR"", ""screener_name"": ""universal_any"", ""score"": 50.0, ""metrics"": {""benchmark_mode"": true, ""price"": 178.32000732421875, ""avg_volume"": 1472839.0, ""dollar_volume"": 262636661.26739502}, ""reason"": ""Universal benchmark passed""}]}"
combo_universal_any,combo_universal_any,BVN,2026-03-13,0.5,50.0,universal_any=PASS,any,passed,1.76,5.14,-8.91,19,2916947,58.4,0.243,78.9,35.26,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""BVN"", ""screener_name"": ""universal_any"", ""score"": 50.0, ""metrics"": {""benchmark_mode"": true, ""price"": 35.2599983215332, ""avg_volume"": 2916947.0, ""dollar_volume"": 102851546.32400131}, ""reason"": ""Universal benchmark passed""}]}"
combo_universal_any,combo_universal_any,BW,2026-03-13,0.5,50.0,universal_any=PASS,any,passed,2.3,10.25,-1.27,14,10675162,48.8,0.8711,88.3,10.51,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""BW"", ""screener_name"": ""universal_any"", ""score"": 50.0, ""metrics"": {""benchmark_mode"": true, ""price"": 10.510000228881836, ""avg_volume"": 10675162.0, ""dollar_volume"": 112195955.06335068}, ""reason"": ""Universal benchmark passed""}]}"
