agent_name,combo_name,ticker,signal_date,entry_score,screener_score,screener_reason,pattern_signal,tier2_filter,rvol,adr_pct,dist_sma20,consol_days,volume,dollar_vol_M,rs_ret,rs_percentile,entry_price,reject_contract,screener_metrics
combo_pullback_entry,combo_pullback_entry,D,2026-03-13,0.994,99.4,ema21_pullback=PASS,pocket_pivot,passed,0.7,2.06,-0.35,19,4293777,385.9,0.0268,57.6,63.21,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""D"", ""screener_name"": ""ema21_pullback"", ""score"": 99.4, ""metrics"": {""criteria"": {""in_ema21_zone"": true, ""in_sma50_zone"": true, ""price_above_ema21_low"": true}, ""price"": 63.209999084472656, ""ema21"": 62.9, ""sma50"": 61.7, ""atr"": 1.2, ""r_from_ema21"": 0.26, ""r_from_sma50"": 1.26}, ""reason"": ""EMA21 pullback OK""}]}"
combo_pullback_entry,combo_pullback_entry,AHR,2026-03-13,0.982,98.2,ema21_pullback=PASS,pocket_pivot,passed,0.94,2.33,-0.44,19,2410757,133.8,0.0814,64.0,52.16,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""AHR"", ""screener_name"": ""ema21_pullback"", ""score"": 98.2, ""metrics"": {""criteria"": {""in_ema21_zone"": true, ""in_sma50_zone"": true, ""price_above_ema21_low"": true}, ""price"": 52.15999984741211, ""ema21"": 51.79, ""sma50"": 49.61, ""atr"": 1.37, ""r_from_ema21"": 0.27, ""r_from_sma50"": 1.86}, ""reason"": ""EMA21 pullback OK""}]}"
combo_pullback_entry,combo_pullback_entry,CLMT,2026-03-13,0.964,96.4,ema21_pullback=PASS,pocket_pivot,passed,0.53,5.2,-1.29,18,819756,43.8,0.3706,84.2,28.59,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""CLMT"", ""screener_name"": ""ema21_pullback"", ""score"": 96.4, ""metrics"": {""criteria"": {""in_ema21_zone"": true, ""in_sma50_zone"": true, ""price_above_ema21_low"": true}, ""price"": 28.59000015258789, ""ema21"": 28.14, ""sma50"": 24.71, ""atr"": 1.58, ""r_from_ema21"": 0.29, ""r_from_sma50"": 2.46}, ""reason"": ""EMA21 pullback OK""}]}"
combo_pullback_entry,combo_pullback_entry,BTU,2026-03-13,0.959,95.9,ema21_pullback=PASS,pocket_pivot,passed,0.66,5.53,3.14,19,1816802,95.0,0.2038,77.8,34.64,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""BTU"", ""screener_name"": ""ema21_pullback"", ""score"": 95.9, ""metrics"": {""criteria"": {""in_ema21_zone"": true, ""in_sma50_zone"": true, ""price_above_ema21_low"": true}, ""price"": 34.63999938964844, ""ema21"": 34.03, ""sma50"": 34.39, ""atr"": 2.11, ""r_from_ema21"": 0.29, ""r_from_sma50"": 0.12}, ""reason"": ""EMA21 pullback OK""}]}"
combo_pullback_entry,combo_pullback_entry,AA,2026-03-13,0.907,90.7,ema21_pullback=PASS,pocket_pivot,passed,0.83,6.21,2.92,18,5743317,440.9,0.3707,84.5,63.59,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""AA"", ""screener_name"": ""ema21_pullback"", ""score"": 90.7, ""metrics"": {""criteria"": {""in_ema21_zone"": true, ""in_sma50_zone"": true, ""price_above_ema21_low"": true}, ""price"": 63.59000015258789, ""ema21"": 62.1, ""sma50"": 61.25, ""atr"": 4.35, ""r_from_ema21"": 0.34, ""r_from_sma50"": 0.54}, ""reason"": ""EMA21 pullback OK""}]}"
combo_pullback_entry,combo_pullback_entry,CB,2026-03-13,0.889,88.9,ema21_pullback=PASS,pocket_pivot,passed,0.93,1.88,-0.59,20,1669434,591.0,0.0229,56.7,328.97,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""CB"", ""screener_name"": ""ema21_pullback"", ""score"": 88.9, ""metrics"": {""criteria"": {""in_ema21_zone"": true, ""in_sma50_zone"": true, ""price_above_ema21_low"": true}, ""price"": 328.9700012207031, ""ema21"": 328.08, ""sma50"": 319.19, ""atr"": 6.43, ""r_from_ema21"": 0.14, ""r_from_sma50"": 1.52}, ""reason"": ""EMA21 pullback OK""}]}"
combo_pullback_entry,combo_pullback_entry,CCI,2026-03-13,0.838,83.8,ema21_pullback=PASS,pocket_pivot,passed,0.54,2.79,-0.18,20,1726905,281.7,-0.0521,47.7,87.47,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""CCI"", ""screener_name"": ""ema21_pullback"", ""score"": 83.8, ""metrics"": {""criteria"": {""in_ema21_zone"": true, ""in_sma50_zone"": true, ""price_above_ema21_low"": true}, ""price"": 87.47000122070312, ""ema21"": 87.26, ""sma50"": 86.73, ""atr"": 2.4, ""r_from_ema21"": 0.09, ""r_from_sma50"": 0.31}, ""reason"": ""EMA21 pullback OK""}]}"
combo_pullback_entry,combo_pullback_entry,DFTX,2026-03-13,0.835,83.5,ema21_pullback=PASS,pocket_pivot,passed,1.02,5.76,2.88,19,1628127,28.8,0.4656,86.0,18.06,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""DFTX"", ""screener_name"": ""ema21_pullback"", ""score"": 83.5, ""metrics"": {""criteria"": {""in_ema21_zone"": true, ""in_sma50_zone"": true, ""price_above_ema21_low"": true}, ""price"": 18.059999465942383, ""ema21"": 17.64, ""sma50"": 16.6, ""atr"": 1.02, ""r_from_ema21"": 0.42, ""r_from_sma50"": 1.43}, ""reason"": ""EMA21 pullback OK""}]}"
combo_pullback_entry,combo_pullback_entry,CRWV,2026-02-12,0.815,81.5,ema21_pullback=PASS,pocket_pivot,passed,0.71,8.96,1.54,17,20416400,2755.9,0.2076,78.1,95.7,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""CRWV"", ""screener_name"": ""ema21_pullback"", ""score"": 81.5, ""metrics"": {""criteria"": {""in_ema21_zone"": true, ""in_sma50_zone"": true, ""price_above_ema21_low"": true}, ""price"": 95.69999694824219, ""ema21"": 91.44, ""sma50"": 85.58, ""atr"": 9.8, ""r_from_ema21"": 0.43, ""r_from_sma50"": 1.03}, ""reason"": ""EMA21 pullback OK""}]}"
combo_pullback_entry,combo_pullback_entry,DDOG,2026-03-13,0.767,76.7,ema21_pullback=PASS,pocket_pivot,passed,0.71,5.7,5.0,19,3938602,686.5,-0.1529,32.2,124.52,screener_fail:<reason> | tier2_fail:<metric:value op threshold>,"{""individual"": [{""passed"": true, ""ticker"": ""DDOG"", ""screener_name"": ""ema21_pullback"", ""score"": 76.7, ""metrics"": {""criteria"": {""in_ema21_zone"": true, ""in_sma50_zone"": true, ""price_above_ema21_low"": true}, ""price"": 124.5199966430664, ""ema21"": 121.37, ""sma50"": 123.58, ""atr"": 6.52, ""r_from_ema21"": 0.48, ""r_from_sma50"": 0.14}, ""reason"": ""EMA21 pullback OK""}]}"
