ticker,mode,sector_etf,sector_etf_dist,passed_with_sector,reject_reason_with_sector,passed_without_sector,reject_reason_without_sector,blocked_by_sector
SPY,A,,,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
SPY,B,,,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
QQQ,A,,,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
QQQ,B,,,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
NVDA,A,XLK,0.10670954422410395,False,tier2_fail:dist_sma20:10.56>6.77,False,tier2_fail:dist_sma20:10.56>6.77,False
NVDA,B,XLK,0.10670954422410395,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
TSLA,A,XLK,0.10670954422410395,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
TSLA,B,XLK,0.10670954422410395,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
MU,A,,,False,tier2_fail:rvol:0.78<1.10,False,tier2_fail:rvol:0.78<1.10,False
MU,B,,,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
SNDK,A,,,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
SNDK,B,,,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
MSFT,A,XLK,0.10670954422410395,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
MSFT,B,XLK,0.10670954422410395,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
IWM,A,,,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
IWM,B,,,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
AAPL,A,XLK,0.10670954422410395,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
AAPL,B,XLK,0.10670954422410395,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
AMZN,A,XLY,0.04466381586943191,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
AMZN,B,XLY,0.04466381586943191,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
META,A,XLK,0.10670954422410395,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
META,B,XLK,0.10670954422410395,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
AMD,A,XLK,0.10670954422410395,False,tier2_fail:dist_sma20:38.65>6.77,False,tier2_fail:dist_sma20:38.65>6.77,False
AMD,B,XLK,0.10670954422410395,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
GOOGL,A,XLK,0.10670954422410395,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
GOOGL,B,XLK,0.10670954422410395,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
INTC,A,XLK,0.10670954422410395,False,tier2_fail:dist_sma20:38.60>6.77,False,tier2_fail:dist_sma20:38.60>6.77,False
INTC,B,XLK,0.10670954422410395,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
GOOG,A,XLC,0.01005333973262501,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
GOOG,B,XLC,0.01005333973262501,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
TSM,A,,,False,tier2_fail:dist_sma20:11.55>6.77,False,tier2_fail:dist_sma20:11.55>6.77,False
TSM,B,,,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
ORCL,A,XLK,0.10670954422410395,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
ORCL,B,XLK,0.10670954422410395,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
NFLX,A,XLC,0.01005333973262501,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
NFLX,B,XLC,0.01005333973262501,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
LITE,A,,,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
LITE,B,,,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
MRVL,A,,,False,tier2_fail:dist_sma20:29.58>6.77,False,tier2_fail:dist_sma20:29.58>6.77,False
MRVL,B,,,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
XLE,A,,,False,screener_fail:qullamaggie_momentum=FAIL,False,screener_fail:qullamaggie_momentum=FAIL,False
XLE,B,,,False,screener_fail:minervini_trend=FAIL,False,screener_fail:minervini_trend=FAIL,False
