ticker,agent_name,entry_score,entry_price,breakout_level,rvol,live_volume,signal_date,source_universe,decision_source,data_quality_status
AAOI,finviz_live,78.3157894736842,194.3950042724609,191.87,1.53,6235433,2026-05-12,finviz,finviz_live_promoter,ok
AG,finviz_live,71.57894736842105,23.915000915527344,23.07,1.85,6302284,2026-05-12,finviz,finviz_live_promoter,ok
B,finviz_live,65.05263157894737,45.61000061035156,44.11,1.96,3153435,2026-05-12,finviz,finviz_live_promoter,ok
BTI,finviz_live,51.78947368421053,61.810001373291016,59.98,1.88,1494957,2026-05-12,finviz,finviz_live_promoter,ok
COHR,finviz_live,81.89473684210526,374.1400146484375,364.8,1.51,1519731,2026-05-12,finviz,finviz_live_promoter,ok
CSCO,finviz_live,77.47368421052632,99.38999938964844,97.02,1.72,6663434,2026-05-12,finviz,finviz_live_promoter,ok
FOX,finviz_live,64.63157894736841,59.2400016784668,59.04,1.71,264673,2026-05-12,finviz,finviz_live_promoter,ok
FSLR,finviz_live,73.47368421052632,228.69000244140625,223.89,1.54,489583,2026-05-12,finviz,finviz_live_promoter,ok
HIMX,finviz_live,99.3684210526316,19.420000076293945,19.3,2.6,3270826,2026-05-12,finviz,finviz_live_promoter,ok
INOD,finviz_live,99.78947368421052,94.80999755859376,91.88,4.5,1527809,2026-05-12,finviz,finviz_live_promoter,ok
LITE,finviz_live,78.94736842105263,1037.4599609375,1021.0,1.63,2307403,2026-05-12,finviz,finviz_live_promoter,ok
LQDA,finviz_live,89.26315789473685,51.38999938964844,42.96,5.23,861603,2026-05-12,finviz,finviz_live_promoter,ok
MU,finviz_live,98.52631578947368,759.0150146484375,747.21,1.59,28954962,2026-05-12,finviz,finviz_live_promoter,ok
NVTS,finviz_live,99.57894736842104,19.959999084472656,19.79,1.73,11904601,2026-05-12,finviz,finviz_live_promoter,ok
P,finviz_live,89.89473684210526,82.4000015258789,79.39,3.94,1211479,2026-05-12,finviz,finviz_live_promoter,ok
PSLV,finviz_live,72.0,27.58009910583496,26.99,1.98,5520222,2026-05-12,finviz,finviz_live_promoter,ok
RKLB,finviz_live,97.05263157894736,118.90499877929688,105.62,2.05,22019865,2026-05-12,finviz,finviz_live_promoter,ok
SMTC,finviz_live,93.6842105263158,130.0500030517578,127.19,1.64,755923,2026-05-12,finviz,finviz_live_promoter,ok
SONY,finviz_live,48.21052631578947,22.1200008392334,22.05,2.37,3225141,2026-05-12,finviz,finviz_live_promoter,ok
BIIB,finviz_live,70.10526315789474,200.2899932861328,195.98,1.56,119492,2026-05-12,finviz,finviz_live_promoter,ok
KGS,finviz_live,77.89473684210526,74.36000061035156,71.92,2.44,173076,2026-05-12,finviz,finviz_live_promoter,ok
SOLV,finviz_live,66.3157894736842,74.65499877929688,73.4,1.5,233295,2026-05-12,finviz,finviz_live_promoter,ok
SGHC,finviz_live,79.70401691331924,13.524999618530272,13.48,1.68,2348498,2026-05-12,finviz,finviz_live_promoter,ok
FOXA,finviz_live,61.94503171247357,66.08000183105469,66.0,2.37,783737,2026-05-12,finviz,finviz_live_promoter,ok
BW,finviz_live,49.89339019189765,18.90999984741211,18.8,2.87,2903272,2026-05-12,finviz,finviz_live_promoter,ok
TXRH,finviz_live,69.13319238900634,184.82000732421875,183.52,1.79,699913,2026-05-12,finviz,finviz_live_promoter,ok
HL,finviz_live,60.46511627906976,20.3700008392334,20.36,1.92,15018426,2026-05-12,finviz,finviz_live_promoter,ok
GLW,finviz_live,75.26427061310783,198.8099975585937,198.25,1.7,34560264,2026-05-12,finviz,finviz_live_promoter,ok
WMG,finviz_live,72.09302325581395,33.60499954223633,33.6,1.9,3389941,2026-05-12,finviz,finviz_live_promoter,ok
NXT,finviz_live,74.89270386266095,151.14999389648438,131.25,1.74,453105,2026-05-12,finviz,finviz_live_promoter,ok
PENG,finviz_live,97.63948497854076,52.369998931884766,44.74,1.8,1034895,2026-05-12,finviz,finviz_live_promoter,ok
MTSI,finviz_live,91.41630901287554,372.0,364.0,1.55,157275,2026-05-12,finviz,finviz_live_promoter,ok
AKAM,finviz_live,96.5665236051502,152.09500122070312,149.76,1.68,245699,2026-05-12,finviz,finviz_live_promoter,ok
FLEX,finviz_live,98.28326180257513,143.7100067138672,142.59,1.53,394406,2026-05-12,finviz,finviz_live_promoter,ok
BIDU,finviz_live,87.76824034334764,150.6699981689453,149.38,1.67,1533490,2026-05-12,finviz,finviz_live_promoter,ok
ACMR,finviz_live,87.98283261802575,64.9000015258789,63.95,1.63,770283,2026-05-12,finviz,finviz_live_promoter,ok
WRBY,finviz_live,89.69957081545064,29.774999618530273,29.71,1.56,1141356,2026-05-12,finviz,finviz_live_promoter,ok
