ticker,in_local,in_finviz,mode,sector_etf,best_theme,theme_vs_sector,passed_with_filter,reject_reason,passed_without_filter,blocked_by_theme,blocked_by_sector,target_hold_days
AAL,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
AAL,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
AAOI,True,False,A,,,,False,tier2_fail:dist_sma20:35.27>6.77,False,False,False,20
AAOI,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
AAPL,True,False,A,XLK,,,False,tier2_fail:rvol:1.07<1.10,False,False,False,20
AAPL,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ABBV,True,False,A,XLV,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ABBV,True,False,B,XLV,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ABC,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ABC,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ABMD,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ABMD,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ABT,True,False,A,XLV,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ABT,True,False,B,XLV,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ACN,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ACN,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ADBE,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ADBE,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ADC,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ADC,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ADI,True,False,A,XLK,,,False,tier2_fail:rs_percentile:None<58.0,False,False,False,20
ADI,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ADS,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ADS,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
AKAM,True,False,A,,,,False,tier2_fail:dist_sma20:43.31>6.77,False,False,False,20
AKAM,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ALAB,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ALAB,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
AMAT,True,False,A,XLK,,,False,tier2_fail:dist_sma20:7.31>6.77,False,False,False,20
AMAT,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
AMD,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
AMD,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
AMGN,True,False,A,XLV,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
AMGN,True,False,B,XLV,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
AMZN,True,False,A,XLY,,,False,tier2_fail:rvol:0.26<1.10,False,False,False,20
AMZN,True,False,B,XLY,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ANET,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ANET,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
APH,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
APH,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
APLD,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
APLD,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
APP,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
APP,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ARM,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ARM,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ASML,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ASML,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ASTS,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ASTS,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
AVGO,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
AVGO,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
AXP,True,False,A,XLF,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
