ticker,agent_name,entry_score,entry_price,breakout_level,rvol,live_volume,signal_date,source_universe,decision_source,data_quality_status,sector_etf,dollar_vol_M,dist_sma20,waiting_for,primary_reason,live_trigger_status,entry_gate_status,entry_gate_reason,entry_gate_source,gate_rs_percentile,gate_adr_pct,gate_dollar_vol_M,gate_dist_sma20,gate_sector_etf_dist
DXCM,finviz_live,84.21052631578947,71.45999908447266,67.75,1.68,4722503,2026-05-21,finviz,finviz_live_promoter,ok,XLV,0.0,16.46,SMA20>SMA50 (-2.95%),MA stack roto,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,84.21052631578947,4.15,803.16,16.46,
ERIC,finviz_live,84.86842105263158,13.329999923706055,12.87,1.16,7999761,2026-05-21,finviz,finviz_live_promoter,ok,XLK,0.0,8.11,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,84.86842105263158,2.35,125.32,8.11,
DAL,finviz_live,77.41228070175438,75.27999877929688,74.77,1.64,4658353,2026-05-21,finviz,finviz_live_promoter,ok,XLI,0.0,5.98,Breakout > 74.77,Falta breakout,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,77.41228070175438,3.08,885.07,5.98,
CRWD,finviz_live,95.17543859649122,647.7750244140625,634.24,1.44,1599534,2026-05-21,finviz,finviz_live_promoter,ok,XLK,0.0,26.05,SMA100>SMA200 (-4.36%),MA stack roto,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,95.17543859649122,4.28,2845.14,26.05,5.18
DB,finviz_live,58.99122807017544,33.0625,32.74,1.73,2559547,2026-05-21,finviz,finviz_live_promoter,ok,XLF,0.0,4.42,SMA50>SMA100 (-9.13%),MA stack roto,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,58.99122807017544,1.97,167.64,4.42,
ASTS,finviz_live,70.6140350877193,92.6395034790039,90.95,1.01,18094083,2026-05-21,finviz,finviz_live_promoter,ok,XLK,0.0,17.58,Breakout > 90.95,Falta breakout,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,70.6140350877193,9.23,1782.48,17.58,
PANW,finviz_live,94.2982456140351,251.22500610351562,248.85,1.1,3513707,2026-05-21,finviz,finviz_live_promoter,ok,XLK,0.0,20.72,Breakout > 248.85,Falta breakout,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,94.2982456140351,4.49,2144.04,20.72,5.18
VSH,finviz_live,96.71052631578947,42.165000915527344,40.07,1.17,3771878,2026-05-21,finviz,finviz_live_promoter,ok,XLK,0.0,22.48,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,96.71052631578947,5.63,232.23,22.48,
GS,finviz_live,68.85964912280701,987.0549926757812,975.66,1.69,1458100,2026-05-21,finviz,finviz_live_promoter,ok,XLF,0.0,4.94,SMA50>SMA100 (-1.26%),MA stack roto,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,68.85964912280701,2.34,3043.2,4.94,0.19
TIGO,finviz_live,58.77192982456141,85.31999969482422,85.26,1.47,634253,2026-05-21,finviz,finviz_live_promoter,ok,XLC,0.0,2.27,Breakout > 85.26,Falta breakout,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,58.77192982456141,3.76,151.62,2.27,
ARM,finviz_live,93.2017543859649,288.7149963378906,239.5,1.49,16206957,2026-05-21,finviz,finviz_live_promoter,ok,XLK,0.0,18.65,SMA100>SMA200 (-0.50%),MA stack roto,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,93.2017543859649,7.41,4643.58,18.65,5.18
ENB,finviz_live,82.67543859649122,57.689998626708984,57.01,1.44,2149662,2026-05-21,finviz,finviz_live_promoter,ok,XLE,0.0,5.54,OK,OK,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,82.67543859649122,1.86,393.45,5.54,
MRK,finviz_live,54.60526315789473,115.58000183105469,115.1,1.07,2645246,2026-05-21,finviz,finviz_live_promoter,ok,XLV,0.0,0.7,Breakout > 115.10,Falta breakout,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,54.60526315789473,2.18,1031.4,0.7,1.37
HST,finviz_live,72.36842105263158,22.395000457763672,22.39,1.02,2429934,2026-05-21,finviz,finviz_live_promoter,ok,XLRE,0.0,3.99,Breakout > 22.39,Falta breakout,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,72.36842105263158,2.0,183.43,3.99,
CLSK,finviz_live,92.32456140350878,15.753600120544434,15.04,1.83,13279977,2026-05-21,finviz,finviz_live_promoter,ok,XLF,0.0,15.92,SMA100>SMA200 (-12.17%),MA stack roto,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,92.32456140350878,7.77,636.91,15.92,
ENPH,finviz_live,97.58771929824562,62.25,53.89,1.26,12392182,2026-05-21,finviz,finviz_live_promoter,ok,XLK,0.0,35.69,Breakout > 53.89,Falta breakout,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,97.58771929824562,9.4,598.78,35.69,5.18
