ticker,status,eligible,reason,price,breakout_level,live_rvol,entry_gate_status,entry_gate_reason
IFF,ok,True,eligible,,,,,
QCOM,ok,True,eligible,,,,,
CPT,ok,True,eligible,,,,,
CL,ok,True,eligible,,,,,
ET,ok,True,eligible,,,,,
BEKE,ok,True,eligible,,,,,
AFRM,ok,True,eligible,,,,,
LION,ok,True,eligible,,,,,
EGO,ok,True,eligible,,,,,
ESTC,ok,True,eligible,,,,,
CME,ok,True,eligible,,,,,
RBRK,ok,True,eligible,,,,,
SMCI,ok,True,eligible,,,,,
ERIC,ok,True,eligible,,,,,
IRT,ok,True,eligible,,,,,
LYV,ok,True,eligible,,,,,
COO,ok,True,eligible,,,,,
UNH,ok,True,eligible,,,,,
UL,ok,True,eligible,,,,,
AON,ok,True,eligible,,,,,
STZ,ok,True,eligible,,,,,
D,ok,True,eligible,,,,,
ENPH,ok,True,eligible,,,,,
HST,ok,True,eligible,,,,,
GEN,ok,True,eligible,,,,,
MRVL,ok,True,eligible,,,,,
DAL,ok,True,eligible,,,,,
OKE,ok,True,eligible,,,,,
FIBK,ok,True,eligible,,,,,
WES,ok,True,eligible,,,,,
LNT,ok,True,eligible,,,,,
GOOGL,ok,True,eligible,,,,,
MRK,ok,True,eligible,,,,,
NVDA,ok,True,eligible,,,,,
TALO,ok,True,eligible,,,,,
HMY,ok,True,eligible,,,,,
CRM,ok,True,eligible,,,,,
NXPI,ok,True,eligible,,,,,
CLSK,ok,True,eligible,,,,,
PENG,ok,True,eligible,,,,,
FROG,ok,True,eligible,,,,,
ZBH,ok,True,eligible,,,,,
ACMR,ok,True,eligible,,,,,
TKO,ok,True,eligible,,,,,
FHB,ok,True,eligible,,,,,
TXN,ok,True,eligible,,,,,
VSH,ok,True,eligible,,,,,
MT,ok,True,eligible,,,,,
CCL,ok,True,eligible,,,,,
ING,ok,True,eligible,,,,,
ON,ok,True,eligible,,,,,
TTWO,ok,True,eligible,,,,,
TXG,ok,True,eligible,,,,,
NNN,ok,True,eligible,,,,,
RMD,ok,True,eligible,,,,,
PHG,ok,True,eligible,,,,,
HSIC,ok,True,eligible,,,,,
PM,ok,True,eligible,,,,,
TTMI,ok,True,eligible,,,,,
XMTR,ok,True,eligible,,,,,
WMB,ok,True,eligible,,,,,
SKM,warn,True,rvol_1.0_default,,,,,
DB,ok,True,eligible,,,,,
WTTR,ok,True,eligible,,,,,
HIG,ok,True,eligible,,,,,
UMC,ok,True,eligible,,,,,
DXCM,ok,True,eligible,,,,,
EQH,ok,True,eligible,,,,,
ASML,ok,True,eligible,,,,,
GH,ok,True,eligible,,,,,
ALAB,ok,True,eligible,,,,,
RSG,ok,True,eligible,,,,,
KO,ok,True,eligible,,,,,
LUNR,ok,True,eligible,,,,,
GLW,ok,True,eligible,,,,,
AMAT,ok,True,eligible,,,,,
LSCC,ok,True,eligible,,,,,
UDR,ok,True,eligible,,,,,
MXL,ok,True,eligible,,,,,
BJ,ok,True,eligible,,,,,
CRGY,ok,True,eligible,,,,,
KGS,ok,True,eligible,,,,,
SM,ok,True,eligible,,,,,
REYN,ok,True,eligible,,,,,
SGHC,ok,True,eligible,,,,,
TENB,ok,True,eligible,,,,,
FLEX,ok,True,eligible,,,,,
VIK,ok,True,eligible,,,,,
MU,ok,True,eligible,,,,,
WERN,ok,True,eligible,,,,,
FSLR,ok,True,eligible,,,,,
WPC,ok,True,eligible,,,,,
CSCO,ok,True,eligible,,,,,
EVRG,ok,True,eligible,,,,,
HSBC,ok,True,eligible,,,,,
NOK,ok,True,eligible,,,,,
LUV,ok,True,eligible,,,,,
SYK,ok,True,eligible,,,,,
INTC,ok,True,eligible,,,,,
V,ok,True,eligible,,,,,
LLY,ok,True,eligible,,,,,
VRNS,ok,True,eligible,,,,,
MAR,ok,True,eligible,,,,,
GTX,ok,True,eligible,,,,,
IREN,ok,True,eligible,,,,,
SOLV,ok,True,eligible,,,,,
HWM,ok,True,eligible,,,,,
NTRA,ok,True,eligible,,,,,
PRM,ok,True,eligible,,,,,
CVS,ok,True,eligible,,,,,
CCI,ok,True,eligible,,,,,
RVTY,ok,True,eligible,,,,,
VOYA,ok,True,eligible,,,,,
WELL,ok,True,eligible,,,,,
HON,ok,True,eligible,,,,,
AES,ok,True,eligible,,,,,
AZN,ok,True,eligible,,,,,
PANW,ok,True,eligible,,,,,
BANC,ok,True,eligible,,,,,
NKE,ok,True,eligible,,,,,
WRB,ok,True,eligible,,,,,
WDAY,ok,True,eligible,,,,,
UAL,ok,True,eligible,,,,,
TRV,warn,True,rvol_1.0_default,,,,,
KNX,ok,True,eligible,,,,,
ONON,ok,True,eligible,,,,,
FLNC,ok,True,eligible,,,,,
RYAAY,ok,True,eligible,,,,,
BIDU,ok,True,eligible,,,,,
INOD,ok,True,eligible,,,,,
GMAB,ok,True,eligible,,,,,
HMC,ok,True,eligible,,,,,
VTR,ok,True,eligible,,,,,
BRK-B,ok,True,eligible,,,,,
SWKS,ok,True,eligible,,,,,
JHX,ok,True,eligible,,,,,
CALY,ok,True,eligible,,,,,
OVV,ok,True,eligible,,,,,
TAP,ok,True,eligible,,,,,
EXPD,ok,True,eligible,,,,,
MMM,ok,True,eligible,,,,,
SNPS,ok,True,eligible,,,,,
HIMX,ok,True,eligible,,,,,
TIGO,ok,True,eligible,,,,,
LQDA,ok,True,eligible,,,,,
DBRG,ok,True,eligible,,,,,
NOW,ok,True,eligible,,,,,
TJX,ok,True,eligible,,,,,
CRWD,ok,True,eligible,,,,,
EXE,ok,True,eligible,,,,,
PK,ok,True,eligible,,,,,
COST,ok,True,eligible,,,,,
TXRH,ok,True,eligible,,,,,
OSCR,ok,True,eligible,,,,,
IRDM,ok,True,eligible,,,,,
PBA,ok,True,eligible,,,,,
ARM,ok,True,eligible,,,,,
CYTK,ok,True,eligible,,,,,
IQV,ok,True,eligible,,,,,
RXO,ok,True,eligible,,,,,
UBS,ok,True,eligible,,,,,
VTRS,ok,True,eligible,,,,,
CTSH,ok,True,eligible,,,,,
CSX,ok,True,eligible,,,,,
GEHC,ok,True,eligible,,,,,
APLD,ok,True,eligible,,,,,
PAGP,ok,True,eligible,,,,,
GTLB,ok,True,eligible,,,,,
BE,warn,True,rvol_1.0_default,,,,,
CPRX,ok,True,eligible,,,,,
ACGL,ok,True,eligible,,,,,
TWLO,ok,True,eligible,,,,,
GPN,warn,True,rvol_1.0_default,,,,,
UGI,ok,True,eligible,,,,,
EBAY,ok,True,eligible,,,,,
CHRW,ok,True,eligible,,,,,
KR,ok,True,eligible,,,,,
IBKR,ok,True,eligible,,,,,
TXNM,ok,True,eligible,,,,,
SO,ok,True,eligible,,,,,
WMT,ok,True,eligible,,,,,
VSAT,ok,True,eligible,,,,,
FUN,ok,True,eligible,,,,,
BSX,ok,True,eligible,,,,,
BBY,ok,True,eligible,,,,,
PGR,ok,True,eligible,,,,,
SBLK,ok,True,eligible,,,,,
CVX,ok,True,eligible,,,,,
FTNT,ok,True,eligible,,,,,
MLYS,ok,True,eligible,,,,,
NBIX,ok,True,eligible,,,,,
OUT,ok,True,eligible,,,,,
MARA,ok,True,eligible,,,,,
HESM,ok,True,eligible,,,,,
NTNX,ok,True,eligible,,,,,
ASTS,ok,True,eligible,,,,,
CMBT,ok,True,eligible,,,,,
MTSI,ok,True,eligible,,,,,
AUPH,ok,True,eligible,,,,,
FWONK,ok,True,eligible,,,,,
HRL,ok,True,eligible,,,,,
GS,ok,True,eligible,,,,,
RKLB,ok,True,eligible,,,,,
CGNX,ok,True,eligible,,,,,
AKAM,ok,True,eligible,,,,,
FSK,ok,True,eligible,,,,,
VIST,ok,True,eligible,,,,,
SAP,ok,True,eligible,,,,,
BKR,ok,True,eligible,,,,,
PTC,ok,True,eligible,,,,,
GE,ok,True,eligible,,,,,
NVTS,warn,True,rvol_1.0_default,,,,,
PATH,ok,True,eligible,,,,,
MS,ok,True,eligible,,,,,
STM,ok,True,eligible,,,,,
DDOG,ok,True,eligible,,,,,
IT,ok,True,eligible,,,,,
CP,ok,True,eligible,,,,,
WSM,ok,True,eligible,,,,,
ENB,ok,True,eligible,,,,,
CPT,ok,False,rvol<1.00,,106.9,0.94,,
ING,ok,False,not_promoted,,30.5,1.54,,
CYTK,ok,False,rvol<1.00,,80.2,0.64,,
PATH,ok,False,not_promoted,,11.3,1.07,,
NTRA,ok,False,rvol<1.00,,221.56,0.9,,
GTX,ok,False,not_promoted,,32.44,1.1,,
HSIC,ok,False,rvol<1.00,,79.52,0.76,,
AFRM,ok,False,not_promoted,,71.29,1.14,,
UL,ok,False,not_promoted,,60.16,1.12,,
TRV,warn,False,missing_avg_volume_20d,,,,,
WSM,ok,False,not_promoted,,204.02,2.02,,
STM,ok,False,rvol<1.00,,65.31,0.85,,
BE,warn,False,missing_avg_volume_20d,,,,,
FLEX,ok,False,rvol<1.00,,147.34,0.93,,
BSX,ok,False,rvol<1.00,,66.88,0.82,,
CP,ok,False,rvol<1.00,,88.08,0.99,,
STZ,ok,False,rvol<1.00,,159.4,0.99,,
ACMR,ok,False,not_promoted,,68.77,1.01,,
MTSI,ok,False,rvol<1.00,,401.25,0.98,,
IQV,ok,False,not_promoted,,182.7,1.2,,
HIG,ok,False,not_promoted,,140.11,1.27,,
CSCO,ok,False,not_promoted,,119.39,1.01,,
UAL,ok,False,not_promoted,,103.77,1.55,,
VTR,ok,False,rvol<1.00,,91.06,0.73,,
FLNC,ok,False,rvol<1.00,,27.39,0.53,,
HIMX,ok,False,rvol<1.00,,21.8,0.91,,
UBS,ok,False,not_promoted,,46.71,1.12,,
TENB,ok,False,not_promoted,,25.3,1.71,,
MT,ok,False,not_promoted,,65.0,1.77,,
CL,ok,False,not_promoted,,90.85,1.29,,
RMD,ok,False,not_promoted,,224.51,1.2,,
SKM,warn,False,missing_avg_volume_20d,,,,,
KO,ok,False,not_promoted,,82.66,1.13,,
BANC,ok,False,rvol<1.00,,19.59,0.98,,
SNPS,ok,False,not_promoted,,519.71,1.39,,
WPC,ok,False,not_promoted,,74.87,1.2,,
SBLK,ok,False,not_promoted,,27.69,1.36,,
PTC,ok,False,rvol<1.00,,153.98,0.87,,
AES,ok,False,not_promoted,,14.58,1.15,,
NXPI,ok,False,rvol<1.00,,306.62,0.97,,
GH,ok,False,not_promoted,,100.73,2.23,,
HSBC,ok,False,not_promoted,,92.31,1.26,,
SOLV,ok,False,rvol<1.00,,76.47,0.85,,
EBAY,ok,False,not_promoted,,116.83,1.1,,
CMBT,ok,False,not_promoted,,17.08,2.12,,
MS,ok,False,not_promoted,,197.5,1.41,,
WRB,ok,False,not_promoted,,69.1,1.03,,
