ticker,agent_name,entry_score,proximity_score,entry_price,breakout_level,rvol,live_volume,signal_date,source_universe,decision_source,data_quality_status,sector_etf,dollar_vol_M,dist_sma20,waiting_for,primary_reason,live_trigger_status,entry_gate_status,entry_gate_reason,entry_gate_source,gate_rs_percentile,gate_adr_pct,gate_dollar_vol_M,gate_dist_sma20,gate_sector_etf_dist
HRL,Ambos,74.7178329571106,53.09,23.479999542236328,21.64,2.1,241850,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,13.53,SMA20>SMA50 (-2.28%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,74.7178329571106,2.97,266.29,13.53,
NTNX,Ambos,79.1196388261851,27.59,49.91999816894531,49.32,2.14,107750,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,7.73,Breakout > 49.32,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,79.1196388261851,4.11,444.27,7.73,
CZR,Ambos,62.30248306997742,100.0,29.03499984741211,28.99,11.15,752537,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,4.7,OK,OK,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,62.30248306997742,3.24,2789.36,4.7,
BRKR,Ambos,94.35665914221218,50.0,54.70000076293945,48.7,1.9,72201,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,25.44,SMA50>SMA100 (-4.37%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,94.35665914221218,4.83,260.69,25.44,
AVAV,Ambos,80.1354401805869,50.0,212.6199951171875,195.85,3.22,203320,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,23.99,SMA20>SMA50 (-6.85%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,80.1354401805869,5.68,884.4,23.99,
NTAP,Ambos,89.39051918735892,10.0,180.4499969482422,143.65,1.98,530507,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,17.17,Breakout > 143.65,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,89.39051918735892,4.07,855.44,17.17,
HPQ,Ambos,86.00451467268623,12.29,27.299999237060547,25.6,1.81,3154991,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,13.85,Breakout > 25.60,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,86.00451467268623,5.02,918.76,13.85,
PSN,Ambos,80.36117381489842,53.57,58.44499969482422,57.41,1.63,38482,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,13.34,SMA20>SMA50 (-2.26%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,80.36117381489842,4.54,129.72,13.34,
HOOD,Ambos,81.941309255079,61.09,85.66000366210938,81.93,1.88,1873815,2026-05-29,finviz,finviz_live_promoter:none,ok,XLF,0.0,10.33,SMA50>SMA100 (-8.56%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,81.941309255079,5.09,3715.14,10.33,
FSLR,Ambos,94.5823927765237,50.0,303.1199951171875,276.4,1.86,128739,2026-05-29,finviz,finviz_live_promoter:none,ok,XLK,0.0,28.97,SMA50>SMA100 (-3.48%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,94.5823927765237,5.84,1697.84,28.97,
BTDR,Ambos,97.51693002257336,50.0,17.985000610351562,15.93,2.32,492673,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,33.5,SMA100>SMA200 (-14.32%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,97.51693002257336,9.66,396.36,33.5,
A,Ambos,83.52144469525959,50.0,134.25999450683594,120.28,2.61,78951,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,17.4,SMA50>SMA100 (-5.69%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,83.52144469525959,3.13,881.58,17.4,
IBM,Ambos,80.81264108352144,12.23,275.29998779296875,264.38,1.5,1343145,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,13.88,Breakout > 264.38,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,80.81264108352144,3.13,3201.45,13.88,
COLD,Ambos,89.61625282167043,86.8,15.835000038146973,15.34,1.51,29054,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,12.05,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,89.61625282167043,3.99,114.36,12.05,
BTU,Ambos,62.528216704288944,50.0,29.18000030517578,27.65,3.2,137669,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,16.62,SMA20>SMA50 (-13.01%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,62.528216704288944,4.56,350.49,16.62,
DELL,Ambos,93.67945823927766,80.0,413.918212890625,312.14,3.04,5600779,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,27.13,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,93.67945823927766,5.8,7397.03,27.13,
TMO,Ambos,58.239277652370205,70.0,484.8399963378906,481.83,1.72,74890,2026-05-29,finviz,finviz_live_promoter:none,ok,XLV,0.0,6.32,SMA20>SMA50 (-4.34%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,58.239277652370205,3.0,2130.47,6.32,
KTOS,Ambos,69.3002257336343,53.52,65.62999725341797,64.13,2.42,882139,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,13.36,SMA20>SMA50 (-13.52%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,69.3002257336343,5.67,738.3,13.36,
SNOW,Ambos,97.29119638826184,50.0,244.8999938964844,181.27,4.0,1480749,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,49.32,SMA50>SMA100 (-10.05%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,97.29119638826184,4.81,9449.07,49.32,
SMCI,Ambos,94.13092550790068,50.0,45.5,38.82,1.72,8080526,2026-05-29,finviz,finviz_live_promoter:none,ok,XLK,0.0,25.77,SMA50>SMA100 (-4.84%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,94.13092550790068,7.04,2966.68,25.77,
DRS,Ambos,85.10158013544017,53.58,48.0,45.85,1.92,32805,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,13.34,SMA20>SMA50 (-2.45%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,85.10158013544017,3.39,87.09,13.34,
BBY,Ambos,87.58465011286681,50.0,73.05999755859375,64.63,3.31,337891,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,24.69,SMA20>SMA50 (-2.90%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,87.58465011286681,3.47,1073.52,24.69,
ESTC,Ambos,83.29571106094808,58.81,58.630001068115234,56.3,3.15,463525,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,11.25,SMA50>SMA100 (-11.56%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,83.29571106094808,4.52,361.79,11.25,
DLTR,Ambos,81.48984198645599,50.0,111.93000030517578,98.66,3.04,1174708,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,20.15,SMA20>SMA50 (-6.19%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,81.48984198645599,4.22,1498.83,20.15,
DFTX,Ambos,76.97516930022573,59.93,23.88999938964844,23.79,2.02,54937,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,6.8,Breakout > 23.79,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,76.97516930022573,5.05,74.15,6.8,
CP,Ambos,64.55981941309255,60.0,91.37000274658205,91.33,1.67,63147,2026-05-29,finviz,finviz_live_promoter:none,ok,OTHER,0.0,4.87,Breakout > 91.33,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,64.55981941309255,2.33,489.1,4.87,
