ticker,status,eligible,reason,price,breakout_level,live_rvol
APTV,ok,True,eligible,,,
TMO,ok,True,eligible,,,
RDDT,ok,True,eligible,,,
BTU,ok,True,eligible,,,
MGM,ok,True,eligible,,,
PSN,ok,True,eligible,,,
ELV,ok,True,eligible,,,
SOFI,ok,True,eligible,,,
CZR,ok,True,eligible,,,
MAR,ok,True,eligible,,,
MGNI,ok,True,eligible,,,
BR,ok,True,eligible,,,
HON,ok,True,eligible,,,
CDNS,ok,True,eligible,,,
SAP,ok,True,eligible,,,
AXTA,ok,True,eligible,,,
AXON,ok,True,eligible,,,
HRL,ok,True,eligible,,,
TSCO,ok,True,eligible,,,
DELL,ok,True,eligible,,,
PHM,ok,True,eligible,,,
NTRA,ok,True,eligible,,,
HLT,ok,True,eligible,,,
JBL,ok,True,eligible,,,
VMC,ok,True,eligible,,,
GILD,ok,True,eligible,,,
SAIL,ok,True,eligible,,,
EQX,ok,True,eligible,,,
NXT,ok,True,eligible,,,
VRSK,ok,True,eligible,,,
OTEX,ok,True,eligible,,,
D,ok,True,eligible,,,
PENG,ok,True,eligible,,,
F,ok,True,eligible,,,
SN,ok,True,eligible,,,
CDE,ok,True,eligible,,,
COLD,ok,True,eligible,,,
SMTC,ok,True,eligible,,,
TEM,ok,True,eligible,,,
SMR,ok,True,eligible,,,
MDB,ok,True,eligible,,,
CENX,ok,True,eligible,,,
VSH,ok,True,eligible,,,
PLD,ok,True,eligible,,,
RCUS,ok,True,eligible,,,
IQV,ok,True,eligible,,,
ES,ok,True,eligible,,,
DG,ok,True,eligible,,,
PRU,ok,True,eligible,,,
STT,ok,True,eligible,,,
VEEV,ok,True,eligible,,,
VERX,ok,True,eligible,,,
DXCM,ok,True,eligible,,,
MNST,ok,True,eligible,,,
KD,ok,True,eligible,,,
HD,ok,True,eligible,,,
IBM,ok,True,eligible,,,
IE,ok,True,eligible,,,
BIIB,ok,True,eligible,,,
EW,ok,True,eligible,,,
PATH,ok,True,eligible,,,
WAT,ok,True,eligible,,,
ERO,ok,True,eligible,,,
SMMT,ok,True,eligible,,,
HPQ,ok,True,eligible,,,
BRKR,ok,True,eligible,,,
KIM,ok,True,eligible,,,
HUBS,ok,True,eligible,,,
GEN,ok,True,eligible,,,
CDW,ok,True,eligible,,,
MXL,ok,True,eligible,,,
VSAT,ok,True,eligible,,,
CP,ok,True,eligible,,,
CHD,ok,True,eligible,,,
TROW,ok,True,eligible,,,
IRM,ok,True,eligible,,,
RGTI,ok,True,eligible,,,
NTAP,ok,True,eligible,,,
TPR,ok,True,eligible,,,
GPK,ok,True,eligible,,,
RTX,ok,True,eligible,,,
PEG,ok,True,eligible,,,
ZETA,ok,True,eligible,,,
AVGO,ok,True,eligible,,,
PRMB,ok,True,eligible,,,
FTNT,ok,True,eligible,,,
TXT,ok,True,eligible,,,
MNDY,ok,True,eligible,,,
SPG,ok,True,eligible,,,
ODFL,ok,True,eligible,,,
MTB,ok,True,eligible,,,
