ticker,signal_date,signal_price,entry_at,entry_score,rs_percentile,rvol,adr_pct,dist_sma20,dollar_vol_M,consol_days,above_sma50,stop_price,tp1,tp2,risk_$
CIEN,2026-05-07,538.76,NEXT_OPEN,0.974,97.4,1.54,5.89,5.81,1242.56,19,True,495.6592,592.636,668.0624,2878
ADEA,2026-05-13,31.73,NEXT_OPEN,0.963,96.3,1.8,5.44,4.86,69.16,18,True,29.1916,34.903,39.3452,2878
ELVN,2026-05-13,43.56,NEXT_OPEN,0.955,95.5,1.66,5.64,1.02,31.83,20,True,40.0752,47.916,54.0144,2878
CVI,2026-04-30,33.14,NEXT_OPEN,0.914,91.4,1.7,5.09,4.51,34.61,19,True,30.4888,36.454,41.0936,2878
CARG,2026-05-07,38.16,NEXT_OPEN,0.895,89.5,1.81,2.51,3.56,37.74,16,True,35.1072,41.976,47.3184,2878
DAR,2026-05-01,63.77,NEXT_OPEN,0.877,87.7,1.13,3.56,4.2,192.12,20,True,58.6684,70.147,79.0748,2878
CENX,2026-05-13,64.34,NEXT_OPEN,0.866,86.6,1.91,5.09,5.08,92.69,20,True,59.1928,70.774,79.7816,2878
ADI,2026-05-07,408.52,NEXT_OPEN,0.84,84.0,1.22,2.5,6.74,1317.63,16,True,375.8384,449.372,506.5648,2878
CC,2026-05-13,25.18,NEXT_OPEN,0.822,82.2,1.25,5.14,0.41,78.96,18,True,23.1656,27.698,31.2232,2878
ARWR,2026-05-13,77.88,NEXT_OPEN,0.817,81.7,1.11,4.97,5.36,149.22,20,True,71.6496,85.668,96.5712,2878
AA,2026-05-13,68.44,NEXT_OPEN,0.793,79.3,1.37,3.61,4.89,306.96,20,True,62.9648,75.284,84.8656,2878
ALB,2026-05-07,198.35,NEXT_OPEN,0.775,77.5,1.94,5.31,2.75,437.62,19,True,182.482,218.185,245.954,2878
ABNB,2026-05-07,140.46,NEXT_OPEN,0.762,76.2,2.08,2.89,0.82,488.43,17,True,129.2232,154.506,174.1704,2878
BEAM,2026-05-13,31.85,NEXT_OPEN,0.754,75.4,1.29,6.58,3.92,69.6,20,True,29.302,35.035,39.494,2878
DE,2026-04-30,589.87,NEXT_OPEN,0.662,66.2,1.41,2.59,0.77,652.31,18,False,542.6804,648.857,731.4388,2878
ARIS,2026-05-13,19.71,NEXT_OPEN,0.636,63.6,1.51,3.98,3.58,23.87,19,True,18.1332,21.681,24.4404,2878
C,2026-05-07,129.09,NEXT_OPEN,0.634,63.4,1.59,2.29,0.63,1529.7,18,True,118.7628,141.999,160.0716,2878
CI,2026-05-13,300.71,NEXT_OPEN,0.599,59.9,1.25,2.58,6.03,533.36,16,True,276.6532,330.781,372.8804,2878
CTRE,2026-05-07,39.5,NEXT_OPEN,0.584,58.4,1.18,2.1,1.08,72.74,20,True,36.34,43.45,48.98,2878
