parameter,range,trades,win_rate,avg_r,pnl
dist_sma20_pct,0-3%,169.0,39.053254437869825,0.19201516410992092,3245.0562734576633
dist_sma20_pct,3-5%,268.0,35.07462686567165,-0.05269054000220091,-1412.106472058984
dist_sma20_pct,5-7%,152.0,35.526315789473685,-0.1656478110109055,-2517.846727365764
dist_sma20_pct,7-10%,0.0,0.0,,0.0
dist_sma20_pct,>10%,0.0,0.0,,0.0
context_rvol,<1.5x,270.0,35.55555555555556,-0.07556482804232813,-2040.2503571428592
context_rvol,1.5-2x,158.0,32.278481012658226,-0.28424893761302017,-4491.133214285718
context_rvol,2-2.5x,69.0,40.57971014492754,0.3032548654244305,2092.45857142857
context_rvol,2.5-3x,27.0,33.33333333333333,-0.14189642857142856,-383.1203571428571
context_rvol,>3x,29.0,37.93103448275862,0.03395073891625628,98.45714285714317
context_adr,<2%,408.0,33.57843137254902,-0.1301794292717088,-5311.32071428572
context_adr,2-3%,119.0,37.81512605042017,-0.0012242496998800514,-14.568571428572604
context_adr,3-4%,21.0,47.61904761904761,0.21295068027210867,447.1964285714282
context_adr,4-5%,4.0,50.0,0.337742857142857,135.0971428571428
context_adr,>5%,1.0,100.0,0.20007500000000028,20.00750000000003
consolidation_days,<10d,0.0,0.0,,0.0
consolidation_days,10-15d,4.0,50.0,0.30039375000000035,120.15750000000017
consolidation_days,15-20d,585.0,36.23931623931624,-0.01376161411909546,-805.0544259670845
consolidation_days,20-25d,0.0,0.0,,0.0
consolidation_days,>25d,0.0,0.0,,0.0
