intent_id,signal_id,source_universe,ticker,strategy_id,signal_date,side,entry_type,entry_price_ref,stop_price,target_price,risk_budget_usd,risk_per_trade_usd,per_share_risk,shares,notional_usd,decision_source,tp1_price,tp2_price,status,status_reason,snoozed_until,confirmed_by,confirmed_at,created_at,metadata
intent_4078d361c6874469,sig_8b9cc60774d359ca,finviz,ELV,combo_pure_momentum,2026-04-30,long,next_open,376.6300048828125,325.1000061035156,,1000.0,1000.0,51.529998779296875,0,0.0,telegram,,,pending,,,,,2026-04-30T02:43:57.854792,"{'combo': 'combo_pure_momentum', 'ticker': 'ELV', 'signal_date': '2026-04-30', 'entry_price': 376.6300048828125, 'stop_loss': 325.1000061035156, 'position_size': 0, 'rs_mode': 'spy_fallback', 'source': 'finviz_setup', 'combo_name': 'combo_pure_momentum', 'source_universe': 'finviz', 'decision_source': 'telegram'}"
intent_23d60ec02cac5950,sig_ea4e78748837bd51,finviz,NGG,combo_stage2_breakout,2026-04-30,long,next_open,17.1299991607666,14.291999816894531,,1000.0,1000.0,2.8379993438720703,0,0.0,telegram,,,pending,,,,,2026-04-30T02:43:57.854961,"{'combo': 'combo_stage2_breakout', 'ticker': 'NGG', 'signal_date': '2026-04-30', 'entry_price': 17.1299991607666, 'stop_loss': 14.291999816894531, 'position_size': 0, 'rs_mode': 'spy_fallback', 'source': 'finviz_setup', 'combo_name': 'combo_stage2_breakout', 'source_universe': 'finviz', 'decision_source': 'telegram'}"
intent_131a911eeaa1dc5f,sig_870c75700abb9a1f,finviz,NCLH,combo_stage2_breakout,2026-04-30,long,next_open,17.1299991607666,14.291999816894531,,1000.0,1000.0,2.8379993438720703,0,0.0,telegram,,,pending,,,,,2026-04-30T02:43:57.855052,"{'combo': 'combo_stage2_breakout', 'ticker': 'NCLH', 'signal_date': '2026-04-30', 'entry_price': 17.1299991607666, 'stop_loss': 14.291999816894531, 'position_size': 0, 'rs_mode': 'spy_fallback', 'source': 'finviz_setup', 'combo_name': 'combo_stage2_breakout', 'source_universe': 'finviz', 'decision_source': 'telegram'}"
intent_8fdbb7ba4baab874,sig_10a3deedfbb06615,finviz,NBIX,combo_stage2_breakout,2026-04-30,long,next_open,17.1299991607666,14.291999816894531,,1000.0,1000.0,2.8379993438720703,0,0.0,telegram,,,pending,,,,,2026-04-30T02:43:57.855134,"{'combo': 'combo_stage2_breakout', 'ticker': 'NBIX', 'signal_date': '2026-04-30', 'entry_price': 17.1299991607666, 'stop_loss': 14.291999816894531, 'position_size': 0, 'rs_mode': 'spy_fallback', 'source': 'finviz_setup', 'combo_name': 'combo_stage2_breakout', 'source_universe': 'finviz', 'decision_source': 'telegram'}"
intent_6b25aedbdacd2d9f,sig_0c8eaaed5caf64f5,finviz,EXTR,combo_stage2_breakout,2026-04-30,long,next_open,42.560001373291016,37.704498291015625,,1000.0,1000.0,4.855503082275391,0,0.0,telegram,,,pending,,,,,2026-04-30T02:43:57.855247,"{'combo': 'combo_stage2_breakout', 'ticker': 'EXTR', 'signal_date': '2026-04-30', 'entry_price': 42.560001373291016, 'stop_loss': 37.704498291015625, 'position_size': 0, 'rs_mode': 'spy_fallback', 'source': 'finviz_setup', 'combo_name': 'combo_stage2_breakout', 'source_universe': 'finviz', 'decision_source': 'telegram'}"
intent_d4dad83863e14018,sig_e19de020542fd193,finviz,EXR,combo_stage2_breakout,2026-04-30,long,next_open,42.560001373291016,37.704498291015625,,1000.0,1000.0,4.855503082275391,0,0.0,telegram,,,pending,,,,,2026-04-30T02:43:57.855380,"{'combo': 'combo_stage2_breakout', 'ticker': 'EXR', 'signal_date': '2026-04-30', 'entry_price': 42.560001373291016, 'stop_loss': 37.704498291015625, 'position_size': 0, 'rs_mode': 'spy_fallback', 'source': 'finviz_setup', 'combo_name': 'combo_stage2_breakout', 'source_universe': 'finviz', 'decision_source': 'telegram'}"
intent_7811756c426738ae,sig_87892331ed290e54,finviz,EXLS,combo_stage2_breakout,2026-04-30,long,next_open,42.560001373291016,37.704498291015625,,1000.0,1000.0,4.855503082275391,0,0.0,telegram,,,pending,,,,,2026-04-30T02:43:57.855558,"{'combo': 'combo_stage2_breakout', 'ticker': 'EXLS', 'signal_date': '2026-04-30', 'entry_price': 42.560001373291016, 'stop_loss': 37.704498291015625, 'position_size': 0, 'rs_mode': 'spy_fallback', 'source': 'finviz_setup', 'combo_name': 'combo_stage2_breakout', 'source_universe': 'finviz', 'decision_source': 'telegram'}"
intent_f14c56660892caef,sig_bcd099586641ce91,finviz,EXE,combo_stage2_breakout,2026-04-30,long,next_open,42.560001373291016,37.704498291015625,,1000.0,1000.0,4.855503082275391,0,0.0,telegram,,,pending,,,,,2026-04-30T02:43:57.855733,"{'combo': 'combo_stage2_breakout', 'ticker': 'EXE', 'signal_date': '2026-04-30', 'entry_price': 42.560001373291016, 'stop_loss': 37.704498291015625, 'position_size': 0, 'rs_mode': 'spy_fallback', 'source': 'finviz_setup', 'combo_name': 'combo_stage2_breakout', 'source_universe': 'finviz', 'decision_source': 'telegram'}"
intent_8784675132063f20,sig_4c72d1aaa5deb2b8,finviz,EXC,combo_stage2_breakout,2026-04-30,long,next_open,42.560001373291016,37.704498291015625,,1000.0,1000.0,4.855503082275391,0,0.0,telegram,,,pending,,,,,2026-04-30T02:43:57.855894,"{'combo': 'combo_stage2_breakout', 'ticker': 'EXC', 'signal_date': '2026-04-30', 'entry_price': 42.560001373291016, 'stop_loss': 37.704498291015625, 'position_size': 0, 'rs_mode': 'spy_fallback', 'source': 'finviz_setup', 'combo_name': 'combo_stage2_breakout', 'source_universe': 'finviz', 'decision_source': 'telegram'}"
intent_94a407d4d23e9611,sig_7489bcdb7cb06097,finviz,EWBC,combo_stage2_breakout,2026-04-30,long,next_open,42.560001373291016,37.704498291015625,,1000.0,1000.0,4.855503082275391,0,0.0,telegram,,,pending,,,,,2026-04-30T02:43:57.856029,"{'combo': 'combo_stage2_breakout', 'ticker': 'EWBC', 'signal_date': '2026-04-30', 'entry_price': 42.560001373291016, 'stop_loss': 37.704498291015625, 'position_size': 0, 'rs_mode': 'spy_fallback', 'source': 'finviz_setup', 'combo_name': 'combo_stage2_breakout', 'source_universe': 'finviz', 'decision_source': 'telegram'}"
intent_67939d8e9626e60d,sig_58a5fdcd7a932f2b,finviz,EW,combo_stage2_breakout,2026-04-30,long,next_open,42.560001373291016,37.704498291015625,,1000.0,1000.0,4.855503082275391,0,0.0,telegram,,,pending,,,,,2026-04-30T02:43:57.856155,"{'combo': 'combo_stage2_breakout', 'ticker': 'EW', 'signal_date': '2026-04-30', 'entry_price': 42.560001373291016, 'stop_loss': 37.704498291015625, 'position_size': 0, 'rs_mode': 'spy_fallback', 'source': 'finviz_setup', 'combo_name': 'combo_stage2_breakout', 'source_universe': 'finviz', 'decision_source': 'telegram'}"
