date,status,n_signals
2026-01-02,OK,211
2026-01-05,OK,261
2026-01-06,OK,280
2026-01-07,OK,311
2026-01-08,OK,302
2026-01-09,OK,277
2026-01-12,OK,259
2026-01-13,OK,236
2026-01-14,OK,252
2026-01-15,OK,254
2026-01-16,OK,249
2026-01-20,BLOCKED (SPY=678<SMA50=684),0
2026-01-21,OK,271
2026-01-22,OK,272
2026-01-23,OK,275
2026-01-26,OK,299
2026-01-27,OK,273
2026-01-28,OK,272
2026-01-29,OK,283
2026-01-30,OK,293
2026-02-02,OK,300
2026-02-03,OK,326
2026-02-04,OK,325
2026-02-05,BLOCKED (SPY=678<SMA50=686),0
2026-02-06,OK,311
2026-02-09,OK,299
2026-02-10,OK,307
2026-02-11,OK,292
2026-02-12,BLOCKED (SPY=681<SMA50=687),0
2026-02-13,BLOCKED (SPY=682<SMA50=687),0
2026-02-17,BLOCKED (SPY=683<SMA50=687),0
2026-02-18,BLOCKED (SPY=686<SMA50=688),0
2026-02-19,BLOCKED (SPY=684<SMA50=688),0
2026-02-20,OK,313
2026-02-23,BLOCKED (SPY=682<SMA50=688),0
2026-02-24,BLOCKED (SPY=687<SMA50=688),0
2026-02-25,OK,265
2026-02-26,OK,278
