ticker,entry_date,exit_date,exit_type,entry_price,exit_price,shares,pnl,r_multiple
AMD,2026-05-01,2026-05-01,Floating,354.49,360.54,14,84.7,0.17
CARR,2026-05-01,2026-05-01,Floating,67.17,67.62,91,40.95,0.08
CAT,2026-05-01,2026-05-01,Floating,890.11,889.67,9,-3.96,-0.01
CTRA,2026-05-01,2026-05-01,Floating,35.91,35.38,223,-118.19,-0.24
DVN,2026-05-01,2026-05-01,Floating,51.37,50.56,155,-125.55,-0.25
EPD,2026-05-01,2026-05-01,Floating,38.7,38.03,393,-263.31,-0.53
ET,2026-05-01,2026-05-01,Floating,20.19,19.94,724,-181.0,-0.36
ETN,2026-05-01,2026-05-01,Floating,433.01,425.55,20,-149.2,-0.3
GOOG,2026-05-01,2026-05-01,Floating,381.94,383.22,26,33.28,0.07
GOOGL,2026-05-01,2026-05-01,Floating,384.8,385.69,25,22.25,0.05
HAL,2026-05-01,2026-05-01,Floating,42.3,41.66,193,-123.52,-0.25
INDV,2026-05-01,2026-05-01,Floating,36.78,37.66,167,146.96,0.29
IRM,2026-05-01,2026-05-01,Floating,125.99,127.19,68,81.6,0.17
MO,2026-05-01,2026-05-01,Floating,72.65,74.55,153,290.7,0.58
MPC,2026-05-01,2026-05-01,Floating,248.29,246.15,33,-70.62,-0.14
NVO,2026-05-01,2026-05-01,Floating,42.22,43.88,183,303.78,0.61
NXPI,2026-05-01,2026-05-01,Floating,293.59,295.24,20,33.0,0.07
ORLY,2026-05-01,2026-05-01,Floating,99.4,96.67,115,-313.95,-0.63
PWR,2026-05-01,2026-05-01,Floating,727.77,742.21,11,158.84,0.33
QCOM,2026-05-01,2026-05-01,Floating,179.58,177.01,33,-84.81,-0.17
SU,2026-05-01,2026-05-01,Floating,68.46,67.55,162,-147.42,-0.3
SWKS,2026-05-01,2026-05-01,Floating,70.17,69.4,107,-82.39,-0.16
TROW,2026-05-01,2026-05-01,Floating,102.88,103.42,120,64.8,0.13
TRP,2026-05-01,2026-05-01,Floating,66.93,66.57,173,-62.28,-0.12
TXT,2026-05-01,2026-05-01,Floating,95.96,94.72,101,-125.24,-0.25
UL,2026-05-01,2026-05-01,Floating,58.98,59.76,273,212.94,0.43
WULF,2026-05-01,2026-05-01,Floating,21.73,21.31,191,-80.22,-0.16
